question_id,analysis,outcome
588,"Veterans of level 7+ have learned to fight effectively even while wounded (unit is level 9). Beyond that, striking while Invisible grants a devastating sneak attack bonus before the stealth breaks. Additionally, combat effectiveness drops when fighting on Desert terrain. The action succeeds in a modified form.",MODIFIED
3329,"Rangers can attack at range with their bows, bypassing the adjacency requirement. Furthermore, when the target's defense exceeds the attacker's strength, damage output drops significantly. On top of that, without adjacency, a melee attack has no chance of connecting. Beyond that, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The attempt goes through as intended.",ALLOWED
2403,"Frozen units cannot cast spells. The condition prevents all voluntary actions. At the same time, a Ranger has no capacity for magic and cannot cast any spell. However, lightning costs 30 mana to cast. Without enough mana, the spell fizzles (current mana: 15). Furthermore, casting Lightning in Ruins fails because residual dark energy interferes with the casting. Ultimately, the action is blocked and cannot proceed.",BLOCKED
2129,"Guardians lack arcane training and cannot cast spells. However, the Frostbind spell demands 30 mana — anything less and the cast fails (current mana: 22). Ultimately, the action is blocked and cannot proceed.",BLOCKED
3998,"While Stunned, performing any attack action is impossible. At the same time, insufficient strength against the target's defenses means the attack deals partial damage. Beyond that, the target's Shield absorbs a portion of the incoming damage, reducing it by half. On top of that, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. Ultimately, the action is blocked and cannot proceed.",BLOCKED
4826,"While Invisible, the unit slips through normally impassable terrain undetected. Meanwhile, a Paladin's holy presence purifies Mountain terrain upon entry. Nothing prevents the action from succeeding normally.",ALLOWED
3741,"The Frostbind spell demands 30 mana — anything less and the cast fails (current mana: 24). Furthermore, wounded units (below 15 HP) take a performance hit on cast actions. Ultimately, the action is blocked and cannot proceed.",BLOCKED
3508,"The attacker's strength is lower than the target's defense, resulting in reduced damage. Furthermore, the target's defense exceeding 15 represents thick armor that blunts most attacks. The action proceeds but with altered effects.",MODIFIED
2719,"A veteran unit (level 7+) fights through injuries that would cripple less experienced fighters (unit is level 9). Furthermore, when the target's defense exceeds the attacker's strength, damage output drops significantly. At the same time, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The action succeeds in a modified form.",MODIFIED
5014,"Invisibility reveals secret passages through otherwise restricted terrain. Furthermore, strikers cannot traverse Swamp terrain due to their physical limitations. Nothing prevents the action from succeeding normally.",ALLOWED
5020,"While Invisible, the unit slips through normally impassable terrain undetected. Meanwhile, stunned units cannot move. The condition prevents all voluntary actions. The action proceeds without restriction.",ALLOWED
556,"A Rogue has no capacity for magic and cannot cast any spell. On top of that, casting Drain requires at least 20 mana. Insufficient mana blocks the spell (current mana: 17). Furthermore, casting Drain in Plains fails because open terrain dissipates the focused energy. The attempt fails completely under these conditions.",BLOCKED
2469,"Rogues lack arcane training and cannot cast spells. Furthermore, only units of level 7 or higher can cast Shadowstep (unit is level 5). Meanwhile, with HP below 15, the unit's cast effectiveness is significantly reduced. The action is prevented from going through.",BLOCKED
3738,"The Stunned effect immobilizes the unit, blocking any attempt to attack. However, the target is out of melee range — physical attacks cannot reach. The action is prevented from going through.",BLOCKED
1716,"While Invisible, the unit slips through normally impassable terrain undetected. On top of that, the Frozen effect immobilizes the unit, blocking any attempt to move. However, the Ruins environment is favorable for Strikers, granting enhanced movement. Nothing prevents the action from succeeding normally.",ALLOWED
2604,"The attacker's strength is lower than the target's defense, resulting in reduced damage. Beyond that, melee attacks require the attacker to be adjacent to the target. However, the magical barrier around the target deflects half the attack's force. Meanwhile, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The attempt fails completely under these conditions.",BLOCKED
4831,"Invisibility reveals secret passages through otherwise restricted terrain. At the same time, frozen units cannot move. The condition prevents all voluntary actions. The attempt goes through as intended.",ALLOWED
1704,"While Frozen, performing any attack action is impossible. Furthermore, the Mountain's elevation grants ranged attack capability to all units. Beyond that, without adjacency, a melee attack has no chance of connecting. Meanwhile, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The action is prevented from going through.",BLOCKED
2139,"At fewer than 10 HP, movement is agonizingly slow — half the normal speed. On top of that, the Ruins environment is favorable for Strikers, granting enhanced movement. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
3239,"Master-level casters (level 8+) partially overcome environmental interference through sheer skill (unit is level 10). Compounding this, casting Shadowstep in Forest fails because ambient moisture dampens the magic. The action proceeds but with altered effects.",MODIFIED
2383,"Insufficient strength against the target's defenses means the attack deals partial damage. Meanwhile, without adjacency, a melee attack has no chance of connecting. However, the target's defense exceeding 15 represents thick armor that blunts most attacks. The action is prevented from going through.",BLOCKED
1285,"While Frozen, performing any cast action is impossible. Beyond that, a Guardian has no capacity for magic and cannot cast any spell. On top of that, the Frostbind spell demands 30 mana — anything less and the cast fails (current mana: 14). The attempt fails completely under these conditions.",BLOCKED
4694,"The Invisible status allows the unit to bypass terrain restrictions — stealth finds hidden paths. Beyond that, stunned units cannot move. The condition prevents all voluntary actions. Compounding this, summoners cannot traverse Forest terrain due to their physical limitations. The attempt goes through as intended.",ALLOWED
4919,"The Invisible status allows the unit to bypass terrain restrictions — stealth finds hidden paths. Furthermore, the Plains environment is impassable for Guardian units. Nothing prevents the action from succeeding normally.",ALLOWED
3930,"A Ranger below level 4 deals reduced attack damage due to inexperience (unit is level 1). On top of that, when the target's defense exceeds the attacker's strength, damage output drops significantly. However, the target's defense exceeding 15 represents thick armor that blunts most attacks. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
4169,"Master-level casters (level 8+) partially overcome environmental interference through sheer skill (unit is level 10). Additionally, spellcasting is not available to Striker units — they have no magical ability. Meanwhile, the Fireball spell demands 28 mana — anything less and the cast fails. At the same time, when targeting a Frozen unit, Fireball removes the Frozen effect rather than applying its usual effect. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
1591,"The Frozen effect immobilizes the unit, blocking any attempt to attack. Furthermore, the Mountain's elevation grants ranged attack capability to all units. However, the attacker's strength is lower than the target's defense, resulting in reduced damage. On top of that, without adjacency, a melee attack has no chance of connecting. The action is prevented from going through.",BLOCKED
4880,"While Invisible, the unit slips through normally impassable terrain undetected. Beyond that, while Frozen, performing any move action is impossible. Nothing prevents the action from succeeding normally.",ALLOWED
2162,"Spellcasting is not available to Ranger units — they have no magical ability. Meanwhile, the Frostbind spell demands 30 mana — anything less and the cast fails (current mana: 12). The attempt fails completely under these conditions.",BLOCKED
2396,"While Stunned, performing any move action is impossible. Meanwhile, a Striker finds Plains terrain incompatible with their movement capabilities. The attempt fails completely under these conditions.",BLOCKED
317,"Spellcasting is not available to Rogue units — they have no magical ability. Beyond that, fireball cannot be cast on Forest terrain — ambient moisture dampens the magic. Additionally, only units of level 6 or higher can cast Fireball (unit is level 4). However, the Fireball spell interacts with Frozen status — the status is cleansed instead of the normal spell outcome. Ultimately, the action is blocked and cannot proceed.",BLOCKED
4943,"While Invisible, the unit slips through normally impassable terrain undetected. Additionally, the Forest environment is impassable for Guardian units. The action proceeds without restriction.",ALLOWED
3111,"A caster of level 8 or higher has mastered their craft — terrain penalties on spellcasting are reduced (unit is level 10). Additionally, fireball cannot be cast on Forest terrain — ambient moisture dampens the magic. At the same time, units below 15 HP suffer penalties when attempting to cast spells — injuries impair performance. The action proceeds but with altered effects.",MODIFIED
4036,"Rangers lack arcane training and cannot cast spells. Beyond that, heal costs 18 mana to cast. Without enough mana, the spell fizzles (current mana: 13). The attempt fails completely under these conditions.",BLOCKED
795,"Elevation advantage on Mountain terrain turns all attacks into ranged attacks. However, when the target's defense exceeds the attacker's strength, damage output drops significantly. Compounding this, without adjacency, a melee attack has no chance of connecting. The attempt goes through as intended.",ALLOWED
3020,"The Frozen effect immobilizes the unit, blocking any attempt to cast spells. Additionally, a Rogue has no capacity for magic and cannot cast any spell. However, lightning costs 30 mana to cast. Without enough mana, the spell fizzles (current mana: 17). Meanwhile, the Ruins environment prevents Lightning from forming: residual dark energy interferes with the casting. Beyond that, only units of level 7 or higher can cast Lightning (unit is level 1). The action is prevented from going through.",BLOCKED
1711,"The Stunned effect immobilizes the unit, blocking any attempt to cast spells. Furthermore, casting Barrier in Mountain fails because the thin air disrupts concentration. The attempt fails completely under these conditions.",BLOCKED
3387,"Strikers lack arcane training and cannot cast spells. On top of that, casting Heal requires at least 18 mana. Insufficient mana blocks the spell (current mana: 7). The action is prevented from going through.",BLOCKED
36,"A caster of level 8 or higher has mastered their craft — terrain penalties on spellcasting are reduced (unit is level 9). However, rogues lack arcane training and cannot cast spells. The action proceeds but with altered effects.",MODIFIED
913,"While Frozen, performing any attack action is impossible. At the same time, low-level Rangers (below 4) suffer a damage penalty on attacks (unit is level 3). Meanwhile, with strength outpacing defense by 10+, the attack lands with overwhelming force. The action is prevented from going through.",BLOCKED
3972,"While Stunned, performing any cast action is impossible. However, casting Frostbind while under Stunned produces a synergy that strengthens the spell. Compounding this, frostbind costs 30 mana to cast. Without enough mana, the spell fizzles (current mana: 6). The attempt fails completely under these conditions.",BLOCKED
4133,"A strength advantage of 10 or more over the target's defense results in a crushing blow. Meanwhile, attacking from Desert terrain imposes an accuracy penalty due to unstable footing. The action proceeds but with altered effects.",MODIFIED
974,"Spellcasting is not available to Rogue units — they have no magical ability. Additionally, heal cannot be cast on Mountain terrain — the thin air disrupts concentration. The attempt fails completely under these conditions.",BLOCKED
983,"A caster of level 8 or higher has mastered their craft — terrain penalties on spellcasting are reduced (unit is level 9). At the same time, spellcasting is not available to Striker units — they have no magical ability. On top of that, casting Fireball requires at least 28 mana. Insufficient mana blocks the spell (current mana: 12). Furthermore, fireball cannot be cast on Swamp terrain — the waterlogged ground absorbs magical energy. The action proceeds but with altered effects.",MODIFIED
4494,"Insufficient strength against the target's defenses means the attack deals partial damage. Additionally, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The action proceeds but with altered effects.",MODIFIED
1418,"Wounded units (below 15 HP) take a performance hit on attack actions. Compounding this, melee attacks require the attacker to be adjacent to the target. The attempt fails completely under these conditions.",BLOCKED
1560,"Adjacent allies receive a more potent Rally buff due to the caster's direct presence. However, casting Rally in Desert fails because extreme heat destabilizes the spell structure. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
4135,"Adjacent allies receive a more potent Rally buff due to the caster's direct presence. However, spellcasting is not available to Guardian units — they have no magical ability. Beyond that, rally costs 35 mana to cast. Without enough mana, the spell fizzles (current mana: 19). The action proceeds but with altered effects.",MODIFIED
1355,"Frostbind costs 30 mana to cast. Without enough mana, the spell fizzles (current mana: 26). Additionally, casting Frostbind in Swamp fails because the waterlogged ground absorbs magical energy. However, units below 15 HP suffer penalties when attempting to cast spells — injuries impair performance. Furthermore, frostbind against a Burning target neutralizes the status instead of dealing normal damage. The action is prevented from going through.",BLOCKED
5223,"From the Mountain's height, even melee units can strike distant targets below. On top of that, low-level Mages (below 6) suffer a damage penalty on attacks (unit is level 2). Furthermore, melee attacks require the attacker to be adjacent to the target. Beyond that, the magical barrier around the target deflects half the attack's force. The attempt goes through as intended.",ALLOWED
987,"Spellcasting is not available to Guardian units — they have no magical ability. At the same time, the Barrier spell demands 28 mana — anything less and the cast fails (current mana: 14). Compounding this, casting Barrier requires the caster to be at least level 3 (unit is level 1). Ultimately, the action is blocked and cannot proceed.",BLOCKED
2682,"Spellcasting is not available to Rogue units — they have no magical ability. Beyond that, fireball is locked until level 6 — lower-level casters cannot use it (unit is level 1). On top of that, fireball against a Frozen target neutralizes the status instead of dealing normal damage. The attempt fails completely under these conditions.",BLOCKED
1640,"Master-level casters (level 8+) partially overcome environmental interference through sheer skill (unit is level 9). Beyond that, casting Barrier requires at least 28 mana. Insufficient mana blocks the spell (current mana: 17). However, the Ruins environment prevents Barrier from forming: residual dark energy interferes with the casting. The action proceeds but with altered effects.",MODIFIED
1290,"Invisibility reveals secret passages through otherwise restricted terrain. Additionally, paladins consecrate Mountain terrain as they enter, neutralizing its negative effects for allies. The attempt goes through as intended.",ALLOWED
3681,"The Frozen effect immobilizes the unit, blocking any attempt to move. Additionally, the Desert environment is favorable for Rangers, granting enhanced movement. Ultimately, the action is blocked and cannot proceed.",BLOCKED
1380,"Veterans of level 7+ have learned to fight effectively even while wounded (unit is level 8). Meanwhile, stunned units cannot attack. The condition prevents all voluntary actions. The action proceeds but with altered effects.",MODIFIED
1933,"Low-level Rogues (below 4) suffer a damage penalty on attacks (unit is level 2). Compounding this, the attacker's strength is lower than the target's defense, resulting in reduced damage. Furthermore, the target is out of melee range — physical attacks cannot reach. However, the target's defense exceeding 15 represents thick armor that blunts most attacks. The attempt fails completely under these conditions.",BLOCKED
4638,"Rangers can attack at range with their bows, bypassing the adjacency requirement. Furthermore, until reaching level 4, Ranger attacks are weakened significantly (unit is level 1). On top of that, the attacker's strength is lower than the target's defense, resulting in reduced damage. However, melee attacks require the attacker to be adjacent to the target. Nothing prevents the action from succeeding normally.",ALLOWED
3160,"While Stunned, performing any cast action is impossible. Furthermore, guardians lack arcane training and cannot cast spells. Compounding this, barrier cannot be cast on Ruins terrain — residual dark energy interferes with the casting. Ultimately, the action is blocked and cannot proceed.",BLOCKED
2030,"The Frozen effect immobilizes the unit, blocking any attempt to move. Compounding this, stunned units cannot move. The condition prevents all voluntary actions. The action is prevented from going through.",BLOCKED
892,"As a ranged unit, the Ranger strikes from a distance. At the same time, the target is out of melee range — physical attacks cannot reach. Compounding this, combat effectiveness drops when fighting on Forest terrain. Nothing prevents the action from succeeding normally.",ALLOWED
4069,"Spellcasting is not available to Striker units — they have no magical ability. Additionally, the Lightning spell demands 30 mana — anything less and the cast fails (current mana: 25). Compounding this, casting Lightning requires the caster to be at least level 7 (unit is level 1). Furthermore, units below 15 HP suffer penalties when attempting to cast spells — injuries impair performance. The action is prevented from going through.",BLOCKED
2,"A caster of level 8 or higher has mastered their craft — terrain penalties on spellcasting are reduced (unit is level 10). Additionally, casting Fireball requires at least 28 mana. Insufficient mana blocks the spell (current mana: 6). Furthermore, the Swamp environment prevents Fireball from forming: the waterlogged ground absorbs magical energy. Beyond that, with HP below 15, the unit's cast effectiveness is significantly reduced. Compounding this, the Fireball spell interacts with Frozen status — the status is cleansed instead of the normal spell outcome. The action proceeds but with altered effects.",MODIFIED
2109,"At level 8 and above, the caster's expertise mitigates terrain-based spell disruption (unit is level 10). Furthermore, excess mana (35+) supercharges Frostbind, amplifying its potency significantly (current mana: 48). Meanwhile, frostbind cannot be cast on Swamp terrain — the waterlogged ground absorbs magical energy. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
849,"Spellcasting is not available to Ranger units — they have no magical ability. Meanwhile, heal cannot be cast on Swamp terrain — the waterlogged ground absorbs magical energy. Ultimately, the action is blocked and cannot proceed.",BLOCKED
2737,"Insufficient strength against the target's defenses means the attack deals partial damage. Additionally, the magical barrier around the target deflects half the attack's force. Beyond that, the target's defense exceeding 15 represents thick armor that blunts most attacks. The action succeeds in a modified form.",MODIFIED
2466,"Striking while Invisible grants a devastating sneak attack bonus before the stealth breaks. On top of that, until reaching level 4, Rogue attacks are weakened significantly (unit is level 1). At the same time, insufficient strength against the target's defenses means the attack deals partial damage. Additionally, the Desert environment makes it harder to land attacks — accuracy suffers. Beyond that, the target's defense exceeding 15 represents thick armor that blunts most attacks. The action proceeds but with altered effects.",MODIFIED
1914,"Insufficient strength against the target's defenses means the attack deals partial damage. Compounding this, without adjacency, a melee attack has no chance of connecting. On top of that, the Forest environment makes it harder to land attacks — accuracy suffers. Furthermore, against a target with 15+ defense, even powerful attacks are partially deflected. Ultimately, the action is blocked and cannot proceed.",BLOCKED
1596,"The Frozen effect immobilizes the unit, blocking any attempt to move. Beyond that, rogues gain a movement bonus when entering Plains — the terrain suits their abilities. The attempt fails completely under these conditions.",BLOCKED
1913,"The Mountain environment is impassable for Rogue units. Beyond that, at fewer than 10 HP, movement is agonizingly slow — half the normal speed. The action is prevented from going through.",BLOCKED
5186,"Invisibility reveals secret passages through otherwise restricted terrain. Beyond that, a Paladin entering Forest moves with extra efficiency. The attempt goes through as intended.",ALLOWED
2736,"When the target's defense exceeds the attacker's strength, damage output drops significantly. Furthermore, the target's defense exceeding 15 represents thick armor that blunts most attacks. The action proceeds but with altered effects.",MODIFIED
726,"When the target's defense exceeds the attacker's strength, damage output drops significantly. Meanwhile, against a target with 15+ defense, even powerful attacks are partially deflected. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
53,"Stunned units cannot cast spells. The condition prevents all voluntary actions. On top of that, the Swamp environment prevents Fireball from forming: the waterlogged ground absorbs magical energy. Ultimately, the action is blocked and cannot proceed.",BLOCKED
1796,"Low-level Mages (below 6) suffer a damage penalty on attacks (unit is level 3). Additionally, insufficient strength against the target's defenses means the attack deals partial damage. At the same time, without adjacency, a melee attack has no chance of connecting. The action is prevented from going through.",BLOCKED
3845,"While Stunned, performing any cast action is impossible. Beyond that, spellcasting is not available to Ranger units — they have no magical ability. On top of that, lightning cannot be cast on Ruins terrain — residual dark energy interferes with the casting. Additionally, only units of level 7 or higher can cast Lightning (unit is level 4). Ultimately, the action is blocked and cannot proceed.",BLOCKED
2553,"While Frozen, performing any attack action is impossible. At the same time, the target's defense exceeding 15 represents thick armor that blunts most attacks. Ultimately, the action is blocked and cannot proceed.",BLOCKED
2800,"Wounded units (below 15 HP) take a performance hit on attack actions. Compounding this, combat effectiveness drops when fighting on Forest terrain. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
936,"The attacker's strength is lower than the target's defense, resulting in reduced damage. At the same time, the target is out of melee range — physical attacks cannot reach. The attempt fails completely under these conditions.",BLOCKED
5090,"From the Mountain's height, even melee units can strike distant targets below. Meanwhile, the attacker's strength exceeds the target's defense by more than 10, dealing devastating bonus damage. Beyond that, melee attacks require the attacker to be adjacent to the target. Nothing prevents the action from succeeding normally.",ALLOWED
824,"Frostbind costs 30 mana to cast. Without enough mana, the spell fizzles (current mana: 25). On top of that, the Swamp environment prevents Frostbind from forming: the waterlogged ground absorbs magical energy. Ultimately, the action is blocked and cannot proceed.",BLOCKED
3401,"Low-level Mages (below 6) suffer a damage penalty on attacks (unit is level 5). However, attacking from Desert terrain imposes an accuracy penalty due to unstable footing. At the same time, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
1389,"Healing an adjacent ally with 30+ mana produces an empowered effect — restoring significantly more HP (current mana: 38). Beyond that, with HP below 15, the unit's cast effectiveness is significantly reduced. The action proceeds but with altered effects.",MODIFIED
3564,"Master-level casters (level 8+) partially overcome environmental interference through sheer skill (unit is level 9). At the same time, drain cannot be cast on Mountain terrain — the thin air disrupts concentration. Additionally, drain struggles against targets with defense above 12 — the magical siphon is partially blocked by resilience. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
884,"Frozen units cannot cast spells. The condition prevents all voluntary actions. At the same time, rally cast on an adjacent ally has increased effectiveness — proximity amplifies the morale boost. Compounding this, spellcasting is not available to Ranger units — they have no magical ability. Furthermore, the Rally spell demands 35 mana — anything less and the cast fails (current mana: 20). Ultimately, the action is blocked and cannot proceed.",BLOCKED
1868,"Insufficient strength against the target's defenses means the attack deals partial damage. At the same time, against a target with 15+ defense, even powerful attacks are partially deflected. The action succeeds in a modified form.",MODIFIED
10,"While Stunned, performing any attack action is impossible. Compounding this, rangers can attack at range with their bows, bypassing the adjacency requirement. Furthermore, the Invisible attacker strikes from stealth, dealing double damage as a sneak attack. Invisible status is lost. Meanwhile, melee attacks require the attacker to be adjacent to the target. However, shielded targets take only 50% damage from physical attacks. The action is prevented from going through.",BLOCKED
3415,"A caster of level 8 or higher has mastered their craft — terrain penalties on spellcasting are reduced (unit is level 10). At the same time, the Frozen effect immobilizes the unit, blocking any attempt to cast spells. Additionally, with mana above 45, Shadowstep is overcharged — dealing enhanced damage or stronger effects (current mana: 47). On top of that, a Striker has no capacity for magic and cannot cast any spell. The action proceeds but with altered effects.",MODIFIED
1463,"The attacker's strength is lower than the target's defense, resulting in reduced damage. However, melee attacks require the attacker to be adjacent to the target. The action is prevented from going through.",BLOCKED
806,"With ample mana (30+) and direct proximity, Heal restores nearly double the normal amount (current mana: 32). However, spellcasting is not available to Guardian units — they have no magical ability. Beyond that, casting Heal in Mountain fails because the thin air disrupts concentration. The action succeeds in a modified form.",MODIFIED
4331,"The Mountain's elevation grants ranged attack capability to all units. Compounding this, when the target's defense exceeds the attacker's strength, damage output drops significantly. On top of that, without adjacency, a melee attack has no chance of connecting. Additionally, the magical barrier around the target deflects half the attack's force. The action proceeds without restriction.",ALLOWED
4068,"Spellcasting is not available to Striker units — they have no magical ability. On top of that, lightning costs 30 mana to cast. Without enough mana, the spell fizzles (current mana: 6). The attempt fails completely under these conditions.",BLOCKED
2108,"While Stunned, performing any attack action is impossible. On top of that, the Invisible attacker strikes from stealth, dealing double damage as a sneak attack. Invisible status is lost. At the same time, low-level Rogues (below 4) suffer a damage penalty on attacks (unit is level 2). Beyond that, the attacker's strength is lower than the target's defense, resulting in reduced damage. Meanwhile, melee attacks require the attacker to be adjacent to the target. Additionally, the Desert environment makes it harder to land attacks — accuracy suffers. However, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The attempt fails completely under these conditions.",BLOCKED
5464,"The Mountain's elevation grants ranged attack capability to all units. Additionally, until reaching level 6, Mage attacks are weakened significantly (unit is level 5). However, insufficient strength against the target's defenses means the attack deals partial damage. Furthermore, melee attacks require the attacker to be adjacent to the target. Beyond that, the target's defense exceeding 15 represents thick armor that blunts most attacks. The attempt goes through as intended.",ALLOWED
5449,"As a ranged unit, the Ranger strikes from a distance. Beyond that, when the target's defense exceeds the attacker's strength, damage output drops significantly. On top of that, the target is out of melee range — physical attacks cannot reach. Meanwhile, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The attempt goes through as intended.",ALLOWED
2234,"With mana above 35, Frostbind is overcharged — dealing enhanced damage or stronger effects (current mana: 47). Beyond that, guardians lack arcane training and cannot cast spells. Meanwhile, wounded units (below 15 HP) take a performance hit on cast actions. The action proceeds but with altered effects.",MODIFIED
963,"Attacking from Forest terrain imposes an accuracy penalty due to unstable footing. Beyond that, the target's defense exceeding 15 represents thick armor that blunts most attacks. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
2632,"With mana above 35, Frostbind is overcharged — dealing enhanced damage or stronger effects (current mana: 42). On top of that, a Ranger has no capacity for magic and cannot cast any spell. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
704,"A sneak attack from Invisible status doubles the damage output, but reveals the attacker. Additionally, when the target's defense exceeds the attacker's strength, damage output drops significantly. The action proceeds but with altered effects.",MODIFIED
431,"Rangers lack arcane training and cannot cast spells. Compounding this, lightning costs 30 mana to cast. Without enough mana, the spell fizzles (current mana: 13). Additionally, lightning is locked until level 7 — lower-level casters cannot use it (unit is level 5). The action is prevented from going through.",BLOCKED
145,"At level 8 and above, the caster's expertise mitigates terrain-based spell disruption (unit is level 9). Compounding this, while Stunned, performing any cast action is impossible. Beyond that, rally cast on an adjacent ally has increased effectiveness — proximity amplifies the morale boost. Additionally, rogues lack arcane training and cannot cast spells. On top of that, rally costs 35 mana to cast. Without enough mana, the spell fizzles (current mana: 14). The action proceeds but with altered effects.",MODIFIED
2033,"A Guardian has no capacity for magic and cannot cast any spell. Compounding this, frostbind costs 30 mana to cast. Without enough mana, the spell fizzles (current mana: 19). Ultimately, the action is blocked and cannot proceed.",BLOCKED
4623,"While Invisible, the unit slips through normally impassable terrain undetected. However, a Rogue finds Mountain terrain incompatible with their movement capabilities. The attempt goes through as intended.",ALLOWED
1165,"Casting Drain requires at least 20 mana. Insufficient mana blocks the spell (current mana: 13). Furthermore, casting Drain in Plains fails because open terrain dissipates the focused energy. Beyond that, high-defense targets (12+) resist Drain's life-stealing effect, reducing the amount siphoned. Ultimately, the action is blocked and cannot proceed.",BLOCKED
3500,"When the target's defense exceeds the attacker's strength, damage output drops significantly. However, without adjacency, a melee attack has no chance of connecting. The attempt fails completely under these conditions.",BLOCKED
2050,"While Frozen, performing any move action is impossible. Beyond that, a Mage finds Desert terrain incompatible with their movement capabilities. Ultimately, the action is blocked and cannot proceed.",BLOCKED
3760,"Until reaching level 4, Rogue attacks are weakened significantly (unit is level 1). However, the attacker's strength is lower than the target's defense, resulting in reduced damage. Meanwhile, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
2624,"Rangers lack arcane training and cannot cast spells. At the same time, lightning is locked until level 7 — lower-level casters cannot use it (unit is level 1). The action is prevented from going through.",BLOCKED
4391,"The attacker's strength is lower than the target's defense, resulting in reduced damage. At the same time, attacking from Desert terrain imposes an accuracy penalty due to unstable footing. Additionally, the target's defense exceeding 15 represents thick armor that blunts most attacks. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
4269,"At level 8 and above, the caster's expertise mitigates terrain-based spell disruption (unit is level 9). However, the Drain spell demands 20 mana — anything less and the cast fails (current mana: 14). At the same time, the Mountain environment prevents Drain from forming: the thin air disrupts concentration. While not outright blocked, the outcome is modified from the standard result.",MODIFIED
