id,verdict
17762,FACILITY:WYR-0299 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
13958,"FACILITY:UBT-7061 | VIOLATIONS:filter_failure,waste_overflow | COUNT:2 | SEVERITY:moderate | ACTION:no_action | PENALTY:none"
1662,"FACILITY:TXL-3779 | VIOLATIONS:noise_exceedance,seal_degradation | COUNT:2 | SEVERITY:elevated | ACTION:log_only | PENALTY:none"
1970,FACILITY:CGN-4999 | VIOLATIONS:runoff_contamination | COUNT:1 | SEVERITY:low | ACTION:partial_shutdown | PENALTY:tier_A
7888,"FACILITY:DRM-2984 | VIOLATIONS:chemical_spill,noise_exceedance,particulate_spike,seal_degradation | COUNT:4 | SEVERITY:high | ACTION:log_only | PENALTY:none"
14414,"FACILITY:ZRD-4625 | VIOLATIONS:corrosion_detected,filter_failure,structural_crack,thermal_deviation | COUNT:4 | SEVERITY:high | ACTION:full_shutdown | PENALTY:tier_A"
16615,FACILITY:CGN-3088 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
12196,"FACILITY:DRM-1691 | VIOLATIONS:filter_failure,leak | COUNT:2 | SEVERITY:moderate | ACTION:reinspect_30d | PENALTY:none"
7468,FACILITY:JNK-1859 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
18478,"FACILITY:MVO-6888 | VIOLATIONS:filter_failure,runoff_contamination | COUNT:2 | SEVERITY:moderate | ACTION:immediate_halt | PENALTY:none"
17656,"FACILITY:HCG-8992 | VIOLATIONS:containment_breach,filter_failure,pressure_anomaly,thermal_deviation,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:log_only | PENALTY:none"
18032,FACILITY:QMT-6038 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
15429,"FACILITY:ZRD-8542 | VIOLATIONS:chemical_spill,filter_failure,leak,seal_degradation,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:log_only | PENALTY:none"
8714,"FACILITY:DRM-8246 | VIOLATIONS:chemical_spill,runoff_contamination,seal_degradation,structural_crack,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:reinspect_7d | PENALTY:none"
3689,"FACILITY:PSN-2188 | VIOLATIONS:seal_degradation,thermal_deviation | COUNT:2 | SEVERITY:low | ACTION:immediate_halt | PENALTY:tier_A"
3553,"FACILITY:ZRD-5807 | VIOLATIONS:containment_breach,corrosion_detected | COUNT:2 | SEVERITY:high | ACTION:reinspect_30d | PENALTY:none"
11206,"FACILITY:AEL-7031 | VIOLATIONS:containment_breach,ventilation_fault | COUNT:2 | SEVERITY:elevated | ACTION:reinspect_7d | PENALTY:none"
11060,"FACILITY:ZRD-4235 | VIOLATIONS:pressure_anomaly,runoff_contamination,ventilation_fault | COUNT:3 | SEVERITY:elevated | ACTION:reinspect_7d | PENALTY:none"
17162,"FACILITY:ZRD-4648 | VIOLATIONS:filter_failure,particulate_spike | COUNT:2 | SEVERITY:moderate | ACTION:reinspect_30d | PENALTY:none"
6090,"FACILITY:PSN-2037 | VIOLATIONS:chemical_spill,emission_excess,thermal_deviation | COUNT:3 | SEVERITY:elevated | ACTION:no_action | PENALTY:none"
2565,"FACILITY:WYR-8030 | VIOLATIONS:chemical_spill,filter_failure,pressure_anomaly,ventilation_fault | COUNT:4 | SEVERITY:critical | ACTION:log_only | PENALTY:tier_A"
8027,"FACILITY:ZRD-3051 | VIOLATIONS:chemical_spill,structural_crack | COUNT:2 | SEVERITY:moderate | ACTION:reinspect_30d | PENALTY:tier_E"
11436,FACILITY:HCG-0327 | VIOLATIONS:noise_exceedance | COUNT:1 | SEVERITY:low | ACTION:no_action | PENALTY:none
13995,FACILITY:HCG-5290 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
13744,FACILITY:FWS-6164 | VIOLATIONS:corrosion_detected | COUNT:1 | SEVERITY:moderate | ACTION:reinspect_30d | PENALTY:none
5519,"FACILITY:DRM-9885 | VIOLATIONS:noise_exceedance,structural_crack,waste_overflow | COUNT:3 | SEVERITY:elevated | ACTION:full_shutdown | PENALTY:tier_B"
19732,"FACILITY:BPH-0620 | VIOLATIONS:emission_excess,seal_degradation,structural_crack,waste_overflow | COUNT:4 | SEVERITY:critical | ACTION:reinspect_7d | PENALTY:tier_D"
18313,"FACILITY:BPH-0825 | VIOLATIONS:chemical_spill,corrosion_detected,seal_degradation,structural_crack,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:reinspect_30d | PENALTY:none"
3086,"FACILITY:QMT-6863 | VIOLATIONS:corrosion_detected,noise_exceedance,structural_crack,ventilation_fault | COUNT:4 | SEVERITY:critical | ACTION:full_shutdown | PENALTY:none"
8190,FACILITY:PSN-8491 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
848,"FACILITY:KRX-0531 | VIOLATIONS:filter_failure,leak,runoff_contamination | COUNT:3 | SEVERITY:elevated | ACTION:partial_shutdown | PENALTY:none"
3458,FACILITY:QMT-1387 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
15420,"FACILITY:VLN-5078 | VIOLATIONS:filter_failure,seal_degradation,ventilation_fault,waste_overflow | COUNT:4 | SEVERITY:high | ACTION:full_shutdown | PENALTY:none"
14983,"FACILITY:TXL-0133 | VIOLATIONS:chemical_spill,particulate_spike,ventilation_fault | COUNT:3 | SEVERITY:elevated | ACTION:log_only | PENALTY:none"
16902,"FACILITY:ZRD-1624 | VIOLATIONS:containment_breach,particulate_spike,structural_crack,waste_overflow | COUNT:4 | SEVERITY:high | ACTION:immediate_halt | PENALTY:tier_A"
5041,"FACILITY:VLN-5801 | VIOLATIONS:chemical_spill,noise_exceedance,thermal_deviation,ventilation_fault | COUNT:4 | SEVERITY:high | ACTION:reinspect_30d | PENALTY:none"
19214,FACILITY:QMT-8366 | VIOLATIONS:thermal_deviation | COUNT:1 | SEVERITY:low | ACTION:no_action | PENALTY:none
17855,FACILITY:DRM-6668 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
10728,FACILITY:DRM-8132 | VIOLATIONS:emission_excess | COUNT:1 | SEVERITY:moderate | ACTION:reinspect_7d | PENALTY:none
11160,"FACILITY:JNK-0762 | VIOLATIONS:containment_breach,corrosion_detected,leak,pressure_anomaly | COUNT:4 | SEVERITY:critical | ACTION:reinspect_30d | PENALTY:tier_A"
2777,"FACILITY:AEL-8839 | VIOLATIONS:filter_failure,particulate_spike,structural_crack | COUNT:3 | SEVERITY:critical | ACTION:reinspect_30d | PENALTY:tier_C"
5094,"FACILITY:AEL-2843 | VIOLATIONS:emission_excess,leak,seal_degradation | COUNT:3 | SEVERITY:elevated | ACTION:partial_shutdown | PENALTY:none"
16127,"FACILITY:ZRD-4821 | VIOLATIONS:containment_breach,corrosion_detected,emission_excess,leak,pressure_anomaly | COUNT:5 | SEVERITY:critical | ACTION:reinspect_30d | PENALTY:none"
10434,"FACILITY:BPH-7579 | VIOLATIONS:chemical_spill,noise_exceedance,runoff_contamination,structural_crack,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:immediate_halt | PENALTY:none"
5445,"FACILITY:ZRD-0389 | VIOLATIONS:runoff_contamination,structural_crack | COUNT:2 | SEVERITY:moderate | ACTION:immediate_halt | PENALTY:tier_B"
4720,"FACILITY:ZRD-4824 | VIOLATIONS:emission_excess,filter_failure | COUNT:2 | SEVERITY:critical | ACTION:immediate_halt | PENALTY:none"
13388,"FACILITY:VLN-1647 | VIOLATIONS:emission_excess,leak,particulate_spike | COUNT:3 | SEVERITY:critical | ACTION:reinspect_7d | PENALTY:none"
9763,FACILITY:HCG-8467 | VIOLATIONS:waste_overflow | COUNT:1 | SEVERITY:moderate | ACTION:no_action | PENALTY:none
17487,"FACILITY:AEL-7766 | VIOLATIONS:particulate_spike,pressure_anomaly,seal_degradation | COUNT:3 | SEVERITY:high | ACTION:immediate_halt | PENALTY:tier_D"
19316,FACILITY:FWS-1641 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
8953,"FACILITY:DRM-4206 | VIOLATIONS:runoff_contamination,thermal_deviation,waste_overflow | COUNT:3 | SEVERITY:high | ACTION:partial_shutdown | PENALTY:tier_B"
2134,"FACILITY:DRM-0827 | VIOLATIONS:chemical_spill,waste_overflow | COUNT:2 | SEVERITY:low | ACTION:no_action | PENALTY:none"
13284,"FACILITY:KRX-5683 | VIOLATIONS:chemical_spill,noise_exceedance | COUNT:2 | SEVERITY:elevated | ACTION:log_only | PENALTY:tier_D"
2489,"FACILITY:MVO-9305 | VIOLATIONS:thermal_deviation,ventilation_fault | COUNT:2 | SEVERITY:elevated | ACTION:reinspect_7d | PENALTY:tier_D"
6677,"FACILITY:BPH-5714 | VIOLATIONS:runoff_contamination,seal_degradation,waste_overflow | COUNT:3 | SEVERITY:elevated | ACTION:reinspect_7d | PENALTY:none"
14094,FACILITY:DRM-9830 | VIOLATIONS:filter_failure | COUNT:1 | SEVERITY:high | ACTION:full_shutdown | PENALTY:tier_D
12760,FACILITY:VLN-3104 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
16549,"FACILITY:ZRD-9634 | VIOLATIONS:leak,particulate_spike,pressure_anomaly | COUNT:3 | SEVERITY:critical | ACTION:partial_shutdown | PENALTY:tier_E"
133,"FACILITY:FWS-4301 | VIOLATIONS:containment_breach,emission_excess,pressure_anomaly,seal_degradation | COUNT:4 | SEVERITY:high | ACTION:full_shutdown | PENALTY:none"
18622,"FACILITY:CGN-9085 | VIOLATIONS:emission_excess,filter_failure | COUNT:2 | SEVERITY:critical | ACTION:full_shutdown | PENALTY:none"
6124,"FACILITY:UBT-4222 | VIOLATIONS:corrosion_detected,emission_excess,filter_failure,runoff_contamination,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:immediate_halt | PENALTY:none"
3592,"FACILITY:TXL-2550 | VIOLATIONS:filter_failure,leak,seal_degradation,structural_crack,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:log_only | PENALTY:none"
8297,"FACILITY:WYR-5886 | VIOLATIONS:emission_excess,leak,runoff_contamination,thermal_deviation | COUNT:4 | SEVERITY:high | ACTION:full_shutdown | PENALTY:tier_D"
564,"FACILITY:VLN-1010 | VIOLATIONS:corrosion_detected,structural_crack | COUNT:2 | SEVERITY:moderate | ACTION:no_action | PENALTY:none"
6792,"FACILITY:CGN-7601 | VIOLATIONS:particulate_spike,structural_crack | COUNT:2 | SEVERITY:moderate | ACTION:reinspect_30d | PENALTY:tier_A"
9298,"FACILITY:HCG-4322 | VIOLATIONS:chemical_spill,emission_excess,filter_failure,leak,particulate_spike | COUNT:5 | SEVERITY:critical | ACTION:partial_shutdown | PENALTY:tier_E"
11431,FACILITY:VLN-3072 | VIOLATIONS:particulate_spike | COUNT:1 | SEVERITY:low | ACTION:immediate_halt | PENALTY:tier_D
16256,FACILITY:TXL-3485 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
9247,"FACILITY:PSN-0511 | VIOLATIONS:particulate_spike,thermal_deviation | COUNT:2 | SEVERITY:moderate | ACTION:no_action | PENALTY:none"
7426,"FACILITY:TXL-3264 | VIOLATIONS:emission_excess,filter_failure,noise_exceedance,thermal_deviation | COUNT:4 | SEVERITY:critical | ACTION:full_shutdown | PENALTY:none"
9821,"FACILITY:CGN-3606 | VIOLATIONS:corrosion_detected,emission_excess,filter_failure,leak,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:reinspect_30d | PENALTY:none"
14536,"FACILITY:PSN-6490 | VIOLATIONS:containment_breach,particulate_spike | COUNT:2 | SEVERITY:elevated | ACTION:immediate_halt | PENALTY:tier_B"
17692,"FACILITY:HCG-9744 | VIOLATIONS:containment_breach,particulate_spike,pressure_anomaly,runoff_contamination | COUNT:4 | SEVERITY:critical | ACTION:reinspect_7d | PENALTY:none"
13444,FACILITY:TXL-1688 | VIOLATIONS:waste_overflow | COUNT:1 | SEVERITY:low | ACTION:no_action | PENALTY:none
9551,"FACILITY:QMT-6414 | VIOLATIONS:chemical_spill,corrosion_detected,pressure_anomaly,thermal_deviation | COUNT:4 | SEVERITY:critical | ACTION:reinspect_30d | PENALTY:none"
9286,"FACILITY:VLN-2730 | VIOLATIONS:chemical_spill,leak,particulate_spike,waste_overflow | COUNT:4 | SEVERITY:critical | ACTION:partial_shutdown | PENALTY:none"
6551,"FACILITY:FWS-4475 | VIOLATIONS:corrosion_detected,ventilation_fault | COUNT:2 | SEVERITY:moderate | ACTION:no_action | PENALTY:none"
10944,FACILITY:PSN-9429 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
13163,"FACILITY:TXL-3172 | VIOLATIONS:corrosion_detected,filter_failure,leak,runoff_contamination,seal_degradation | COUNT:5 | SEVERITY:critical | ACTION:reinspect_30d | PENALTY:none"
8109,"FACILITY:WYR-3370 | VIOLATIONS:seal_degradation,waste_overflow | COUNT:2 | SEVERITY:high | ACTION:reinspect_7d | PENALTY:tier_C"
14727,"FACILITY:HCG-3538 | VIOLATIONS:containment_breach,particulate_spike,pressure_anomaly,structural_crack,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:partial_shutdown | PENALTY:none"
6700,"FACILITY:WYR-3736 | VIOLATIONS:corrosion_detected,emission_excess,filter_failure,structural_crack | COUNT:4 | SEVERITY:critical | ACTION:partial_shutdown | PENALTY:none"
17900,"FACILITY:QMT-1779 | VIOLATIONS:chemical_spill,filter_failure,thermal_deviation,ventilation_fault | COUNT:4 | SEVERITY:high | ACTION:full_shutdown | PENALTY:tier_D"
18482,FACILITY:PSN-7161 | VIOLATIONS:noise_exceedance | COUNT:1 | SEVERITY:low | ACTION:no_action | PENALTY:none
4661,"FACILITY:CGN-4359 | VIOLATIONS:runoff_contamination,seal_degradation,structural_crack | COUNT:3 | SEVERITY:elevated | ACTION:no_action | PENALTY:none"
12430,"FACILITY:PSN-1897 | VIOLATIONS:noise_exceedance,runoff_contamination,structural_crack | COUNT:3 | SEVERITY:elevated | ACTION:reinspect_7d | PENALTY:none"
8383,"FACILITY:VLN-0855 | VIOLATIONS:chemical_spill,particulate_spike,ventilation_fault | COUNT:3 | SEVERITY:elevated | ACTION:immediate_halt | PENALTY:tier_C"
6841,FACILITY:TXL-5001 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
7793,FACILITY:DRM-7474 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
13233,"FACILITY:CGN-6837 | VIOLATIONS:corrosion_detected,noise_exceedance,structural_crack,thermal_deviation,ventilation_fault | COUNT:5 | SEVERITY:high | ACTION:reinspect_30d | PENALTY:none"
6416,"FACILITY:MVO-5045 | VIOLATIONS:filter_failure,seal_degradation | COUNT:2 | SEVERITY:critical | ACTION:reinspect_7d | PENALTY:none"
8811,"FACILITY:UBT-7813 | VIOLATIONS:noise_exceedance,pressure_anomaly | COUNT:2 | SEVERITY:elevated | ACTION:no_action | PENALTY:none"
15529,"FACILITY:BPH-3620 | VIOLATIONS:chemical_spill,corrosion_detected,emission_excess,leak,pressure_anomaly | COUNT:5 | SEVERITY:critical | ACTION:full_shutdown | PENALTY:none"
10731,"FACILITY:AEL-4329 | VIOLATIONS:leak,noise_exceedance,ventilation_fault | COUNT:3 | SEVERITY:elevated | ACTION:log_only | PENALTY:tier_B"
14256,"FACILITY:HCG-2738 | VIOLATIONS:leak,particulate_spike | COUNT:2 | SEVERITY:negligible | ACTION:no_action | PENALTY:none"
16338,FACILITY:DRM-4624 | VIOLATIONS:filter_failure | COUNT:1 | SEVERITY:high | ACTION:immediate_halt | PENALTY:none
19970,"FACILITY:ZRD-9259 | VIOLATIONS:noise_exceedance,seal_degradation,ventilation_fault | COUNT:3 | SEVERITY:elevated | ACTION:full_shutdown | PENALTY:tier_B"
7204,FACILITY:WYR-1711 | VIOLATIONS:chemical_spill | COUNT:1 | SEVERITY:elevated | ACTION:reinspect_30d | PENALTY:tier_A
19895,FACILITY:MVO-3566 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
15509,"FACILITY:QMT-3738 | VIOLATIONS:corrosion_detected,filter_failure,leak,seal_degradation | COUNT:4 | SEVERITY:critical | ACTION:immediate_halt | PENALTY:none"
4745,"FACILITY:UBT-4973 | VIOLATIONS:emission_excess,noise_exceedance | COUNT:2 | SEVERITY:high | ACTION:immediate_halt | PENALTY:none"
13175,"FACILITY:VLN-4637 | VIOLATIONS:seal_degradation,ventilation_fault | COUNT:2 | SEVERITY:low | ACTION:reinspect_30d | PENALTY:none"
6462,FACILITY:BPH-7738 | VIOLATIONS:none | COUNT:0 | SEVERITY:negligible | ACTION:no_action | PENALTY:none
13405,"FACILITY:ZRD-0820 | VIOLATIONS:chemical_spill,filter_failure,leak,particulate_spike,pressure_anomaly | COUNT:5 | SEVERITY:critical | ACTION:reinspect_7d | PENALTY:none"
16014,"FACILITY:QMT-0857 | VIOLATIONS:containment_breach,pressure_anomaly,thermal_deviation | COUNT:3 | SEVERITY:high | ACTION:immediate_halt | PENALTY:tier_E"
6808,"FACILITY:AEL-5243 | VIOLATIONS:containment_breach,particulate_spike | COUNT:2 | SEVERITY:low | ACTION:log_only | PENALTY:none"
11494,"FACILITY:QMT-7969 | VIOLATIONS:noise_exceedance,seal_degradation,thermal_deviation,waste_overflow | COUNT:4 | SEVERITY:critical | ACTION:log_only | PENALTY:tier_D"
16316,"FACILITY:WYR-4899 | VIOLATIONS:corrosion_detected,noise_exceedance,runoff_contamination,waste_overflow | COUNT:4 | SEVERITY:high | ACTION:immediate_halt | PENALTY:none"
3796,"FACILITY:VLN-0259 | VIOLATIONS:corrosion_detected,filter_failure | COUNT:2 | SEVERITY:high | ACTION:reinspect_7d | PENALTY:tier_A"
13245,"FACILITY:VLN-7994 | VIOLATIONS:particulate_spike,thermal_deviation | COUNT:2 | SEVERITY:moderate | ACTION:log_only | PENALTY:tier_D"
7973,"FACILITY:WYR-1072 | VIOLATIONS:particulate_spike,seal_degradation,ventilation_fault | COUNT:3 | SEVERITY:elevated | ACTION:full_shutdown | PENALTY:none"
10488,"FACILITY:UBT-2173 | VIOLATIONS:seal_degradation,ventilation_fault,waste_overflow | COUNT:3 | SEVERITY:elevated | ACTION:immediate_halt | PENALTY:none"
19858,"FACILITY:WYR-0494 | VIOLATIONS:emission_excess,seal_degradation,ventilation_fault | COUNT:3 | SEVERITY:elevated | ACTION:immediate_halt | PENALTY:tier_A"
13643,FACILITY:WYR-3990 | VIOLATIONS:particulate_spike | COUNT:1 | SEVERITY:low | ACTION:no_action | PENALTY:none
9947,"FACILITY:HCG-7930 | VIOLATIONS:corrosion_detected,noise_exceedance | COUNT:2 | SEVERITY:moderate | ACTION:full_shutdown | PENALTY:tier_D"
4010,"FACILITY:CGN-7372 | VIOLATIONS:particulate_spike,waste_overflow | COUNT:2 | SEVERITY:moderate | ACTION:full_shutdown | PENALTY:none"
7250,FACILITY:AEL-1884 | VIOLATIONS:thermal_deviation | COUNT:1 | SEVERITY:elevated | ACTION:immediate_halt | PENALTY:tier_A
16411,"FACILITY:DRM-8373 | VIOLATIONS:chemical_spill,corrosion_detected,emission_excess,leak,particulate_spike | COUNT:5 | SEVERITY:critical | ACTION:full_shutdown | PENALTY:tier_A"
9530,"FACILITY:AEL-5283 | VIOLATIONS:emission_excess,particulate_spike,pressure_anomaly,structural_crack,waste_overflow | COUNT:5 | SEVERITY:critical | ACTION:reinspect_7d | PENALTY:tier_B"
50,"FACILITY:JNK-8637 | VIOLATIONS:corrosion_detected,emission_excess,pressure_anomaly | COUNT:3 | SEVERITY:moderate | ACTION:no_action | PENALTY:none"
