id,output,visibility
12169,1-5-4,private
12170,0-9-1,private
12171,1-4-4,public
12172,1-5-1,private
12173,0-6-1,public
12174,0-6-4,private
12175,1-6-2,private
12176,1-9-1,private
12177,0-5-4,private
12178,1-7-2,public
12179,1-8-2,public
12180,1-7-2,private
12181,1-4-2,public
12182,0-5-1,public
12183,1-3-0,public
12184,1-3-2,public
12185,0-8-4,private
12186,0-7-4,private
12187,1-7-1,private
12188,0-5-3,private
12189,1-7-4,private
12190,1-8-2,private
12191,1-8-0,private
12192,0-8-3,private
12193,1-5-0,private
12194,0-3-3,private
12195,0-7-3,public
12196,0-7-0,private
12197,0-9-2,private
12198,1-8-0,private
12199,0-8-2,private
12200,1-8-1,public
12201,1-8-3,private
12202,0-8-1,public
12203,0-8-2,private
12204,1-8-4,private
12205,0-8-3,private
12206,1-8-4,public
12207,0-8-2,private
12208,1-8-2,private
12209,1-8-2,public
12210,0-8-3,private
12211,1-8-2,public
12212,1-8-2,private
12213,1-8-1,private
12214,1-8-0,public
12215,1-8-3,private
12216,0-8-0,private
12217,1-8-1,private
12218,1-8-1,public
12219,0-8-4,private
12220,0-8-1,private
12221,0-8-4,private
12222,1-8-1,public
12223,1-8-3,private
12224,1-8-1,public
12225,0-8-2,public
12226,1-8-4,public
12227,1-8-0,private
12228,1-8-4,private
12229,0-8-0,private
12230,1-8-2,private
12231,1-8-3,public
12232,0-8-3,public
12233,0-8-2,public
12234,1-8-4,private
12235,1-8-3,private
12236,1-8-3,private
12237,1-8-1,private
12238,1-8-4,public
12239,0-8-1,public
12240,0-8-2,private
12241,0-8-3,private
12242,0-8-0,private
12243,1-8-3,private
12244,0-9-0,private
12245,1-8-3,private
12246,1-8-3,private
12247,0-8-4,private
12248,1-8-1,private
12249,0-9-4,public
12250,1-9-4,private
12251,1-9-0,private
12252,0-9-3,private
12253,0-8-0,public
12254,0-8-3,private
12255,1-8-1,private
12256,1-8-3,private
12257,0-8-0,public
12258,1-8-1,private
12259,1-8-1,private
12260,0-8-4,private
12261,1-8-4,private
12262,1-8-1,private
12263,1-8-4,private
12264,0-8-3,public
12265,0-8-3,private
12266,1-8-0,public
12267,1-8-3,public
12268,1-8-1,public
12269,1-8-2,public
12270,1-8-4,private
12271,1-8-4,public
12272,1-8-4,private
12273,1-8-4,public
12274,0-8-4,private
12275,0-3-2,public
12276,0-8-2,private
12277,1-8-3,public
12278,0-8-4,private
12279,1-8-1,private
12280,1-8-1,private
12281,0-8-2,public
12282,0-8-2,private
12283,1-3-4,private
12284,0-5-0,public
12285,0-5-0,private
12286,0-8-4,private
12287,1-3-4,private
12288,0-3-3,private
12289,1-0-4,private
12290,0-4-1,private
12291,0-8-2,private
12292,0-7-4,private
12293,1-3-0,public
12294,1-3-2,public
12295,1-4-2,private
12296,0-3-0,public
12297,0-1-1,private
12298,1-4-3,public
12299,1-8-4,private
12300,0-3-1,private
12301,0-2-4,private
12302,1-6-2,private
12303,0-7-4,private
12304,1-5-2,public
12305,1-8-3,private
12306,1-7-0,private
12307,0-1-1,private
12308,1-8-4,private
12309,1-0-4,private
12310,0-5-1,public
12311,1-2-4,private
12312,1-6-0,private
12313,0-6-1,private
12314,1-4-0,private
12315,0-7-2,private
12316,0-7-2,private
12317,1-5-2,public
12318,1-4-0,private
12319,1-8-1,private
12320,0-4-1,public
12321,1-5-0,private
12322,1-7-1,private
12323,0-7-4,public
12324,1-8-3,private
12325,1-7-3,private
12326,1-7-0,private
12327,1-7-3,public
12328,0-8-1,public
12329,0-7-1,private
12330,1-8-4,private
12331,0-8-2,private
12332,0-8-2,private
12333,0-8-2,private
12334,0-7-4,private
12335,1-8-2,private
12336,1-3-4,private
12337,1-7-2,private
12338,1-3-4,public
12339,1-8-0,private
12340,0-8-2,private
12341,1-8-4,public
12342,1-8-3,private
12343,1-5-1,public
12344,1-6-4,private
12345,0-9-1,private
12346,1-3-4,private
12347,1-3-2,private
12348,1-8-0,public
12349,1-7-2,public
12350,0-3-0,private
12351,0-3-0,public
12352,0-3-0,public
12353,1-5-4,private
12354,0-9-4,private
12355,0-7-4,public
12356,1-7-0,private
12357,0-9-0,public
12358,1-5-0,private
12359,1-5-1,private
12360,0-5-4,private
12361,0-5-0,private
12362,0-4-3,public
12363,0-7-1,public
12364,1-7-4,private
12365,1-3-4,private
12366,1-3-2,private
12367,0-3-4,private
12368,1-7-1,private
12369,0-8-0,private
12370,0-5-3,private
12371,0-7-1,private
12372,1-5-1,public
12373,0-9-1,private
12374,1-7-3,private
12375,1-6-2,private
12376,1-9-3,private
12377,1-9-3,public
12378,1-9-1,private
12379,0-9-1,private
12380,0-9-4,public
12381,0-5-3,private
12382,0-7-4,public
12383,0-4-1,private
12384,1-4-2,private
12385,1-7-1,private
12386,0-7-4,public
12387,0-7-4,private
12388,1-8-4,private
12389,0-5-1,private
12390,1-4-2,private
12391,1-8-3,private
12392,1-8-3,public
12393,1-8-0,public
12394,1-7-0,private
12395,1-7-0,public
12396,1-8-0,public
12397,0-8-0,private
12398,1-5-0,private
12399,1-8-1,private
12400,1-8-1,private
12401,1-8-4,public
12402,1-8-2,private
12403,0-8-4,public
12404,1-8-2,public
12405,1-8-3,private
12406,1-8-0,private
12407,1-8-0,private
12408,0-8-4,private
12409,0-8-1,public
12410,0-8-0,public
12411,1-9-0,public
12412,1-8-0,public
12413,1-8-4,public
12414,1-8-4,public
12415,0-8-4,private
12416,0-8-1,public
12417,0-8-0,private
12418,1-8-2,private
12419,0-8-3,private
12420,0-8-0,public
12421,0-8-4,private
12422,0-8-1,private
12423,1-8-4,private
12424,1-8-4,private
12425,0-8-1,private
12426,0-8-0,private
12427,0-8-0,public
12428,0-8-1,private
12429,0-8-2,public
12430,1-8-2,public
12431,1-8-2,private
12432,1-8-4,public
12433,1-9-3,public
12434,1-9-3,private
12435,1-9-1,private
12436,0-9-1,private
12437,0-8-1,public
12438,0-8-4,private
12439,1-8-2,public
12440,1-8-4,private
12441,0-8-4,public
12442,0-8-1,public
12443,0-8-4,private
12444,1-8-2,private
12445,0-8-1,private
12446,1-8-2,public
12447,0-8-1,private
12448,0-8-4,public
12449,1-8-4,private
12450,1-8-4,private
12451,1-8-0,public
12452,1-8-0,private
12453,1-8-0,private
12454,0-8-3,public
12455,1-8-0,private
12456,0-6-4,private
12457,0-3-4,public
12458,0-4-4,public
12459,0-5-1,private
12460,0-8-0,private
12461,0-5-3,private
12462,1-5-3,private
12463,1-7-2,private
12464,0-7-3,private
12465,0-5-3,private
12466,0-3-3,private
12467,1-3-0,private
12468,1-3-3,public
12469,1-5-2,private
12470,1-8-1,private
12471,1-7-3,private
12472,1-5-3,private
12473,1-4-1,private
12474,0-7-2,private
12475,1-5-0,public
12476,1-5-2,private
12477,1-7-3,private
12478,0-5-1,private
12479,0-4-1,public
12480,1-7-2,private
12481,1-6-3,private
12482,1-7-1,private
12483,1-9-2,private
12484,1-5-0,private
12485,1-7-1,private
12486,0-3-4,private
12487,0-3-4,private
12488,0-7-0,public
12489,1-5-0,public
12490,1-4-3,public
12491,0-8-4,public
12492,0-4-1,private
12493,0-7-3,private
12494,1-8-2,private
12495,0-3-2,public
12496,0-3-4,public
12497,1-7-1,public
12498,1-7-1,private
12499,1-7-3,private
12500,0-5-1,public
12501,0-7-1,public
12502,0-8-0,public
12503,0-8-0,private
12504,0-7-2,private
12505,0-8-2,public
12506,1-8-0,private
12507,1-7-0,public
12508,1-7-4,public
12509,1-6-3,private
12510,1-4-3,private
12511,1-5-0,private
12512,1-4-3,private
12513,0-3-1,public
12514,0-1-2,public
12515,1-4-4,private
12516,1-8-0,private
12517,0-2-0,private
12518,1-5-1,private
12519,1-5-0,private
12520,1-5-3,private
12521,1-7-1,public
12522,0-8-4,public
12523,1-6-4,private
12524,0-7-3,public
12525,0-6-2,private
12526,0-9-1,private
12527,1-9-0,public
12528,0-9-0,private
12529,0-9-3,private
12530,0-9-1,public
12531,1-9-1,private
12532,1-9-4,private
12533,1-7-4,public
12534,1-5-4,public
12535,0-7-3,private
12536,1-5-3,public
12537,1-4-1,private
12538,1-7-4,private
12539,0-8-2,private
12540,0-4-2,private
12541,1-4-4,public
12542,0-8-0,private
12543,0-3-2,public
12544,0-7-1,public
12545,1-8-4,public
12546,0-7-1,private
12547,1-7-4,private
12548,1-5-4,public
12549,0-4-2,private
12550,0-8-3,public
12551,0-7-2,public
12552,0-5-2,private
12553,0-7-0,private
12554,0-5-0,public
12555,1-7-0,public
12556,1-6-4,private
12557,1-7-2,public
12558,1-5-2,public
12559,0-7-0,private
12560,0-5-3,private
12561,1-5-0,private
12562,1-8-1,private
12563,1-5-3,public
12564,0-7-1,private
12565,0-7-1,private
12566,1-7-2,private
12567,0-5-0,private
12568,0-5-2,public
12569,0-7-0,public
12570,0-5-0,private
12571,0-5-2,private
12572,0-7-3,private
12573,1-8-1,private
12574,1-5-3,private
12575,1-7-0,private
12576,0-6-3,public
12577,0-6-3,private
12578,1-9-1,private
12579,1-9-0,private
12580,1-9-0,public
12581,1-5-0,public
12582,1-5-4,private
12583,1-5-2,private
12584,1-5-0,public
12585,0-8-3,private
12586,0-5-3,private
12587,0-5-3,public
12588,1-5-0,private
12589,0-5-3,private
12590,0-8-0,private
12591,0-7-2,private
12592,0-7-2,private
12593,1-5-4,private
12594,1-8-0,private
12595,0-7-0,private
12596,0-5-0,public
12597,0-7-3,private
12598,0-8-4,private
12599,0-8-4,private
12600,0-8-4,public
12601,0-7-1,public
12602,1-8-4,public
12603,0-8-1,public
12604,1-8-4,public
12605,1-5-1,private
12606,1-7-4,public
12607,0-3-3,public
12608,1-8-1,private
12609,1-3-3,private
12610,1-7-1,private
12611,0-6-4,private
12612,0-5-4,private
12613,0-8-0,public
12614,0-5-2,private
12615,0-7-2,public
12616,0-8-1,public
12617,0-3-1,private
12618,0-6-2,public
12619,1-6-3,public
12620,1-9-4,private
12621,1-9-4,private
12622,1-9-2,private
12623,0-9-0,private
12624,0-3-0,public
12625,1-7-4,private
12626,0-5-4,private
12627,1-3-3,private
12628,1-4-3,private
12629,0-4-0,public
12630,0-5-3,private
12631,0-7-0,private
12632,1-5-0,private
12633,1-5-0,private
12634,1-7-0,private
12635,1-4-0,public
12636,0-8-1,private
12637,1-8-4,public
12638,1-8-1,private
12639,1-8-4,private
12640,1-5-1,private
12641,1-5-1,private
12642,0-3-1,private
12643,0-5-0,public
12644,1-7-1,private
12645,0-7-3,private
12646,0-1-2,private
12647,0-3-4,private
12648,1-9-0,public
12649,0-6-0,public
12650,0-6-3,private
12651,1-7-4,private
12652,1-6-4,private
12653,1-9-0,private
12654,1-9-3,public
12655,0-9-2,private
12656,1-9-3,private
12657,0-9-1,public
12658,0-1-1,private
12659,1-7-0,private
12660,0-5-0,private
12661,1-1-4,private
12662,1-7-0,private
12663,0-8-4,private
12664,0-7-1,private
12665,1-4-1,private
12666,1-7-4,private
12667,1-7-3,private
12668,0-8-2,private
12669,0-8-1,private
12670,1-5-1,public
12671,0-7-1,private
12672,1-7-2,private
12673,0-8-0,private
12674,0-2-0,private
12675,1-5-0,public
12676,1-7-3,private
12677,0-7-1,private
12678,1-9-4,public
12679,0-6-2,private
12680,0-6-0,private
12681,0-7-0,private
12682,1-8-3,private
12683,1-9-4,public
12684,1-9-4,private
12685,0-5-0,public
12686,0-5-4,public
12687,1-5-3,private
12688,0-7-0,public
12689,1-8-3,private
12690,1-5-3,private
12691,1-7-2,public
12692,0-5-2,public
12693,0-5-4,private
12694,0-5-2,public
12695,0-8-3,public
12696,1-8-4,private
12697,1-8-4,private
12698,1-8-1,private
12699,0-7-3,private
12700,0-8-4,private
12701,0-5-4,private
12702,1-5-3,private
12703,1-7-1,private
12704,0-5-1,public
12705,1-6-3,public
12706,1-7-1,private
12707,1-6-1,private
12708,0-6-4,public
12709,0-9-0,private
12710,1-4-3,private
12711,0-4-4,private
12712,1-8-2,public
12713,1-5-4,public
12714,0-2-2,private
12715,0-7-0,private
12716,1-7-3,public
12717,1-5-0,private
12718,0-5-1,public
12719,0-5-3,private
12720,0-7-1,private
12721,0-5-1,private
12722,1-7-1,private
12723,1-8-2,public
12724,0-8-2,public
12725,0-7-2,private
12726,0-5-2,private
12727,1-3-2,private
12728,1-3-2,private
12729,0-9-3,private
12730,0-7-3,private
12731,1-7-2,private
12732,1-8-1,private
12733,0-7-1,private
12734,0-6-2,public
12735,0-8-1,private
12736,1-8-2,public
12737,0-7-2,public
12738,0-6-2,private
12739,0-6-2,private
12740,0-6-4,private
12741,0-9-3,private
12742,1-9-0,private
12743,0-9-3,private
12744,0-9-3,public
12745,0-9-1,private
12746,1-9-0,private
12747,1-9-0,public
12748,0-9-2,private
12749,1-9-2,public
12750,1-9-0,private
12751,0-9-0,public
12752,0-9-2,public
12753,0-9-4,private
12754,0-9-1,private
12755,1-9-3,private
12756,0-9-3,private
12757,1-9-4,private
12758,0-9-1,private
12759,1-9-1,private
12760,1-9-4,private
12761,1-9-1,private
12762,1-7-2,private
12763,0-4-0,public
12764,1-4-1,private
12765,1-7-0,public
12766,1-1-4,private
12767,1-8-3,private
12768,0-5-0,private
12769,1-5-0,public
12770,1-7-3,public
12771,0-7-3,public
12772,1-8-2,private
12773,1-8-4,public
12774,1-8-2,private
12775,1-7-4,private
12776,0-7-1,private
12777,0-8-2,private
12778,0-4-3,private
12779,1-8-4,private
12780,1-4-4,private
12781,1-8-3,private
12782,1-7-0,public
12783,1-7-0,private
12784,0-7-3,public
12785,1-8-1,private
12786,1-4-1,public
12787,1-8-4,private
12788,1-8-2,private
12789,1-7-4,private
12790,1-7-4,public
12791,0-8-2,private
12792,0-4-2,private
12793,0-4-4,private
12794,1-7-0,private
12795,1-8-1,public
12796,1-7-3,public
12797,0-8-1,public
12798,0-7-1,private
12799,1-8-1,private
12800,1-5-3,private
12801,1-4-4,public
12802,0-8-2,private
12803,1-8-0,private
12804,1-7-2,public
12805,0-7-4,private
12806,1-7-4,public
12807,1-7-2,private
12808,0-8-2,public
12809,0-8-0,public
12810,1-7-2,private
12811,0-8-0,private
12812,0-7-0,private
12813,1-7-0,private
12814,1-7-0,private
12815,0-7-3,private
12816,0-7-3,private
12817,1-8-1,private
12818,1-8-1,private
12819,0-8-4,private
12820,1-8-4,private
12821,1-8-4,public
12822,1-7-4,private
12823,1-7-1,public
12824,1-7-4,public
12825,1-7-4,private
12826,1-7-4,private
12827,0-5-0,private
12828,1-8-1,public
12829,0-8-4,private
12830,0-8-1,private
12831,1-7-1,private
12832,0-7-4,private
12833,1-8-2,private
12834,0-7-1,public
12835,1-7-4,public
12836,1-5-4,public
12837,1-5-4,private
12838,0-7-2,private
12839,1-8-0,public
12840,0-8-0,private
12841,0-8-3,private
12842,1-8-2,private
12843,0-7-0,private
12844,0-7-2,public
12845,0-7-2,public
12846,0-8-2,private
12847,1-8-3,private
12848,0-5-0,private
12849,0-5-0,private
12850,1-3-0,private
12851,0-5-2,public
12852,0-7-0,private
12853,1-7-3,private
12854,1-7-0,public
12855,1-8-3,private
12856,1-8-3,private
12857,0-7-2,private
12858,0-7-4,private
12859,0-5-1,public
12860,0-5-0,public
12861,1-5-2,private
12862,1-5-1,private
12863,1-7-0,private
12864,0-9-3,private
12865,0-8-2,private
12866,1-7-3,public
12867,0-8-3,private
12868,1-8-1,private
12869,0-8-1,private
12870,1-7-1,public
12871,1-8-4,private
12872,0-8-0,private
12873,1-6-1,private
12874,1-3-0,private
12875,1-8-3,private
12876,1-7-0,private
12877,0-9-0,private
12878,0-7-0,public
12879,1-8-4,private
12880,0-7-3,public
12881,0-8-4,private
12882,1-8-4,private
12883,0-3-3,private
12884,1-7-0,private
12885,0-7-4,private
12886,0-1-2,private
12887,1-5-0,private
12888,1-8-4,private
12889,1-5-1,private
12890,0-4-0,public
12891,1-8-2,private
12892,0-6-1,public
12893,1-7-2,public
12894,0-5-0,private
12895,0-8-4,private
12896,1-4-1,private
12897,1-4-2,private
12898,0-8-3,private
12899,0-4-0,public
12900,1-8-4,public
12901,0-7-1,private
12902,0-9-0,private
12903,1-6-2,public
12904,1-8-2,private
12905,0-8-3,private
12906,1-5-3,public
12907,0-7-0,private
12908,0-9-1,private
12909,1-8-4,private
12910,1-3-0,private
12911,1-7-0,private
12912,1-9-3,public
12913,0-9-4,private
12914,0-7-2,private
12915,0-5-2,public
12916,1-5-1,private
12917,0-9-4,private
12918,1-5-1,private
12919,1-8-0,private
12920,0-8-4,public
12921,1-9-1,private
12922,0-9-2,private
12923,0-6-0,private
12924,0-5-2,public
12925,0-7-3,private
12926,0-9-3,private
12927,0-5-3,private
12928,0-5-2,private
12929,1-7-1,private
12930,1-8-2,private
12931,1-8-2,public
12932,1-8-4,private
12933,1-7-1,public
12934,1-7-1,private
12935,1-7-4,public
12936,1-7-0,private
12937,0-5-1,private
12938,0-9-3,public
12939,0-8-4,private
12940,1-5-4,private
12941,1-7-4,private
12942,0-5-2,public
12943,0-8-0,public
12944,0-8-4,private
12945,1-8-1,private
12946,1-5-3,public
12947,0-4-3,private
12948,0-3-0,private
12949,0-5-2,private
12950,0-8-0,private
12951,0-9-4,private
12952,0-8-1,private
12953,1-8-2,private
12954,0-5-2,private
12955,1-3-0,public
12956,0-8-0,private
12957,1-5-4,private
12958,1-8-4,public
12959,0-5-3,private
12960,1-9-1,private
12961,1-3-2,public
12962,1-5-4,private
12963,0-8-4,private
12964,0-8-4,private
12965,1-5-0,private
12966,1-8-2,private
12967,1-8-0,private
12968,0-8-0,private
12969,0-7-4,private
12970,0-5-4,public
12971,1-5-1,public
12972,1-6-2,private
12973,0-8-0,public
12974,1-9-3,public
12975,0-7-0,private
12976,1-8-0,private
12977,0-5-3,private
12978,1-8-4,private
12979,1-8-4,public
12980,0-9-4,private
12981,1-3-1,private
12982,1-7-2,private
12983,1-3-0,private
12984,0-6-1,private
12985,0-8-0,private
12986,0-8-2,private
12987,0-8-0,private
12988,1-6-2,private
12989,1-5-4,private
12990,1-9-1,public
12991,0-5-0,public
12992,0-5-0,private
12993,1-9-2,private
12994,0-8-4,private
12995,1-3-1,public
12996,1-4-4,private
12997,0-6-2,public
12998,1-7-1,private
12999,1-7-2,private
13000,1-5-0,private
13001,0-8-3,private
13002,1-8-2,private
13003,1-9-3,public
13004,1-7-0,private
13005,0-9-4,private
13006,0-8-1,private
13007,1-7-4,private
13008,1-8-4,public
13009,0-8-4,public
13010,0-7-3,private
13011,1-9-1,private
13012,0-7-0,private
13013,0-8-1,private
13014,0-9-1,public
13015,1-5-4,private
13016,0-8-0,private
13017,0-8-0,private
13018,1-8-0,private
13019,0-5-1,public
13020,1-7-2,private
13021,0-8-4,public
13022,1-9-3,private
13023,0-8-3,private
13024,1-4-2,private
13025,1-8-4,private
13026,1-8-3,private
13027,1-6-2,private
13028,0-9-4,public
13029,0-4-1,private
13030,1-7-0,private
13031,0-9-3,private
13032,1-7-3,public
13033,1-8-1,public
13034,1-8-2,private
13035,0-8-2,private
13036,0-8-1,public
13037,1-8-3,private
13038,1-9-2,private
13039,0-9-3,public
13040,1-9-0,private
13041,1-8-4,private
13042,0-8-4,public
13043,0-6-0,public
13044,1-9-0,public
13045,1-8-0,public
13046,1-8-4,private
13047,0-9-3,private
13048,0-3-4,private
13049,0-8-0,public
13050,1-7-1,private
13051,0-9-2,private
13052,0-8-1,public
13053,1-8-2,public
13054,0-8-1,private
13055,0-9-3,public
13056,1-3-0,public
13057,0-9-0,private
13058,1-4-2,private
13059,0-5-1,public
13060,1-8-0,private
13061,0-8-3,public
13062,0-8-1,private
13063,1-8-0,private
13064,0-8-1,private
13065,0-8-0,private
13066,0-5-3,private
13067,0-8-0,public
13068,0-8-2,private
13069,1-9-4,public
13070,0-7-3,public
13071,1-8-2,private
13072,1-6-0,private
13073,1-3-4,public
13074,1-8-0,public
13075,1-7-2,private
13076,0-7-0,private
13077,0-6-3,private
13078,1-9-2,public
13079,0-8-0,private
13080,1-7-2,private
13081,0-5-4,private
13082,0-5-1,private
13083,1-3-2,private
13084,1-9-2,public
13085,0-6-0,public
13086,1-7-2,private
13087,0-8-4,public
13088,0-8-1,public
13089,0-8-4,private
13090,0-3-1,private
13091,1-3-3,public
13092,0-8-2,private
13093,1-4-3,public
13094,0-9-0,private
13095,0-5-4,private
13096,0-8-1,private
13097,1-9-2,public
13098,0-8-4,private
13099,1-8-0,private
13100,1-8-2,private
13101,0-3-0,private
13102,1-1-0,private
13103,0-8-4,private
13104,1-7-1,public
13105,0-8-2,private
13106,1-7-3,private
13107,1-9-0,private
13108,0-5-3,private
13109,1-8-1,private
13110,0-7-1,public
13111,1-8-3,private
13112,0-6-1,public
13113,1-8-0,private
13114,0-9-0,public
13115,1-8-4,private
13116,0-8-2,public
13117,1-7-2,private
13118,1-8-2,public
13119,1-8-0,public
13120,1-7-2,private
13121,0-7-3,private
13122,1-8-1,private
13123,0-4-4,private
13124,1-6-1,public
13125,1-8-0,private
13126,1-7-2,public
13127,0-9-1,private
13128,0-8-2,public
13129,1-8-2,private
13130,1-8-0,private
13131,0-8-1,private
13132,1-8-2,private
13133,1-7-4,private
13134,0-8-3,private
13135,0-5-1,private
13136,1-9-2,private
13137,1-9-0,private
13138,0-5-4,private
13139,0-8-2,public
13140,1-8-2,private
13141,1-8-4,private
13142,0-8-1,private
13143,1-4-0,private
13144,0-5-4,private
13145,0-8-2,private
13146,0-7-0,private
13147,1-5-3,private
13148,1-5-0,private
13149,0-8-4,private
13150,1-8-4,private
13151,0-5-1,private
13152,1-5-2,private
13153,0-8-0,private
13154,1-8-3,private
13155,1-7-3,private
13156,0-3-2,private
13157,0-3-2,private
13158,0-9-1,public
13159,0-8-1,private
13160,1-9-0,private
13161,1-7-1,private
13162,1-3-3,private
13163,1-7-0,public
13164,0-7-2,public
13165,0-8-0,public
13166,1-5-4,private
13167,1-9-0,public
13168,1-8-3,public
13169,1-8-0,public
13170,0-5-1,public
13171,1-9-4,private
13172,0-6-4,public
13173,0-7-0,public
13174,0-7-4,private
13175,1-8-2,private
13176,0-7-1,public
13177,0-7-2,private
13178,0-8-0,private
13179,1-8-4,private
13180,1-8-0,private
13181,1-8-4,private
13182,1-8-3,private
13183,1-8-4,private
13184,1-6-0,public
13185,0-7-2,private
13186,0-7-0,private
13187,1-7-1,public
13188,0-8-2,private
13189,1-7-1,private
13190,1-8-0,private
13191,1-8-2,private
13192,1-3-4,private
13193,0-5-0,public
13194,1-3-0,private
13195,1-5-0,private
13196,0-8-1,public
13197,1-7-2,private
13198,0-9-3,private
13199,1-3-4,private
13200,0-8-0,private
13201,0-8-3,public
13202,0-4-2,private
13203,0-8-0,private
13204,1-5-4,private
13205,1-8-0,public
13206,0-9-4,public
13207,0-7-0,private
13208,1-9-0,private
13209,1-5-1,public
13210,1-3-0,public
13211,1-2-0,private
13212,1-8-2,public
13213,0-8-1,private
13214,0-8-1,private
13215,1-7-0,private
13216,1-5-2,private
13217,1-9-2,private
13218,1-8-1,private
13219,0-5-3,private
13220,0-8-1,private
13221,1-8-4,private
13222,1-8-4,private
13223,0-5-0,private
13224,1-5-2,private
13225,1-5-2,public
13226,0-8-2,private
13227,1-8-0,private
13228,1-9-1,private
13229,0-7-3,public
13230,1-5-0,private
13231,1-8-3,public
13232,0-8-4,private
13233,0-8-4,private
13234,1-7-1,private
13235,1-4-3,private
13236,0-8-2,public
13237,1-8-2,private
13238,1-8-3,public
13239,1-3-4,public
13240,0-8-2,private
13241,1-8-0,private
13242,1-7-0,private
13243,1-8-3,public
13244,0-7-3,public
13245,0-8-3,private
13246,0-5-0,private
13247,1-8-1,private
13248,0-8-1,public
13249,1-8-4,public
13250,0-8-3,public
13251,0-7-3,private
13252,1-6-4,private
13253,1-8-0,private
13254,1-8-4,public
13255,1-8-3,public
13256,0-7-3,public
13257,0-8-0,private
13258,1-8-3,private
13259,0-9-3,private
13260,0-9-1,private
13261,0-8-1,private
13262,0-4-4,private
13263,0-8-1,public
13264,1-8-3,private
13265,0-8-1,private
13266,1-8-2,private
13267,1-5-0,private
13268,0-5-1,private
13269,1-7-0,public
13270,1-9-1,private
13271,1-8-2,private
13272,0-9-4,private
13273,0-3-2,private
13274,1-5-3,private
13275,0-9-1,public
13276,1-7-4,private
13277,1-9-3,public
13278,1-8-0,public
13279,1-3-1,private
13280,0-3-1,private
13281,0-8-0,private
13282,0-9-0,private
13283,0-9-1,private
13284,0-8-4,public
13285,0-5-2,private
13286,1-8-3,private
13287,0-7-2,private
13288,0-8-2,public
13289,0-7-3,private
13290,1-9-2,private
13291,1-8-4,private
13292,1-8-0,private
13293,1-8-3,private
13294,0-7-2,private
13295,1-8-3,public
13296,0-8-4,private
13297,1-7-3,private
13298,0-8-1,private
13299,1-8-1,public
13300,1-5-4,private
13301,0-5-0,private
13302,0-7-0,private
13303,1-5-0,public
13304,1-8-1,private
13305,1-8-0,public
13306,1-7-0,private
13307,0-4-1,public
13308,0-8-2,private
13309,0-7-3,public
13310,1-8-4,public
13311,0-9-2,private
13312,1-5-2,public
13313,0-8-2,public
13314,0-3-1,private
13315,1-9-1,private
13316,0-5-3,private
13317,1-7-0,private
13318,0-8-2,private
