id,input_tokens,feat_1,feat_2,feat_3,priority,output
94,T_38 T_15 T_04 T_14,-0.392,1.34,0.706,2,1-8-0
95,T_22 T_37 T_28 T_04 T_38,-1.464,84.34,2.1,4,0-8-1
96,T_38 T_25 T_05 T_04 T_21,0.296,94.18,0.294,2,0-8-3
97,T_21 T_20 T_05 T_38 T_04,0.261,65.56,2.264,2,1-9-0
98,T_38 T_37 T_33 T_09 T_04,0.005,23.14,0.122,1,0-8-3
99,T_38 T_17 T_04 T_22 T_23,-0.235,25.17,0.816,3,0-8-1
100,T_05 T_38 T_04 T_31,-1.415,46.66,3.751,4,0-8-0
101,T_01 T_04 T_22 T_26 T_38,-0.421,89.78,2.977,5,0-8-3
102,T_01 T_38 T_08 T_04 T_18,-0.343,14.96,2.07,2,0-8-4
103,T_04 T_08 T_38 T_11,-0.802,82.6,4.088,5,0-8-1
104,T_04 T_13 T_29 T_38,-0.161,29.13,2.471,5,1-8-4
105,T_04 T_35 T_33 T_22 T_38,0.404,80.86,1.465,3,1-8-4
106,T_22 T_27 T_04 T_38 T_33,1.886,92.03,7.796,5,0-8-1
107,T_01 T_38 T_04 T_34 T_22,0.175,42.75,2.374,4,1-8-4
108,T_32 T_04 T_05 T_38,0.258,36.51,1.839,3,1-8-1
109,T_00 T_38 T_01 T_04,-0.074,80.22,1.051,5,1-8-4
110,T_04 T_22 T_10 T_05 T_02,-1.919,52.95,4.654,3,0-3-1
111,T_15 T_08 T_04 T_37 T_10,-0.027,68.44,0.701,4,0-5-2
112,T_08 T_30 T_04 T_10,0.06,62.28,0.019,2,1-3-2
113,T_04 T_10 T_28 T_37,2.463,15.29,0.438,1,1-3-3
114,T_04 T_25 T_10 T_22,-0.192,84.48,0.232,3,1-6-0
115,T_21 T_10 T_20 T_04,0.302,19.58,0.768,1,0-9-2
116,T_07 T_22 T_01 T_10 T_04,-0.035,93.23,3.496,2,1-3-0
117,T_14 T_10 T_21 T_09 T_04,-1.169,25.06,2.108,4,1-4-0
118,T_10 T_33 T_04 T_26 T_17,1.143,73.39,0.37,2,1-4-0
119,T_10 T_18 T_04 T_22 T_13,0.752,28.47,3.11,1,1-8-1
120,T_04 T_13 T_29 T_10,0.791,31.78,1.403,4,0-8-1
121,T_35 T_01 T_04 T_10,-0.909,31.0,1.438,5,0-3-1
122,T_08 T_10 T_27 T_04,1.403,74.79,0.899,5,1-5-3
123,T_34 T_04 T_10 T_08 T_33,-1.402,55.68,3.999,3,0-3-1
124,T_00 T_10 T_17 T_13 T_04,0.587,88.3,0.766,5,0-3-1
125,T_02 T_21 T_28 T_04 T_01,2.19,30.74,0.198,1,1-1-1
126,T_13 T_04 T_01 T_02 T_16,-0.991,69.2,0.721,5,1-5-0
127,T_22 T_06 T_08 T_04 T_02,-0.566,75.29,2.513,3,0-0-1
128,T_02 T_04 T_37 T_07,0.1,15.15,2.143,4,1-1-3
129,T_09 T_02 T_37 T_22 T_04,-0.503,40.06,0.417,5,1-4-3
130,T_04 T_02 T_24 T_37,-1.551,48.28,0.237,3,0-7-0
131,T_01 T_04 T_26 T_02,0.069,35.57,2.163,5,1-4-3
132,T_04 T_14 T_02 T_37 T_18,-1.062,32.21,2.256,5,1-8-4
133,T_02 T_04 T_05 T_11 T_33,0.474,68.64,0.912,1,1-7-1
134,T_04 T_17 T_02 T_29,-0.919,21.59,3.7,3,0-8-4
135,T_35 T_08 T_13 T_04 T_02,1.55,70.94,7.652,3,0-0-4
136,T_02 T_34 T_04 T_05 T_33,-0.783,93.5,0.46,2,0-1-4
137,T_08 T_04 T_21 T_02 T_32,-0.322,56.52,1.721,2,0-3-1
138,T_02 T_00 T_33 T_04,0.814,61.14,0.011,3,0-2-4
139,T_15 T_30 T_04 T_01,-1.231,6.89,2.497,1,1-5-1
140,T_21 T_14 T_04 T_28 T_15,0.227,86.45,1.07,5,1-5-2
141,T_33 T_05 T_15 T_16 T_04,1.307,28.54,0.43,4,1-5-1
142,T_22 T_15 T_04 T_06,-1.607,61.51,2.79,5,0-5-2
143,T_25 T_13 T_05 T_04 T_15,0.185,97.91,3.328,4,1-6-4
144,T_15 T_21 T_33 T_04 T_07,0.26,59.55,0.236,1,1-5-4
145,T_04 T_15 T_21 T_09,0.782,72.47,0.084,2,1-5-4
146,T_04 T_15 T_23 T_17,-1.237,44.53,0.813,3,1-5-2
147,T_24 T_15 T_04 T_01,-1.32,6.04,1.967,1,0-7-1
148,T_15 T_04 T_31 T_13 T_08,0.522,79.76,3.154,4,1-5-1
149,T_08 T_26 T_04 T_15,0.297,3.5,1.58,3,1-5-4
150,T_04 T_37 T_15 T_18,0.25,70.07,1.739,4,1-8-0
151,T_05 T_04 T_35 T_15,0.346,2.29,3.217,5,0-5-0
152,T_14 T_27 T_15 T_04,-0.68,86.23,1.505,5,1-5-2
153,T_04 T_21 T_15 T_34,0.232,15.76,1.889,5,0-5-0
154,T_04 T_21 T_15 T_32,0.293,51.43,1.452,3,0-5-2
155,T_13 T_04 T_12 T_15,-0.714,59.72,4.248,2,0-7-0
156,T_28 T_08 T_30 T_04,1.866,45.75,0.537,2,0-3-2
157,T_14 T_16 T_04 T_13 T_30,0.474,34.08,0.613,4,0-5-1
158,T_04 T_05 T_30 T_37 T_06,-1.191,46.78,0.274,2,1-3-2
159,T_21 T_30 T_20 T_04,0.657,31.14,3.424,2,1-9-1
160,T_04 T_07 T_37 T_08 T_30,-0.975,43.81,1.061,4,0-3-4
161,T_09 T_01 T_30 T_04,0.787,35.89,0.855,4,0-4-4
162,T_08 T_30 T_22 T_04 T_23,1.159,56.62,7.964,4,0-3-2
163,T_30 T_26 T_04 T_14,-0.821,23.79,5.229,3,0-4-4
164,T_14 T_11 T_04 T_30,0.963,98.87,7.15,4,0-7-2
165,T_30 T_04 T_29 T_21 T_01,0.413,50.09,0.307,3,1-8-0
166,T_30 T_35 T_22 T_04 T_08,0.822,19.42,4.437,3,1-3-0
167,T_30 T_27 T_22 T_04,1.897,47.71,0.797,3,0-5-2
168,T_37 T_32 T_30 T_17 T_04,-0.245,86.64,0.025,4,1-3-2
169,T_30 T_04 T_22 T_13 T_12,-0.754,2.18,0.993,2,1-7-0
170,T_04 T_30 T_17 T_00,-0.89,67.96,1.423,2,1-3-0
171,T_17 T_01 T_04 T_28 T_16,-0.816,54.8,0.229,4,0-5-2
172,T_13 T_04 T_25 T_28,-0.077,16.96,1.543,2,0-6-0
173,T_20 T_04 T_28 T_37,0.341,81.75,3.424,4,1-9-2
174,T_28 T_07 T_21 T_22 T_04,0.277,36.89,0.949,3,0-1-0
175,T_09 T_28 T_04 T_14,0.827,29.38,0.87,5,0-4-0
176,T_17 T_23 T_04 T_28,0.013,82.81,0.827,1,0-1-3
177,T_21 T_24 T_28 T_04,1.454,63.85,5.13,4,1-7-2
178,T_04 T_13 T_28 T_22 T_26,-0.265,89.83,0.1,3,0-4-0
179,T_17 T_28 T_11 T_04,2.72,62.99,1.178,5,0-7-3
180,T_29 T_28 T_37 T_04,0.626,74.08,0.615,3,1-8-1
181,T_04 T_35 T_28 T_17,-0.857,83.64,4.485,1,1-1-1
182,T_27 T_28 T_37 T_14 T_04,-1.071,5.47,0.202,2,0-5-3
183,T_13 T_28 T_04 T_34 T_37,0.482,77.6,1.06,2,1-1-1
184,T_32 T_14 T_28 T_13 T_04,-0.223,61.37,1.045,3,1-3-3
185,T_04 T_01 T_28 T_12,0.714,6.95,4.386,1,1-7-1
186,T_00 T_04 T_28 T_14,0.473,50.86,0.485,3,1-2-1
187,T_04 T_06 T_16 T_37,-0.073,8.25,2.071,2,1-5-2
188,T_22 T_37 T_16 T_04 T_25,-0.847,73.59,0.289,3,0-6-4
189,T_01 T_16 T_04 T_20,-1.515,54.65,6.157,5,1-9-1
190,T_04 T_17 T_16 T_07 T_37,-0.447,95.36,1.798,1,0-5-4
191,T_14 T_04 T_09 T_16 T_37,0.856,18.31,1.968,2,0-5-4
192,T_16 T_04 T_23 T_21,0.214,60.6,1.138,3,0-5-2
193,T_33 T_16 T_04 T_24 T_05,-1.246,21.16,0.838,1,1-7-1
194,T_01 T_04 T_16 T_31,0.173,61.41,0.478,3,0-5-1
195,T_04 T_26 T_22 T_08 T_16,0.385,72.26,1.853,2,0-5-4
196,T_16 T_18 T_13 T_22 T_04,-0.884,72.23,6.183,1,0-8-0
197,T_11 T_04 T_16 T_13 T_17,0.154,81.51,0.892,2,0-7-2
198,T_14 T_16 T_05 T_04 T_29,0.058,85.36,4.294,5,1-8-0
199,T_04 T_16 T_27 T_08,-1.143,7.73,0.322,5,0-5-2
200,T_04 T_34 T_16 T_05,0.358,34.33,5.502,4,1-5-0
201,T_08 T_05 T_32 T_16 T_04,0.561,68.71,0.863,1,1-5-2
202,T_33 T_04 T_22 T_12 T_16,1.083,49.86,0.955,5,1-7-0
203,T_16 T_21 T_13 T_04 T_00,1.054,19.07,1.243,4,1-5-0
204,T_04 T_33 T_14 T_06 T_25,-1.378,55.27,2.533,1,1-6-0
205,T_06 T_04 T_01 T_20,-0.938,40.74,2.543,2,0-9-2
206,T_04 T_07 T_17 T_37 T_06,0.515,39.0,1.306,3,1-1-0
207,T_04 T_09 T_37 T_06,0.514,80.98,1.481,3,1-4-0
208,T_14 T_06 T_04 T_05 T_24,0.515,40.76,0.061,2,0-7-2
209,T_31 T_06 T_13 T_08 T_04,3.853,2.65,0.726,5,1-5-2
210,T_26 T_04 T_06 T_21,0.571,5.81,0.849,3,1-4-0
211,T_14 T_04 T_06 T_18 T_22,1.136,85.62,1.636,2,1-8-1
212,T_11 T_37 T_04 T_06,0.954,96.06,1.634,4,1-7-3
213,T_01 T_06 T_04 T_29,0.651,68.84,2.475,4,0-8-1
214,T_05 T_21 T_04 T_35 T_06,-0.315,36.44,2.525,2,0-0-1
215,T_05 T_04 T_06 T_27,0.759,93.86,0.536,1,1-5-3
216,T_06 T_04 T_13 T_17 T_34,-0.773,66.28,2.941,5,0-1-1
217,T_05 T_04 T_12 T_01 T_06,-0.237,84.43,0.04,5,0-7-1
218,T_04 T_13 T_25 T_20,-0.485,76.59,2.519,2,1-9-4
219,T_25 T_13 T_08 T_07 T_04,0.082,37.91,0.215,3,0-6-2
220,T_09 T_17 T_25 T_04 T_14,2.315,47.87,2.616,5,0-6-2
221,T_22 T_13 T_23 T_25 T_04,-1.867,18.61,1.498,5,0-6-0
222,T_01 T_25 T_24 T_04,0.686,29.2,1.15,4,1-7-4
223,T_22 T_25 T_04 T_37 T_31,-1.613,77.81,2.347,4,0-6-4
224,T_17 T_33 T_26 T_25 T_04,-0.472,89.4,0.074,4,0-6-2
225,T_13 T_25 T_22 T_04 T_18,1.089,72.45,0.506,5,0-8-3
226,T_25 T_29 T_21 T_04 T_01,0.064,46.52,1.917,5,1-8-3
227,T_08 T_25 T_35 T_04,-1.078,8.65,3.757,5,1-6-3
228,T_04 T_22 T_25 T_27,-0.715,5.69,0.96,3,0-6-0
229,T_13 T_25 T_34 T_05 T_04,0.68,37.43,0.599,3,1-6-3
230,T_01 T_04 T_32 T_25,-0.73,46.38,1.463,3,1-6-0
231,T_33 T_17 T_25 T_04 T_00,0.216,60.91,1.947,1,1-6-3
232,T_20 T_04 T_05 T_07 T_08,0.046,0.65,1.09,5,1-9-4
233,T_09 T_04 T_33 T_21 T_20,-0.652,98.97,4.186,5,1-9-4
234,T_13 T_04 T_05 T_23 T_20,2.144,36.39,1.482,2,1-9-2
235,T_04 T_33 T_14 T_20 T_24,0.634,84.81,0.073,2,0-9-1
236,T_04 T_20 T_01 T_31,-2.025,53.5,0.505,1,1-9-1
237,T_04 T_21 T_26 T_37 T_20,0.186,13.04,1.198,2,1-9-4
238,T_21 T_04 T_20 T_11 T_22,-0.662,79.76,2.393,3,1-9-2
239,T_20 T_04 T_33 T_29,0.852,70.98,0.496,1,0-9-0
240,T_20 T_35 T_14 T_04 T_17,-0.793,52.74,7.481,1,0-9-0
241,T_04 T_27 T_08 T_20,-0.115,51.46,0.767,1,1-9-2
242,T_34 T_20 T_04 T_37,0.505,8.75,1.521,4,0-9-0
243,T_32 T_04 T_21 T_20,0.866,65.58,0.038,2,0-9-2
244,T_37 T_12 T_33 T_04 T_20,-1.2,91.12,4.324,5,0-9-0
245,T_09 T_22 T_07 T_04,-0.335,9.32,3.11,4,0-4-2
246,T_37 T_13 T_23 T_04 T_07,-0.475,26.35,0.435,3,0-1-0
247,T_14 T_18 T_07 T_04,-0.653,90.23,5.413,4,0-8-3
248,T_22 T_04 T_07 T_29,1.765,28.43,0.759,3,1-8-3
249,T_35 T_07 T_04 T_37 T_21,0.405,65.39,2.357,5,1-1-3
250,T_04 T_32 T_33 T_07,-1.261,53.48,3.418,5,1-3-0
251,T_12 T_07 T_04 T_13 T_22,0.918,59.63,2.701,2,1-7-3
252,T_37 T_07 T_00 T_04,2.122,41.58,4.992,4,1-2-3
253,T_17 T_09 T_23 T_04,1.032,30.0,3.994,5,0-4-0
254,T_04 T_09 T_17 T_24,-1.519,4.85,10.447,3,1-7-4
255,T_17 T_04 T_11 T_09,-0.484,74.43,0.403,5,0-7-0
256,T_04 T_29 T_22 T_09,1.267,74.61,0.727,2,1-8-3
257,T_17 T_09 T_13 T_04 T_35,-0.708,67.07,2.022,3,1-4-3
258,T_27 T_04 T_22 T_01 T_09,0.444,64.36,2.641,1,0-5-0
259,T_09 T_34 T_33 T_04,0.775,24.37,1.53,2,1-4-3
260,T_14 T_01 T_04 T_09 T_32,-0.927,2.23,0.154,2,1-4-0
261,T_05 T_04 T_00 T_09,-0.06,80.87,3.685,1,1-4-3
262,T_24 T_23 T_01 T_04,-3.241,49.11,6.482,5,1-7-2
263,T_14 T_04 T_31 T_23 T_21,-1.024,30.68,1.04,2,0-5-2
264,T_04 T_26 T_23 T_08 T_21,-0.253,10.19,0.509,1,0-4-0
265,T_21 T_18 T_04 T_23,-1.248,6.27,0.039,1,0-8-1
266,T_37 T_04 T_13 T_11 T_23,1.632,34.89,0.542,2,0-7-3
267,T_23 T_33 T_08 T_04 T_29,-1.43,80.47,2.407,4,1-8-1
268,T_04 T_23 T_05 T_35 T_14,-0.44,91.87,4.852,2,1-1-1
269,T_23 T_04 T_37 T_27 T_33,0.131,89.68,0.196,4,0-5-3
270,T_14 T_23 T_34 T_04,1.441,92.0,1.612,5,1-1-1
271,T_23 T_32 T_04 T_33,-1.436,90.77,2.378,1,1-3-3
272,T_23 T_33 T_04 T_00,1.163,52.72,0.647,3,1-2-1
273,T_21 T_13 T_18 T_04 T_24,0.01,21.94,1.687,2,1-8-0
274,T_04 T_33 T_24 T_11,-0.982,79.8,2.512,3,1-7-2
275,T_13 T_04 T_29 T_01 T_24,0.462,21.37,3.637,5,0-8-0
276,T_08 T_05 T_24 T_04 T_35,0.199,26.72,1.205,2,0-7-0
277,T_05 T_24 T_27 T_04,-0.6,23.33,2.756,3,1-7-2
278,T_22 T_13 T_04 T_24 T_34,0.07,51.5,0.718,5,0-7-0
279,T_04 T_01 T_32 T_24,-0.385,32.18,0.479,4,0-7-2
280,T_04 T_22 T_00 T_24,0.114,15.42,0.415,5,0-7-0
281,T_31 T_01 T_26 T_14 T_04,0.662,45.32,0.889,2,0-5-4
282,T_31 T_22 T_04 T_18,1.586,87.39,0.073,2,0-8-0
283,T_11 T_08 T_31 T_04,-1.238,57.06,0.665,2,0-7-2
284,T_04 T_31 T_29 T_33 T_37,2.133,87.83,2.112,5,1-8-0
285,T_08 T_35 T_04 T_31,-1.952,19.59,2.088,2,1-5-0
286,T_31 T_27 T_21 T_04,-0.152,16.7,0.153,5,0-5-2
287,T_31 T_34 T_13 T_04,0.588,57.56,0.678,1,1-5-0
288,T_31 T_22 T_04 T_32,0.281,46.33,1.686,1,1-5-2
289,T_31 T_12 T_04 T_05,-0.623,66.02,0.767,1,1-7-0
290,T_04 T_00 T_31 T_17 T_05,-0.208,79.46,1.083,3,1-5-0
291,T_08 T_11 T_17 T_04 T_26,-0.493,75.13,2.495,1,0-7-0
292,T_29 T_01 T_26 T_04 T_17,-0.589,94.23,0.019,1,1-8-3
293,T_21 T_34 T_04 T_26,0.85,39.83,0.647,5,1-4-3
294,T_32 T_04 T_37 T_26 T_22,0.357,20.64,0.307,5,1-4-0
295,T_26 T_04 T_00 T_33,-0.693,55.09,0.273,2,1-4-3
296,T_21 T_13 T_11 T_04 T_18,0.9,11.07,6.39,2,0-8-1
297,T_21 T_04 T_18 T_01 T_29,0.307,28.89,0.945,2,1-8-4
298,T_04 T_05 T_35 T_18,0.813,20.79,1.498,5,1-8-4
299,T_27 T_18 T_37 T_04,0.63,39.66,2.647,5,0-8-1
300,T_37 T_32 T_18 T_04,-0.829,11.12,0.097,1,1-8-1
301,T_18 T_04 T_14 T_12,-0.56,3.18,0.552,4,1-8-4
302,T_00 T_18 T_05 T_04,0.747,65.68,3.569,5,1-8-4
303,T_04 T_29 T_11 T_13,0.61,61.02,3.961,4,1-8-1
304,T_04 T_35 T_11 T_21,-0.021,70.84,0.933,5,1-7-1
305,T_27 T_11 T_37 T_04,0.117,66.04,0.94,5,0-7-3
306,T_11 T_04 T_05 T_14 T_34,1.278,11.43,2.829,3,1-7-1
307,T_32 T_11 T_04 T_22 T_33,-0.592,29.11,0.699,4,1-7-3
308,T_11 T_04 T_14 T_12 T_22,0.547,12.95,0.249,3,1-7-1
309,T_21 T_01 T_04 T_11 T_00,-0.202,84.3,0.596,1,1-7-1
310,T_08 T_27 T_04 T_29,-0.218,74.69,0.98,3,1-8-1
311,T_32 T_14 T_04 T_29 T_37,1.099,20.15,0.107,3,0-8-1
312,T_22 T_29 T_04 T_12,0.825,34.13,1.303,1,0-8-4
313,T_00 T_29 T_04 T_14,0.814,96.66,2.694,4,0-8-4
314,T_35 T_27 T_21 T_04,1.305,59.42,1.442,2,1-5-1
315,T_04 T_34 T_22 T_35 T_17,0.021,80.12,0.149,5,0-1-4
316,T_32 T_04 T_21 T_35 T_14,0.682,26.46,1.16,4,0-3-1
317,T_34 T_13 T_14 T_27 T_04,-0.31,21.01,2.468,1,1-5-1
318,T_32 T_37 T_27 T_04,0.324,78.39,0.12,3,1-5-3
319,T_04 T_37 T_12 T_27 T_01,-0.13,68.59,0.123,2,1-7-1
320,T_34 T_04 T_37 T_32,0.097,68.1,0.926,3,0-3-1
321,T_04 T_37 T_17 T_12 T_34,0.595,55.26,0.434,5,0-7-4
322,T_33 T_08 T_34 T_04 T_00,-0.818,56.36,5.46,1,0-2-4
323,T_14 T_32 T_12 T_04 T_21,2.092,73.57,1.741,2,0-7-1
324,T_00 T_32 T_14 T_04,-1.006,27.0,0.677,4,0-3-1
325,T_05 T_12 T_04 T_00 T_13,-1.214,35.28,2.44,4,0-7-4
326,T_39 T_19 T_36 T_17,1.158,87.16,0.94,1,1-8-1
327,T_17 T_03 T_36 T_39 T_01,0.792,30.89,0.283,1,0-8-2
328,T_36 T_38 T_17 T_39,0.624,54.63,0.542,3,0-8-2
329,T_36 T_08 T_17 T_39 T_10,0.628,70.26,2.059,2,1-8-4
330,T_05 T_02 T_36 T_13 T_39,-0.012,99.99,0.107,5,1-8-2
331,T_39 T_05 T_36 T_37 T_15,-0.897,43.53,0.637,1,1-8-3
332,T_36 T_21 T_01 T_30 T_39,0.076,42.81,0.467,2,0-8-3
333,T_36 T_21 T_28 T_39 T_37,-0.677,84.26,0.449,1,0-8-4
334,T_36 T_39 T_05 T_16,0.975,80.55,2.296,1,0-8-3
335,T_25 T_08 T_39 T_22 T_36,-0.147,73.11,3.495,4,0-8-1
336,T_37 T_36 T_39 T_07 T_21,-0.825,46.32,2.517,2,0-8-1
337,T_23 T_39 T_36 T_08 T_14,-0.321,32.39,2.075,4,0-8-4
338,T_24 T_08 T_36 T_39,0.413,60.87,4.965,4,1-8-3
339,T_33 T_39 T_31 T_36 T_37,-0.564,87.62,0.12,2,0-8-3
340,T_26 T_01 T_39 T_36,-0.822,88.38,0.367,4,0-8-1
341,T_33 T_18 T_39 T_36,0.244,10.85,1.07,3,0-8-2
342,T_39 T_01 T_36 T_32,0.245,42.84,0.932,5,1-8-4
