id,output
12162,0-3-3
12163,1-5-1
12164,1-7-1
12165,0-5-4
12166,0-5-0
12167,0-5-1
12168,0-6-4
12169,1-9-1
12170,1-3-0
12171,1-9-0
12172,1-5-1
12173,1-4-4
12174,1-3-2
12175,1-4-4
12176,1-5-2
12177,0-7-4
12178,0-3-4
12179,0-5-3
12180,1-3-2
12181,1-3-2
12182,1-3-2
12183,1-7-2
12184,1-4-2
12185,1-8-0
12186,0-5-2
12187,1-3-2
12188,1-7-1
12189,0-7-4
12190,0-8-2
12191,1-8-2
12192,1-4-2
12193,1-4-4
12194,1-8-3
12195,1-7-0
12196,0-8-3
12197,0-3-3
12198,1-5-0
12199,0-7-3
12200,0-3-0
12201,0-7-3
12202,0-8-1
12203,0-8-2
12204,1-8-4
12205,1-9-3
12206,0-8-1
12207,0-8-4
12208,1-8-2
12209,1-8-2
12210,1-8-4
12211,0-8-4
12212,0-8-1
12213,1-8-2
12214,1-8-2
12215,0-8-4
12216,0-8-0
12217,1-8-0
12218,1-8-3
12219,1-8-1
12220,1-8-1
12221,1-8-1
12222,0-8-1
12223,1-8-1
12224,1-8-4
12225,0-8-2
12226,0-8-2
12227,1-8-2
12228,1-8-2
12229,0-8-3
12230,0-8-3
12231,1-8-0
12232,1-8-3
12233,1-8-3
12234,1-8-1
12235,1-8-4
12236,1-9-4
12237,0-8-4
12238,0-8-0
12239,0-8-4
12240,0-8-4
12241,0-8-0
12242,0-8-2
12243,0-8-0
12244,1-8-1
12245,0-8-3
12246,1-8-1
12247,0-9-4
12248,1-9-2
12249,0-9-0
12250,1-8-2
12251,0-8-2
12252,0-8-3
12253,1-8-1
12254,1-8-1
12255,1-8-1
12256,1-8-1
12257,1-8-1
12258,1-8-1
12259,1-8-4
12260,0-8-1
12261,1-8-4
12262,1-8-3
12263,0-8-3
12264,0-8-0
12265,1-8-1
12266,1-8-1
12267,1-8-2
12268,1-8-4
12269,0-8-2
12270,1-8-4
12271,1-8-2
12272,1-3-3
12273,1-6-1
12274,1-4-1
12275,0-8-2
12276,0-3-2
12277,0-3-4
12278,0-8-2
12279,0-8-3
12280,1-8-1
12281,0-8-2
12282,0-8-2
12283,1-3-1
12284,0-4-3
12285,1-3-4
12286,1-5-3
12287,0-3-3
12288,0-1-4
12289,1-3-4
12290,1-7-2
12291,0-5-0
12292,0-7-4
12293,1-4-2
12294,1-8-3
12295,0-8-3
12296,0-3-3
12297,1-6-3
12298,0-7-0
12299,0-8-4
12300,0-1-4
12301,1-5-1
12302,0-3-1
12303,1-5-2
12304,1-8-3
12305,0-5-3
12306,0-5-0
12307,0-6-3
12308,1-9-0
12309,0-1-3
12310,1-6-0
12311,0-6-1
12312,1-6-3
12313,0-7-1
12314,0-6-1
12315,0-9-0
12316,1-9-3
12317,1-4-0
12318,0-7-1
12319,1-5-3
12320,0-4-1
12321,0-4-3
12322,0-7-0
12323,1-5-0
12324,0-1-4
12325,1-8-3
12326,0-8-3
12327,0-4-1
12328,1-5-3
12329,0-4-1
12330,1-8-4
12331,0-8-2
12332,0-8-2
12333,1-7-1
12334,0-7-4
12335,0-7-4
12336,1-8-0
12337,1-8-3
12338,0-8-0
12339,1-8-3
12340,0-3-0
12341,1-3-2
12342,0-3-2
12343,1-3-4
12344,0-8-0
12345,1-8-3
12346,1-7-0
12347,0-3-3
12348,1-5-3
12349,1-5-1
12350,1-5-3
12351,0-4-3
12352,1-8-4
12353,0-5-1
12354,1-3-0
12355,0-5-1
12356,0-5-3
12357,1-5-4
12358,1-7-4
12359,1-6-4
12360,1-5-1
12361,1-9-3
12362,0-6-4
12363,1-6-2
12364,0-9-4
12365,0-8-2
12366,1-3-2
12367,0-8-2
12368,1-8-2
12369,1-4-2
12370,0-4-4
12371,0-5-2
12372,1-8-4
12373,0-8-4
12374,1-5-4
12375,1-7-4
12376,1-4-4
12377,1-4-2
12378,1-8-3
12379,1-8-0
12380,1-8-3
12381,1-7-2
12382,1-5-0
12383,0-3-3
12384,1-7-0
12385,0-7-3
12386,0-3-3
12387,0-7-0
12388,0-3-0
12389,0-9-1
12390,1-8-4
12391,1-8-2
12392,0-8-0
12393,0-8-0
12394,1-8-4
12395,0-8-0
12396,1-8-2
12397,0-8-4
12398,0-8-3
12399,1-8-0
12400,1-8-3
12401,0-8-4
12402,0-8-3
12403,0-8-3
12404,0-8-1
12405,1-8-1
12406,0-8-1
12407,0-8-4
12408,0-8-2
12409,0-8-3
12410,0-8-3
12411,1-8-1
12412,1-8-4
12413,0-8-0
12414,0-8-2
12415,0-8-0
12416,0-8-0
12417,0-8-1
12418,0-8-2
12419,1-8-2
12420,1-8-2
12421,1-8-2
12422,0-9-4
12423,0-8-4
12424,0-8-4
12425,0-8-4
12426,1-8-1
12427,0-8-4
12428,1-8-0
12429,1-8-0
12430,1-8-0
12431,1-8-3
12432,0-8-3
12433,0-8-4
12434,1-8-4
12435,1-8-4
12436,0-8-2
12437,0-8-4
12438,1-8-0
12439,0-8-3
12440,1-8-0
12441,0-8-0
12442,1-8-0
12443,0-8-3
12444,1-3-2
12445,1-7-0
12446,1-5-3
12447,0-6-0
12448,0-5-0
12449,1-7-2
12450,1-3-3
12451,1-8-1
12452,1-7-3
12453,1-5-3
12454,0-3-3
12455,1-5-3
12456,0-9-3
12457,1-5-3
12458,0-5-3
12459,0-9-2
12460,1-5-2
12461,1-5-0
12462,1-5-3
12463,0-7-1
12464,1-7-3
12465,1-8-2
12466,1-3-2
12467,1-6-3
12468,1-6-0
12469,1-8-4
12470,1-7-1
12471,1-6-1
12472,0-6-4
12473,0-6-1
12474,0-9-3
12475,0-9-2
12476,0-9-1
12477,1-9-1
12478,0-9-3
12479,1-9-1
12480,1-9-3
12481,1-5-1
12482,0-3-4
12483,1-4-3
12484,0-4-4
12485,1-4-1
12486,0-8-1
12487,1-7-1
12488,0-5-1
12489,0-5-1
12490,0-4-4
12491,0-8-0
12492,0-8-0
12493,0-8-2
12494,0-7-4
12495,0-7-2
12496,0-5-1
12497,0-5-3
12498,0-5-1
12499,1-7-1
12500,0-3-4
12501,0-3-1
12502,0-1-0
12503,0-2-0
12504,1-5-3
12505,0-8-4
12506,1-7-1
12507,0-8-0
12508,1-8-0
12509,0-9-3
12510,1-6-1
12511,0-8-2
12512,1-9-4
12513,1-1-4
12514,1-5-3
12515,1-4-1
12516,0-7-2
12517,0-2-2
12518,1-5-4
12519,0-7-2
12520,1-4-4
12521,0-1-0
12522,1-7-4
12523,0-7-1
12524,1-7-4
12525,1-7-1
12526,0-5-4
12527,0-5-4
12528,1-7-4
12529,0-4-2
12530,0-4-2
12531,0-8-3
12532,0-7-0
12533,1-7-2
12534,0-7-0
12535,0-7-0
12536,1-8-3
12537,1-7-3
12538,1-7-0
12539,1-3-0
12540,1-7-3
12541,1-5-2
12542,1-5-4
12543,0-5-0
12544,0-5-3
12545,0-9-2
12546,1-5-2
12547,0-5-3
12548,0-7-1
12549,0-7-1
12550,1-8-0
12551,0-8-0
12552,0-5-0
12553,0-5-0
12554,0-5-0
12555,0-5-3
12556,1-5-1
12557,1-6-2
12558,1-6-2
12559,1-6-0
12560,0-6-3
12561,0-9-2
12562,1-9-0
12563,1-9-0
12564,1-9-0
12565,1-5-2
12566,1-5-0
12567,1-5-2
12568,0-5-3
12569,0-7-2
12570,0-7-1
12571,1-7-0
12572,1-7-2
12573,0-5-2
12574,1-8-3
12575,0-7-3
12576,1-8-1
12577,0-8-4
12578,0-8-1
12579,1-8-4
12580,1-8-1
12581,1-8-4
12582,1-5-4
12583,0-5-1
12584,0-4-0
12585,0-7-3
12586,1-8-1
12587,0-5-3
12588,1-3-1
12589,1-3-3
12590,1-7-1
12591,1-7-1
12592,1-5-0
12593,1-3-3
12594,1-8-1
12595,0-3-1
12596,1-9-4
12597,1-9-4
12598,0-9-0
12599,0-9-0
12600,0-4-2
12601,1-7-4
12602,0-5-4
12603,1-8-3
12604,1-4-3
12605,1-4-0
12606,0-8-1
12607,1-8-1
12608,1-3-3
12609,1-7-1
12610,0-7-2
12611,0-7-0
12612,0-7-2
12613,1-5-0
12614,1-5-0
12615,0-8-3
12616,0-7-0
12617,1-4-3
12618,1-4-0
12619,1-7-3
12620,1-8-1
12621,1-7-1
12622,1-8-1
12623,0-8-1
12624,0-3-4
12625,0-5-3
12626,1-8-1
12627,0-5-3
12628,1-6-1
12629,1-4-1
12630,1-8-2
12631,0-6-3
12632,0-6-3
12633,1-8-4
12634,0-6-1
12635,1-9-3
12636,0-1-1
12637,1-8-4
12638,1-1-4
12639,0-8-4
12640,0-7-1
12641,1-8-4
12642,1-4-1
12643,0-5-3
12644,0-4-1
12645,0-7-4
12646,1-7-2
12647,1-7-3
12648,0-7-1
12649,0-7-1
12650,0-5-3
12651,1-8-2
12652,1-7-2
12653,0-7-4
12654,0-8-0
12655,1-5-2
12656,0-2-0
12657,1-5-2
12658,0-7-0
12659,1-6-0
12660,0-9-2
12661,0-7-2
12662,1-8-1
12663,0-5-1
12664,0-5-1
12665,0-6-2
12666,0-6-2
12667,0-8-3
12668,0-7-0
12669,1-8-3
12670,1-7-3
12671,1-9-1
12672,1-9-2
12673,0-9-2
12674,0-9-0
12675,0-5-4
12676,1-5-3
12677,0-5-2
12678,0-8-3
12679,1-5-3
12680,0-7-3
12681,1-8-1
12682,1-5-3
12683,1-7-4
12684,0-8-0
12685,0-7-2
12686,0-5-4
12687,0-5-2
12688,1-8-4
12689,0-8-1
12690,1-8-4
12691,0-7-3
12692,1-7-1
12693,1-7-3
12694,0-8-4
12695,0-5-4
12696,0-7-4
12697,1-6-3
12698,1-6-1
12699,0-6-4
12700,1-6-1
12701,0-9-3
12702,1-1-1
12703,0-2-4
12704,1-4-1
12705,1-8-4
12706,0-4-4
12707,1-5-3
12708,1-5-4
12709,0-3-4
12710,1-8-1
12711,1-7-3
12712,1-8-1
12713,0-5-1
12714,0-5-3
12715,0-7-1
12716,0-5-1
12717,1-8-4
12718,1-8-2
12719,0-8-2
12720,0-8-0
12721,0-8-0
12722,0-8-2
12723,0-7-2
12724,1-7-4
12725,1-8-0
12726,0-5-2
12727,0-5-2
12728,1-7-2
12729,1-9-2
12730,1-9-0
12731,0-9-0
12732,1-8-1
12733,0-6-3
12734,1-6-1
12735,1-6-3
12736,1-7-2
12737,0-6-0
12738,0-8-1
12739,0-6-3
12740,1-7-1
12741,0-6-3
12742,1-8-4
12743,1-6-1
12744,0-7-0
12745,1-8-2
12746,1-8-2
12747,1-7-4
12748,0-8-4
12749,0-6-2
12750,1-7-4
12751,1-6-4
12752,0-7-4
12753,0-9-3
12754,0-9-3
12755,1-9-0
12756,0-9-0
12757,0-9-0
12758,0-9-0
12759,1-9-0
12760,0-9-3
12761,1-9-1
12762,0-9-4
12763,0-9-1
12764,0-8-1
12765,1-8-1
12766,0-5-3
12767,1-4-3
12768,0-5-0
12769,0-7-1
12770,1-8-3
12771,0-7-3
12772,0-5-2
12773,0-8-3
12774,1-8-1
12775,1-8-2
12776,1-8-4
12777,1-8-2
12778,1-8-2
12779,1-7-4
12780,0-8-2
12781,0-8-4
12782,1-5-4
12783,0-1-2
12784,0-7-2
12785,1-8-4
12786,1-4-4
12787,1-7-4
12788,1-7-2
12789,0-8-3
12790,0-7-0
12791,0-7-3
12792,0-7-0
12793,1-5-3
12794,1-5-0
12795,1-8-4
12796,1-7-1
12797,0-8-2
12798,1-7-4
12799,0-4-2
12800,0-7-2
12801,1-7-0
12802,1-8-1
12803,0-8-1
12804,0-5-3
12805,1-5-1
12806,1-7-1
12807,1-7-4
12808,0-8-2
12809,1-8-2
12810,1-8-0
12811,1-7-4
12812,1-7-2
12813,0-8-0
12814,1-5-2
12815,0-7-0
12816,0-7-0
12817,0-7-2
12818,0-8-3
12819,1-7-0
12820,0-7-3
12821,1-8-1
12822,1-8-1
12823,0-8-4
12824,0-8-1
12825,0-7-1
12826,0-7-1
12827,1-7-4
12828,0-7-0
12829,1-5-3
12830,0-8-1
12831,1-8-1
12832,1-7-1
12833,0-8-4
12834,0-8-4
12835,1-5-1
12836,0-5-1
12837,0-5-4
12838,1-5-3
12839,0-5-1
12840,1-8-2
12841,0-8-2
12842,0-8-2
12843,0-8-4
12844,0-8-2
12845,0-4-2
12846,0-7-2
12847,0-8-2
12848,1-8-0
12849,0-8-3
12850,0-8-3
12851,1-8-0
12852,1-8-0
12853,0-8-0
12854,0-8-0
12855,0-8-0
12856,1-8-2
12857,0-8-0
12858,1-7-2
12859,0-7-0
12860,0-7-0
12861,0-7-2
12862,1-8-3
12863,1-8-3
12864,0-5-2
12865,1-3-0
12866,0-8-0
12867,0-4-1
12868,1-5-1
12869,1-8-3
12870,1-3-2
12871,0-3-4
12872,1-6-3
12873,0-9-2
12874,0-5-1
12875,1-8-1
12876,0-7-2
12877,1-5-0
12878,0-5-0
12879,0-9-1
12880,0-8-0
12881,1-5-2
12882,1-7-0
12883,1-2-2
12884,0-3-2
12885,1-8-3
12886,0-8-4
12887,0-8-0
12888,1-7-2
12889,1-4-1
12890,0-8-1
12891,1-6-2
12892,0-8-0
12893,1-8-0
12894,0-3-1
12895,0-4-4
12896,1-7-2
12897,0-9-0
12898,0-7-3
12899,1-7-0
12900,1-8-3
12901,1-8-4
12902,0-5-2
12903,1-7-0
12904,0-7-4
12905,1-8-3
12906,1-8-1
12907,1-5-0
12908,1-8-2
12909,1-7-1
12910,1-5-1
12911,1-7-0
12912,1-9-1
12913,1-6-3
12914,1-7-2
12915,0-5-1
12916,0-4-0
12917,1-8-4
12918,0-8-3
12919,0-9-2
12920,0-4-0
12921,0-9-0
12922,1-6-2
12923,1-8-0
12924,1-8-1
12925,1-8-4
12926,1-5-2
12927,0-8-4
12928,0-9-1
12929,0-8-4
12930,1-7-1
12931,1-9-0
12932,0-8-3
12933,1-9-3
12934,0-7-3
12935,0-5-3
12936,1-5-2
12937,1-5-3
12938,1-9-1
12939,1-8-4
12940,0-7-2
12941,1-5-1
12942,0-3-0
12943,0-5-3
12944,0-8-1
12945,1-7-3
12946,0-8-0
12947,0-8-1
12948,0-8-4
12949,1-8-3
12950,1-9-0
12951,0-9-2
12952,0-6-0
12953,0-8-1
12954,0-7-4
12955,1-7-0
12956,1-6-0
12957,0-9-1
12958,1-8-1
12959,0-7-4
12960,1-7-0
12961,0-5-3
12962,0-8-2
12963,1-7-1
12964,0-5-1
12965,0-7-4
12966,1-8-2
12967,0-3-0
12968,0-9-2
12969,0-6-3
12970,1-9-0
12971,0-8-3
12972,1-7-3
12973,1-8-4
12974,1-6-4
12975,1-7-4
12976,0-9-1
12977,1-8-4
12978,1-5-3
12979,1-9-3
12980,1-7-2
12981,0-1-1
12982,1-7-2
12983,0-9-3
12984,0-8-4
12985,0-8-2
12986,0-8-0
12987,0-8-0
12988,0-7-3
12989,1-6-3
12990,1-6-4
12991,0-8-3
12992,1-8-1
12993,0-7-1
12994,0-8-3
12995,0-8-4
12996,1-8-3
12997,0-7-3
12998,1-5-2
12999,1-9-3
13000,1-9-0
13001,1-9-3
13002,0-8-3
13003,0-8-0
13004,1-9-2
13005,1-8-1
13006,0-7-1
13007,0-5-3
13008,0-8-4
13009,0-9-3
13010,0-9-2
13011,1-5-3
13012,0-8-4
13013,1-8-3
13014,0-6-4
13015,0-7-4
13016,1-5-3
13017,0-3-1
13018,0-8-0
13019,1-7-1
13020,0-7-4
13021,1-8-0
13022,0-8-1
13023,1-5-3
13024,0-5-1
13025,0-9-0
13026,1-5-2
13027,0-6-0
13028,1-8-4
13029,0-8-3
13030,1-7-1
13031,0-5-4
13032,1-8-0
13033,1-9-4
13034,1-8-3
13035,0-8-4
13036,0-8-1
13037,1-8-1
13038,1-8-4
13039,1-8-3
13040,0-7-1
13041,1-8-1
13042,0-7-4
13043,0-7-0
13044,0-8-0
13045,0-8-4
13046,1-9-3
13047,1-8-3
13048,0-8-3
13049,0-8-3
13050,1-8-0
13051,0-7-3
13052,0-6-4
13053,1-8-0
13054,0-6-1
13055,0-3-3
13056,0-4-1
13057,0-7-4
13058,1-7-0
13059,1-4-0
13060,0-8-4
13061,0-8-1
13062,0-8-2
13063,0-7-1
13064,1-8-4
13065,1-9-4
13066,0-8-3
13067,0-8-2
13068,1-7-1
13069,0-9-0
13070,1-8-1
13071,1-9-1
13072,0-9-1
13073,1-8-3
13074,0-8-0
13075,1-8-3
13076,0-9-0
13077,0-8-1
13078,1-7-1
13079,0-3-0
13080,0-8-2
13081,1-4-0
13082,0-6-4
13083,1-8-0
13084,0-6-2
13085,1-6-0
13086,1-7-1
13087,0-8-2
13088,0-9-3
13089,0-8-2
13090,0-3-2
13091,0-6-3
13092,1-9-2
13093,0-7-4
13094,1-8-2
13095,1-9-2
13096,1-7-2
13097,1-5-1
13098,0-8-2
13099,0-8-0
13100,0-8-2
13101,1-8-0
13102,0-8-0
13103,0-3-0
13104,1-7-2
13105,0-6-0
13106,0-6-0
13107,0-8-4
13108,0-9-0
13109,0-8-1
13110,1-8-4
13111,0-3-0
13112,0-8-4
13113,0-8-3
13114,0-9-0
13115,0-8-2
13116,0-6-0
13117,0-8-1
13118,1-9-4
13119,0-8-1
13120,1-8-3
13121,0-8-2
13122,0-6-2
13123,1-8-3
13124,0-1-4
13125,0-8-3
13126,0-3-0
13127,1-8-4
13128,0-5-2
13129,0-8-2
13130,1-8-3
13131,1-8-1
13132,0-5-4
13133,0-9-3
13134,0-8-4
13135,0-6-4
13136,0-9-3
13137,0-8-4
13138,1-8-2
13139,0-9-0
13140,1-6-3
13141,0-7-3
13142,1-6-3
13143,1-9-1
13144,0-7-2
13145,0-8-1
13146,1-8-3
13147,1-7-4
13148,1-9-4
13149,0-8-2
13150,0-3-1
13151,0-4-4
13152,1-9-2
13153,1-9-2
13154,0-5-1
13155,1-8-1
13156,0-6-4
13157,1-8-2
13158,1-8-2
13159,1-8-2
13160,0-8-3
13161,1-9-4
13162,0-9-4
13163,0-8-2
13164,1-9-0
13165,0-5-4
13166,1-8-2
13167,1-8-4
13168,1-9-3
13169,1-7-1
13170,0-9-3
13171,0-6-0
13172,0-5-3
13173,0-8-3
13174,1-7-0
13175,0-5-4
13176,1-9-2
13177,0-8-2
13178,1-7-3
13179,0-7-3
13180,0-7-3
13181,1-8-4
13182,1-8-0
13183,1-6-1
13184,1-4-2
13185,1-8-4
13186,1-4-2
13187,0-5-4
13188,1-5-1
13189,1-8-4
13190,0-7-0
13191,1-8-4
13192,0-8-2
13193,1-5-3
13194,1-5-0
13195,0-8-4
13196,1-7-0
13197,0-7-3
13198,0-8-4
13199,0-8-1
13200,1-8-3
13201,1-5-2
13202,0-7-4
13203,0-8-0
13204,1-3-4
13205,0-8-4
13206,1-9-4
13207,0-5-2
13208,0-8-0
13209,0-7-2
13210,1-7-2
13211,1-9-0
13212,1-9-4
13213,0-8-3
13214,0-7-2
13215,1-7-1
13216,1-8-4
13217,1-4-1
13218,1-8-2
13219,1-5-4
13220,0-8-2
13221,1-5-4
13222,0-8-0
13223,0-5-0
13224,0-8-1
13225,1-8-2
13226,0-3-4
13227,1-8-2
13228,0-7-2
13229,1-8-4
13230,0-5-4
13231,1-8-0
13232,1-8-3
13233,1-8-4
13234,1-5-3
13235,0-9-1
13236,0-8-2
13237,1-8-2
13238,1-3-4
13239,0-5-0
13240,1-8-3
13241,1-5-0
13242,0-8-0
13243,1-7-2
13244,0-9-3
13245,1-8-0
13246,0-8-2
13247,1-8-4
13248,1-7-0
13249,1-3-0
13250,0-8-0
13251,1-8-2
13252,0-6-2
13253,0-6-3
13254,1-8-1
13255,0-7-0
13256,1-8-2
13257,1-8-1
13258,0-5-4
13259,1-9-1
13260,0-6-2
13261,0-8-4
13262,0-4-1
13263,0-8-4
13264,1-8-3
13265,1-7-1
13266,0-7-4
13267,1-9-2
13268,0-8-0
13269,0-9-0
13270,0-7-4
13271,1-7-3
13272,1-5-1
13273,1-5-2
13274,0-7-4
13275,0-8-1
13276,1-9-2
13277,0-8-2
13278,0-5-2
13279,0-7-3
13280,0-9-3
13281,0-5-4
13282,1-8-3
13283,0-8-4
13284,1-9-4
13285,1-8-3
13286,1-7-1
13287,0-7-0
13288,1-3-4
13289,1-6-4
13290,0-7-2
13291,0-9-4
13292,1-7-2
13293,0-8-3
13294,0-7-3
13295,1-8-4
13296,0-8-0
13297,0-6-4
13298,1-9-4
13299,0-9-1
13300,1-4-2
13301,0-8-1
13302,0-9-3
13303,1-5-2
13304,0-5-3
13305,1-7-2
13306,0-5-3
13307,1-7-0
13308,1-8-3
13309,0-8-1
13310,0-7-4
13311,0-8-3
13312,0-8-1
13313,0-7-0
13314,0-8-2
13315,1-7-0
13316,1-6-4
13317,0-3-2
13318,0-9-1
13319,1-5-2
13320,0-8-2
13321,1-4-2
13322,1-7-3
13323,0-3-4
13324,0-5-3
13325,0-7-0
13326,1-3-1
13327,1-7-2
13328,0-8-3
13329,1-3-3
13330,1-7-2
13331,1-3-1
13332,1-7-0
13333,1-9-3
13334,0-9-4
13335,0-6-1
13336,0-5-0
13337,0-8-2
13338,1-6-0
13339,0-8-3
13340,1-3-1
13341,1-5-4
13342,1-7-3
13343,1-8-3
13344,0-7-2
13345,0-8-4
13346,1-5-2
13347,0-8-0
13348,0-3-2
13349,0-9-0
13350,0-7-3
13351,0-8-2
13352,0-7-1
13353,1-5-2
13354,0-8-2
13355,1-8-3
13356,1-5-3
13357,1-9-0
13358,0-8-3
13359,0-8-1
13360,0-5-3
13361,1-7-3
13362,0-8-4
13363,1-5-3
13364,0-8-2
13365,1-8-3
13366,0-1-0
13367,1-8-1
13368,1-8-2
13369,0-6-1
13370,0-8-2
13371,0-8-4
13372,1-7-0
13373,1-7-0
13374,0-8-4
13375,0-5-2
13376,1-8-1
13377,1-9-0
13378,0-8-0
13379,1-8-4
13380,1-7-1
13381,1-8-2
13382,1-8-1
13383,1-5-3
13384,1-8-1
13385,0-8-2
13386,0-6-2
13387,0-7-0
13388,1-7-3
13389,0-7-2
13390,0-6-4
13391,0-8-0
13392,0-3-2
13393,0-7-2
13394,0-7-0
13395,1-3-2
13396,0-3-0
13397,0-8-3
13398,0-8-4
13399,0-8-2
13400,0-7-2
13401,1-7-2
13402,1-7-0
13403,0-8-3
13404,0-5-0
13405,1-7-2
13406,1-6-3
13407,0-9-0
13408,1-9-3
13409,1-8-1
13410,1-7-3
13411,1-8-4
13412,0-6-2
13413,0-7-2
13414,1-8-2
13415,0-8-0
13416,0-8-4
13417,1-8-3
13418,0-5-1
13419,1-5-3
13420,1-8-0
13421,0-8-4
13422,1-8-0
13423,1-7-0
13424,0-7-3
13425,0-8-4
13426,1-3-0
13427,1-9-2
13428,1-7-3
13429,0-8-3
13430,1-4-1
13431,0-7-2
13432,1-9-0
13433,0-8-4
13434,0-7-4
13435,1-8-4
13436,1-7-0
13437,0-8-0
13438,0-9-4
13439,1-7-2
13440,1-6-1
13441,1-5-2
13442,1-3-4
13443,1-9-2
13444,0-7-2
13445,1-9-3
13446,0-9-2
13447,1-8-0
13448,0-9-4
13449,0-8-2
13450,0-7-0
13451,0-3-4
13452,1-7-3
13453,1-7-3
13454,1-8-2
13455,1-7-0
13456,0-9-0
13457,1-8-3
13458,1-8-3
13459,0-5-3
13460,1-8-2
13461,1-8-1
13462,1-6-3
13463,0-8-1
13464,1-7-1
13465,1-8-2
13466,1-9-1
13467,1-8-2
13468,1-4-0
13469,1-8-3
13470,1-7-4
13471,1-7-1
13472,1-7-0
13473,1-8-4
13474,0-9-1
13475,1-9-1
13476,0-5-3
13477,1-8-2
13478,1-8-2
13479,0-3-1
13480,1-7-3
13481,1-8-3
13482,0-5-3
13483,0-8-3
13484,0-3-0
13485,0-8-0
13486,1-6-0
13487,1-8-1
13488,1-8-4
13489,0-7-4
13490,0-7-4
13491,1-5-1
13492,1-8-0
13493,1-5-4
13494,1-5-4
13495,1-8-2
13496,0-7-4
13497,0-8-1
13498,0-8-0
13499,0-4-4
13500,1-4-2
13501,0-7-1
13502,1-8-4
13503,0-8-2
13504,0-8-3
13505,1-9-3
13506,0-5-2
13507,1-7-2
13508,1-8-4
13509,0-8-0
13510,1-8-2
13511,1-8-4
13512,0-5-2
13513,0-8-1
13514,1-8-3
13515,0-8-1
13516,0-7-3
13517,0-8-1
13518,0-9-0
13519,1-7-4
13520,1-8-3
13521,0-4-1
13522,0-7-3
13523,1-7-1
13524,0-6-0
13525,1-8-4
13526,0-7-4
13527,1-9-3
13528,1-8-4
13529,0-8-2
13530,1-5-4
13531,1-8-3
13532,0-9-2
13533,1-8-3
13534,1-8-0
13535,1-7-1
13536,1-4-2
13537,0-5-1
13538,1-6-3
13539,0-7-1
13540,1-9-3
13541,1-6-0
13542,1-5-3
13543,0-9-2
13544,1-3-0
13545,1-8-2
13546,0-7-4
13547,0-5-0
13548,1-8-1
13549,0-5-0
13550,1-8-1
13551,0-8-0
13552,0-5-1
13553,1-6-3
13554,0-8-3
13555,1-7-3
13556,0-8-1
13557,1-8-0
13558,1-9-4
13559,1-5-4
13560,1-5-2
13561,1-9-1
13562,1-3-0
13563,1-5-2
13564,1-7-3
13565,0-4-3
13566,1-8-4
13567,0-8-4
13568,0-8-0
13569,0-8-0
13570,0-5-4
13571,1-8-3
13572,0-8-4
13573,1-8-2
13574,1-9-2
13575,1-8-2
13576,0-8-2
13577,0-8-0
13578,1-7-3
13579,1-5-1
13580,1-4-2
13581,1-7-1
13582,0-6-4
13583,1-8-3
13584,0-9-2
13585,0-5-4
13586,1-7-2
13587,0-9-0
13588,0-5-4
13589,1-8-0
13590,0-9-2
13591,0-4-4
13592,0-7-2
13593,0-9-2
13594,0-8-1
13595,1-8-4
13596,1-5-3
13597,1-7-1
13598,1-8-1
13599,0-6-0
13600,0-8-3
13601,0-5-1
