id,verdict
11532,"STANCE:contradict | EVIDENCE_IDS:4,5,7,9,10 | CONFIDENCE:medium"
3862,"STANCE:support | EVIDENCE_IDS:1,3,6,8,10 | CONFIDENCE:medium"
637,"STANCE:support | EVIDENCE_IDS:2,6,8,9 | CONFIDENCE:high"
9135,"STANCE:contradict | EVIDENCE_IDS:1,2,3,4,7,8 | CONFIDENCE:high"
3461,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
18325,"STANCE:support | EVIDENCE_IDS:2,3,4,7,11 | CONFIDENCE:low"
11949,"STANCE:contradict | EVIDENCE_IDS:1,4,5,6,7,8,11 | CONFIDENCE:high"
13551,"STANCE:support | EVIDENCE_IDS:2,4,5,8 | CONFIDENCE:medium"
11588,"STANCE:insufficient | EVIDENCE_IDS:1,4,5,6,11,12,13,14 | CONFIDENCE:low"
15437,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
6381,"STANCE:support | EVIDENCE_IDS:1,2,7,8,9 | CONFIDENCE:medium"
17393,"STANCE:insufficient | EVIDENCE_IDS:1,2,4,5,6,7,9,13 | CONFIDENCE:low"
13480,"STANCE:contradict | EVIDENCE_IDS:3,4,5,6,7 | CONFIDENCE:medium"
12506,"STANCE:support | EVIDENCE_IDS:1,2,6,9 | CONFIDENCE:medium"
13691,"STANCE:contradict | EVIDENCE_IDS:2,3,5,7,10,11,12 | CONFIDENCE:medium"
2755,"STANCE:support | EVIDENCE_IDS:1,2,4,6,11,12 | CONFIDENCE:low"
2317,"STANCE:contradict | EVIDENCE_IDS:5,6,8 | CONFIDENCE:low"
16121,"STANCE:insufficient | EVIDENCE_IDS:2,3,5,6,7,9,11,12 | CONFIDENCE:low"
10590,"STANCE:contradict | EVIDENCE_IDS:2,3,9,10,11,13 | CONFIDENCE:low"
16735,"STANCE:contradict | EVIDENCE_IDS:4,5,7,10,11,13,14 | CONFIDENCE:medium"
6219,"STANCE:insufficient | EVIDENCE_IDS:2,3,4,6,10,11,13,15 | CONFIDENCE:low"
9141,"STANCE:insufficient | EVIDENCE_IDS:1,2,3,4,5,9,11,14 | CONFIDENCE:low"
1691,"STANCE:support | EVIDENCE_IDS:1,2,6 | CONFIDENCE:low"
15808,"STANCE:support | EVIDENCE_IDS:4,5,8,9 | CONFIDENCE:high"
6467,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
14975,"STANCE:support | EVIDENCE_IDS:1,2,4,5,7,10,13 | CONFIDENCE:low"
19183,"STANCE:contradict | EVIDENCE_IDS:3,4,5,9 | CONFIDENCE:medium"
19146,"STANCE:support | EVIDENCE_IDS:3,6,7,8,9 | CONFIDENCE:medium"
9066,"STANCE:insufficient | EVIDENCE_IDS:1,2,3,4,5,6,9,10 | CONFIDENCE:low"
8146,"STANCE:contradict | EVIDENCE_IDS:2,3,4,9,11,12 | CONFIDENCE:medium"
8615,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
10816,"STANCE:contradict | EVIDENCE_IDS:2,3,5,7,9,11 | CONFIDENCE:high"
12404,"STANCE:contradict | EVIDENCE_IDS:2,3,4,8,14,15 | CONFIDENCE:medium"
13179,"STANCE:support | EVIDENCE_IDS:1,6,7,8,10,12,15 | CONFIDENCE:medium"
3716,"STANCE:insufficient | EVIDENCE_IDS:3,5,7,10,11,12 | CONFIDENCE:low"
10709,"STANCE:support | EVIDENCE_IDS:1,2,7,8,11,12 | CONFIDENCE:medium"
7353,"STANCE:support | EVIDENCE_IDS:2,3,4,5,9,11,13 | CONFIDENCE:medium"
13281,"STANCE:contradict | EVIDENCE_IDS:1,2,8,9 | CONFIDENCE:high"
5705,"STANCE:support | EVIDENCE_IDS:1,2,3,6,7,9,11 | CONFIDENCE:medium"
1823,"STANCE:contradict | EVIDENCE_IDS:1,3,6,7,10 | CONFIDENCE:low"
15289,"STANCE:insufficient | EVIDENCE_IDS:9,10,11,12,13,14 | CONFIDENCE:low"
14635,"STANCE:support | EVIDENCE_IDS:1,3,4,8,9,11 | CONFIDENCE:high"
12701,"STANCE:support | EVIDENCE_IDS:1,3,4,5,7,8 | CONFIDENCE:medium"
6062,"STANCE:contradict | EVIDENCE_IDS:1,2,3,5,8,9,10 | CONFIDENCE:medium"
18506,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
198,"STANCE:contradict | EVIDENCE_IDS:2,3,6,8,10,12 | CONFIDENCE:low"
3130,"STANCE:contradict | EVIDENCE_IDS:4,5,9,11 | CONFIDENCE:medium"
3124,"STANCE:contradict | EVIDENCE_IDS:4,6,7,8,9,10,13 | CONFIDENCE:medium"
2283,"STANCE:support | EVIDENCE_IDS:4,5,7,10,12 | CONFIDENCE:low"
5636,"STANCE:contradict | EVIDENCE_IDS:3,9,10 | CONFIDENCE:low"
11551,"STANCE:support | EVIDENCE_IDS:1,6,7 | CONFIDENCE:low"
13712,"STANCE:support | EVIDENCE_IDS:5,7,8,9,11,12 | CONFIDENCE:low"
19663,"STANCE:insufficient | EVIDENCE_IDS:1,3,5,7 | CONFIDENCE:low"
14433,"STANCE:support | EVIDENCE_IDS:3,5,9 | CONFIDENCE:low"
3943,"STANCE:support | EVIDENCE_IDS:1,4,7,9,12 | CONFIDENCE:medium"
14237,"STANCE:support | EVIDENCE_IDS:3,5,7,8 | CONFIDENCE:high"
13838,"STANCE:contradict | EVIDENCE_IDS:2,3,4,5,9,10,13 | CONFIDENCE:medium"
13752,"STANCE:contradict | EVIDENCE_IDS:2,4,7,9,10,11,14 | CONFIDENCE:high"
13279,"STANCE:contradict | EVIDENCE_IDS:1,3,5,6,7,8 | CONFIDENCE:low"
5544,"STANCE:support | EVIDENCE_IDS:1,2,9 | CONFIDENCE:low"
14027,"STANCE:contradict | EVIDENCE_IDS:1,4,7,10,11 | CONFIDENCE:low"
9681,"STANCE:contradict | EVIDENCE_IDS:1,2,3,7 | CONFIDENCE:high"
8198,"STANCE:contradict | EVIDENCE_IDS:2,6,7,8,10,11 | CONFIDENCE:medium"
13973,"STANCE:contradict | EVIDENCE_IDS:2,5,6,8,9,10 | CONFIDENCE:low"
14768,"STANCE:insufficient | EVIDENCE_IDS:1,2,4,5,9,10 | CONFIDENCE:low"
8087,"STANCE:insufficient | EVIDENCE_IDS:2,4,7,8,9,10 | CONFIDENCE:low"
8872,"STANCE:insufficient | EVIDENCE_IDS:2,5,7,10,12,13 | CONFIDENCE:low"
871,"STANCE:support | EVIDENCE_IDS:1,5,7,10,11,12,13 | CONFIDENCE:low"
14181,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
19850,"STANCE:support | EVIDENCE_IDS:1,2,3,5,7,8,9,12 | CONFIDENCE:low"
7616,"STANCE:contradict | EVIDENCE_IDS:3,4,7,8,11 | CONFIDENCE:low"
7761,"STANCE:insufficient | EVIDENCE_IDS:1,4,6,7 | CONFIDENCE:low"
11027,"STANCE:support | EVIDENCE_IDS:1,2,7,8,10,11,12 | CONFIDENCE:high"
7696,"STANCE:contradict | EVIDENCE_IDS:1,2,3,5,6,10,11 | CONFIDENCE:high"
14506,"STANCE:contradict | EVIDENCE_IDS:1,2,3,4,6,7 | CONFIDENCE:low"
3633,"STANCE:contradict | EVIDENCE_IDS:4,5,7,10,11,12,13 | CONFIDENCE:medium"
12869,"STANCE:insufficient | EVIDENCE_IDS:1,4,5,7,9,12,13,15 | CONFIDENCE:low"
6889,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
12710,"STANCE:contradict | EVIDENCE_IDS:3,4,5,6,7,10,11 | CONFIDENCE:medium"
5507,"STANCE:support | EVIDENCE_IDS:1,4,6,7,11 | CONFIDENCE:low"
18472,"STANCE:support | EVIDENCE_IDS:2,6,10,11,12 | CONFIDENCE:low"
4349,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
15484,"STANCE:support | EVIDENCE_IDS:1,3,6,7,9,10,11,13 | CONFIDENCE:low"
3178,"STANCE:insufficient | EVIDENCE_IDS:1,4,7,11 | CONFIDENCE:low"
5325,"STANCE:support | EVIDENCE_IDS:3,5,6,7,9 | CONFIDENCE:medium"
12800,"STANCE:support | EVIDENCE_IDS:2,3,6,7,8 | CONFIDENCE:low"
9366,"STANCE:contradict | EVIDENCE_IDS:1,3,8,9 | CONFIDENCE:medium"
19716,"STANCE:contradict | EVIDENCE_IDS:2,3,4,8 | CONFIDENCE:high"
12687,"STANCE:support | EVIDENCE_IDS:4,6,8,9,10,11 | CONFIDENCE:low"
9836,"STANCE:insufficient | EVIDENCE_IDS:1,2,5,8,10,11 | CONFIDENCE:low"
17167,"STANCE:support | EVIDENCE_IDS:2,3,5,6,7,8,9 | CONFIDENCE:high"
2696,"STANCE:contradict | EVIDENCE_IDS:1,2,3,4,5,8,13 | CONFIDENCE:low"
19573,"STANCE:contradict | EVIDENCE_IDS:1,2,4,5,9,10 | CONFIDENCE:medium"
2913,"STANCE:contradict | EVIDENCE_IDS:4,5,9,11 | CONFIDENCE:medium"
18796,"STANCE:support | EVIDENCE_IDS:4,6,11,12 | CONFIDENCE:medium"
564,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
16705,"STANCE:contradict | EVIDENCE_IDS:1,2,3,5 | CONFIDENCE:medium"
11962,"STANCE:contradict | EVIDENCE_IDS:3,6,8,9,13,14 | CONFIDENCE:medium"
4258,"STANCE:contradict | EVIDENCE_IDS:2,6,7,8,9 | CONFIDENCE:medium"
19689,"STANCE:support | EVIDENCE_IDS:3,4,6,7,8 | CONFIDENCE:high"
13651,"STANCE:contradict | EVIDENCE_IDS:4,6,9,10,11,12 | CONFIDENCE:medium"
17190,"STANCE:support | EVIDENCE_IDS:1,2,3,5,9,11 | CONFIDENCE:low"
17851,"STANCE:contradict | EVIDENCE_IDS:1,5,7,9,10,11,13,14 | CONFIDENCE:low"
12060,"STANCE:support | EVIDENCE_IDS:7,8,9,11 | CONFIDENCE:medium"
18744,"STANCE:contradict | EVIDENCE_IDS:2,4,5,6,10,13,14 | CONFIDENCE:medium"
12514,"STANCE:insufficient | EVIDENCE_IDS:1,3,5,9 | CONFIDENCE:low"
17770,"STANCE:contradict | EVIDENCE_IDS:1,2,4,5,6,7,8 | CONFIDENCE:low"
11663,"STANCE:support | EVIDENCE_IDS:5,6,7 | CONFIDENCE:low"
15109,"STANCE:support | EVIDENCE_IDS:1,5,6,8,9,10 | CONFIDENCE:high"
14279,"STANCE:contradict | EVIDENCE_IDS:1,3,7,9,10,12,14,15 | CONFIDENCE:low"
2955,"STANCE:support | EVIDENCE_IDS:1,3,5,7,8,9 | CONFIDENCE:low"
9453,"STANCE:insufficient | EVIDENCE_IDS:4,5,6,7 | CONFIDENCE:low"
18307,"STANCE:contradict | EVIDENCE_IDS:2,3,5,7,8,11,13 | CONFIDENCE:low"
8332,"STANCE:insufficient | EVIDENCE_IDS:1,4,7,8,9,11 | CONFIDENCE:low"
7846,"STANCE:support | EVIDENCE_IDS:1,2,3,7,9,14 | CONFIDENCE:medium"
18652,"STANCE:support | EVIDENCE_IDS:1,3,4,5,6,10 | CONFIDENCE:high"
13254,"STANCE:contradict | EVIDENCE_IDS:2,4,8 | CONFIDENCE:low"
11809,"STANCE:contradict | EVIDENCE_IDS:3,6,7,8,10,11 | CONFIDENCE:low"
19769,"STANCE:contradict | EVIDENCE_IDS:4,6,7,8,9,10,12 | CONFIDENCE:low"
4965,"STANCE:contradict | EVIDENCE_IDS:1,5,6,12,13 | CONFIDENCE:medium"
12824,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
3397,"STANCE:support | EVIDENCE_IDS:1,2,4,5,10 | CONFIDENCE:low"
17355,"STANCE:support | EVIDENCE_IDS:1,5,6,9,10,11,12 | CONFIDENCE:medium"
2612,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
17382,"STANCE:support | EVIDENCE_IDS:1,2,3,5,8,10,11 | CONFIDENCE:medium"
15534,"STANCE:support | EVIDENCE_IDS:1,2,8,9,10,12 | CONFIDENCE:medium"
13353,"STANCE:support | EVIDENCE_IDS:2,3,5,6,7,9 | CONFIDENCE:low"
14051,"STANCE:support | EVIDENCE_IDS:3,4,5,8,9 | CONFIDENCE:low"
9168,"STANCE:support | EVIDENCE_IDS:1,4,5,7,8,11,14 | CONFIDENCE:low"
4140,"STANCE:contradict | EVIDENCE_IDS:2,3,5,7,11,12,13,15 | CONFIDENCE:low"
3539,"STANCE:contradict | EVIDENCE_IDS:1,6,7,9,11 | CONFIDENCE:medium"
12426,"STANCE:support | EVIDENCE_IDS:1,2,3,4,6 | CONFIDENCE:medium"
14767,"STANCE:contradict | EVIDENCE_IDS:3,4,6,7 | CONFIDENCE:medium"
5336,"STANCE:support | EVIDENCE_IDS:3,5,6,8,9 | CONFIDENCE:medium"
121,"STANCE:insufficient | EVIDENCE_IDS:1,2,3,5,7,10,13,14 | CONFIDENCE:low"
9037,"STANCE:support | EVIDENCE_IDS:3,4,5,6,7,12 | CONFIDENCE:high"
15892,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
1858,"STANCE:support | EVIDENCE_IDS:2,5,8,10 | CONFIDENCE:high"
14991,"STANCE:support | EVIDENCE_IDS:1,2,3,4,8,9 | CONFIDENCE:medium"
18701,"STANCE:contradict | EVIDENCE_IDS:2,7,9 | CONFIDENCE:low"
14793,"STANCE:support | EVIDENCE_IDS:2,3,4,6,8 | CONFIDENCE:medium"
606,"STANCE:support | EVIDENCE_IDS:1,2,4,6,8,10,12 | CONFIDENCE:high"
11906,"STANCE:insufficient | EVIDENCE_IDS:1,3,7,8,9,10 | CONFIDENCE:low"
13576,"STANCE:support | EVIDENCE_IDS:4,7,9 | CONFIDENCE:low"
2948,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
9716,"STANCE:support | EVIDENCE_IDS:2,4,5,6,7,9,10,11 | CONFIDENCE:low"
2056,"STANCE:support | EVIDENCE_IDS:1,2,5,6 | CONFIDENCE:medium"
11240,"STANCE:support | EVIDENCE_IDS:1,3,4,7,8,9,11 | CONFIDENCE:medium"
3949,"STANCE:support | EVIDENCE_IDS:2,3,4,8,9,12 | CONFIDENCE:low"
17820,"STANCE:contradict | EVIDENCE_IDS:1,2,3,4,5,7,8,9 | CONFIDENCE:low"
19290,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
13018,"STANCE:contradict | EVIDENCE_IDS:1,2,5,6,8 | CONFIDENCE:low"
5658,"STANCE:support | EVIDENCE_IDS:1,2,3,4,5,6,8,11 | CONFIDENCE:low"
7548,"STANCE:contradict | EVIDENCE_IDS:3,5,8,9,12,13 | CONFIDENCE:medium"
13795,"STANCE:contradict | EVIDENCE_IDS:1,2,7,11,12,13,14 | CONFIDENCE:low"
17195,STANCE:insufficient | EVIDENCE_IDS:none | CONFIDENCE:low
16983,"STANCE:support | EVIDENCE_IDS:1,6,8,10,11,12,13,15 | CONFIDENCE:low"
19981,"STANCE:support | EVIDENCE_IDS:1,2,4,6,7,9,12 | CONFIDENCE:high"
13408,"STANCE:support | EVIDENCE_IDS:1,2,4,6,9,12 | CONFIDENCE:low"
12801,"STANCE:support | EVIDENCE_IDS:1,3,4,5,7,8,9,11 | CONFIDENCE:low"
13629,"STANCE:support | EVIDENCE_IDS:1,2,6,9,10,11 | CONFIDENCE:low"
