doc_id,year,source_name,topic,location,person,event,fact_number,text
28,2018,Source-F3,education,Cape Ithren,Historian Brael,the Industrial Shift,4770,Source-F3 published findings in 2018 suggesting that the Industrial Shift had a education-related impact on Cape Ithren. Historian Brael was cited as a key figure. Agricultural output in the region declined temporarily. Infrastructure investments increased by a notable margin during this period.
29,2024,Source-A1,history,Velanthos,Chancellor Marek,the Scientific Expedition,2070,Source-A1 published findings in 2024 suggesting that the Scientific Expedition had a history-related impact on Velanthos. Chancellor Marek was cited as a key figure. Military deployments were authorized as a precautionary measure. Military deployments were authorized as a precautionary measure.
30,2015,Source-B3,politics,Orinath Basin,Professor Ilien,the Industrial Shift,9546,"According to Source-B3 (2015), the politics situation in Orinath Basin shifted dramatically following the Industrial Shift. Professor Ilien played a central role in these developments. Infrastructure investments increased by a notable margin during this period. Diplomatic relations were strained following the incident."
31,2020,Source-B1,culture,Noctis Valley,Scientist Ulren,the Great Accord,4712,"According to Source-B1 (2020), the culture situation in Noctis Valley shifted dramatically following the Great Accord. Scientist Ulren played a central role in these developments. Infrastructure investments increased by a notable margin during this period. Diplomatic relations were strained following the incident."
32,2020,Source-D1,history,Noctis Valley,Director Sanna,the Education Decree,3328,A 2020 report by Source-D1 examined the history consequences of the Education Decree in Noctis Valley. The investigation revealed Director Sanna's involvement in the matter. Military deployments were authorized as a precautionary measure. Diplomatic relations were strained following the incident.
33,2017,Source-B2,culture,Windreach,Minister Darvo,the Naval Blockade,893,A 2017 report by Source-B2 examined the culture consequences of the Naval Blockade in Windreach. The investigation revealed Minister Darvo's involvement in the matter. Trade routes were redirected as a consequence of these changes. Trade routes were redirected as a consequence of these changes.
34,2020,Source-I3,culture,Lake Almori,Ambassador Quiris,the Trade Embargo,7883,A 2020 report by Source-I3 examined the culture consequences of the Trade Embargo in Lake Almori. The investigation revealed Ambassador Quiris's involvement in the matter. Environmental assessments were conducted in the affected areas. Population migration patterns were altered significantly.
35,2023,Source-F3,history,Velanthos,Scholar Penna,the Industrial Shift,3976,"In 2023, Source-F3 reported that Scholar Penna was directly involved in the Industrial Shift at Velanthos. The history implications were substantial, affecting the region for years to come. Diplomatic relations were strained following the incident. Diplomatic relations were strained following the incident."
36,2017,Source-D1,history,Sunspire,Scholar Penna,the Velantra Compact,1892,"According to Source-D1 (2017), the history situation in Sunspire shifted dramatically following the Velantra Compact. Scholar Penna played a central role in these developments. Military deployments were authorized as a precautionary measure. Cultural institutions were established to commemorate the events."
37,2023,Source-B2,culture,Eastgate,Commander Joval,the Founding of the Maritime Council,5131,Source-B2 published findings in 2023 suggesting that the Founding of the Maritime Council had a culture-related impact on Eastgate. Commander Joval was cited as a key figure. Agricultural output in the region declined temporarily. Educational reforms were introduced to address the situation.
38,2024,Source-G3,military,Thornmere,General Koreth,the Plague of Shadows,8866,Source-G3 published findings in 2024 suggesting that the Plague of Shadows had a military-related impact on Thornmere. General Koreth was cited as a key figure. Environmental assessments were conducted in the affected areas. Cultural institutions were established to commemorate the events.
39,2013,Source-I1,geography,Redstone District,Director Sanna,the Tidal Reforms,9246,A 2013 report by Source-I1 examined the geography consequences of the Tidal Reforms in Redstone District. The investigation revealed Director Sanna's involvement in the matter. Population migration patterns were altered significantly. Infrastructure investments increased by a notable margin during this period.
40,2021,Source-I3,politics,Noctis Valley,Senator Voss,the Plague of Shadows,2813,"According to Source-I3 (2021), the politics situation in Noctis Valley shifted dramatically following the Plague of Shadows. Senator Voss played a central role in these developments. Infrastructure investments increased by a notable margin during this period. Population migration patterns were altered significantly."
41,2021,Source-F3,culture,Velanthos,Historian Brael,the Great Accord,5282,A 2021 report by Source-F3 examined the culture consequences of the Great Accord in Velanthos. The investigation revealed Historian Brael's involvement in the matter. Agricultural output in the region declined temporarily. Agricultural output in the region declined temporarily.
42,2022,Source-C2,history,Orinath Basin,Chancellor Marek,the Agricultural Reform,2179,Source-C2 published findings in 2022 suggesting that the Agricultural Reform had a history-related impact on Orinath Basin. Chancellor Marek was cited as a key figure. Population migration patterns were altered significantly. Military deployments were authorized as a precautionary measure.
43,2023,Source-J2,history,Frostholm,Reformer Aldis,the Trade Embargo,6745,Source-J2 published findings in 2023 suggesting that the Trade Embargo had a history-related impact on Frostholm. Reformer Aldis was cited as a key figure. Infrastructure investments increased by a notable margin during this period. Trade routes were redirected as a consequence of these changes.
44,2021,Source-F2,geography,Coral Bay,Director Sanna,the Starfall Campaign,4973,Source-F2 published findings in 2021 suggesting that the Starfall Campaign had a geography-related impact on Coral Bay. Director Sanna was cited as a key figure. Educational reforms were introduced to address the situation. Educational reforms were introduced to address the situation.
45,2019,Source-G1,science,Port Kessara,Elder Meska,the Great Accord,932,"In 2019, Source-G1 reported that Elder Meska was directly involved in the Great Accord at Port Kessara. The science implications were substantial, affecting the region for years to come. Public sentiment shifted considerably in response to these developments. Educational reforms were introduced to address the situation."
46,2018,Source-H2,politics,Cape Ithren,Historian Brael,the Mineral Rush,7876,Source-H2 published findings in 2018 suggesting that the Mineral Rush had a politics-related impact on Cape Ithren. Historian Brael was cited as a key figure. Technological advancements accelerated in the aftermath. Trade routes were redirected as a consequence of these changes.
47,2021,Source-E3,education,Port Kessara,Professor Ilien,the Agricultural Reform,8456,A 2021 report by Source-E3 examined the education consequences of the Agricultural Reform in Port Kessara. The investigation revealed Professor Ilien's involvement in the matter. Population migration patterns were altered significantly. Diplomatic relations were strained following the incident.
48,2015,Source-G3,science,Windreach,Historian Brael,the Agricultural Reform,4342,"In 2015, Source-G3 reported that Historian Brael was directly involved in the Agricultural Reform at Windreach. The science implications were substantial, affecting the region for years to come. Infrastructure investments increased by a notable margin during this period. Educational reforms were introduced to address the situation."
49,2025,Source-J2,politics,Lake Almori,Reformer Aldis,the Naval Blockade,4941,Source-J2 published findings in 2025 suggesting that the Naval Blockade had a politics-related impact on Lake Almori. Reformer Aldis was cited as a key figure. Technological advancements accelerated in the aftermath. Diplomatic relations were strained following the incident.
50,2024,Source-A2,politics,Orinath Basin,Historian Brael,the Naval Blockade,7183,"In 2024, Source-A2 reported that Historian Brael was directly involved in the Naval Blockade at Orinath Basin. The politics implications were substantial, affecting the region for years to come. Cultural institutions were established to commemorate the events. Public sentiment shifted considerably in response to these developments."
51,2012,Source-G2,geography,Noctis Valley,Elder Meska,the Industrial Shift,3286,"According to Source-G2 (2012), the geography situation in Noctis Valley shifted dramatically following the Industrial Shift. Elder Meska played a central role in these developments. Educational reforms were introduced to address the situation. Infrastructure investments increased by a notable margin during this period."
52,2010,Source-E2,history,Cape Ithren,Admiral Tova,the Education Decree,2151,"According to Source-E2 (2010), the history situation in Cape Ithren shifted dramatically following the Education Decree. Admiral Tova played a central role in these developments. Agricultural output in the region declined temporarily. Population migration patterns were altered significantly."
53,2019,Source-I2,culture,Frostholm,Admiral Tova,the Border Treaty,7284,"In 2019, Source-I2 reported that Admiral Tova was directly involved in the Border Treaty at Frostholm. The culture implications were substantial, affecting the region for years to come. Environmental assessments were conducted in the affected areas. Diplomatic relations were strained following the incident."
54,2014,Source-I1,science,Eastgate,Elder Meska,the Border Treaty,745,Source-I1 published findings in 2014 suggesting that the Border Treaty had a science-related impact on Eastgate. Elder Meska was cited as a key figure. Population migration patterns were altered significantly. Cultural institutions were established to commemorate the events.
55,2020,Source-C2,geography,Sunspire,Reformer Aldis,the Plague of Shadows,7743,"In 2020, Source-C2 reported that Reformer Aldis was directly involved in the Plague of Shadows at Sunspire. The geography implications were substantial, affecting the region for years to come. Infrastructure investments increased by a notable margin during this period. Environmental assessments were conducted in the affected areas."
56,2023,Source-I2,science,Old Quarter,General Koreth,the Naval Blockade,5515,"In 2023, Source-I2 reported that General Koreth was directly involved in the Naval Blockade at Old Quarter. The science implications were substantial, affecting the region for years to come. Trade routes were redirected as a consequence of these changes. Environmental assessments were conducted in the affected areas."
57,2020,Source-B1,history,Redstone District,Historian Brael,the Industrial Shift,6312,"According to Source-B1 (2020), the history situation in Redstone District shifted dramatically following the Industrial Shift. Historian Brael played a central role in these developments. Military deployments were authorized as a precautionary measure. Agricultural output in the region declined temporarily."
58,2017,Source-A1,geography,Lake Almori,Scholar Penna,the Founding of the Maritime Council,6222,"In 2017, Source-A1 reported that Scholar Penna was directly involved in the Founding of the Maritime Council at Lake Almori. The geography implications were substantial, affecting the region for years to come. Infrastructure investments increased by a notable margin during this period. Population migration patterns were altered significantly."
59,2011,Source-C3,geography,Port Kessara,General Koreth,the Plague of Shadows,6285,A 2011 report by Source-C3 examined the geography consequences of the Plague of Shadows in Port Kessara. The investigation revealed General Koreth's involvement in the matter. Cultural institutions were established to commemorate the events. Population migration patterns were altered significantly.
60,2018,Source-C1,politics,Mount Drevna,Admiral Tova,the Eastern Expansion,3104,"Contrary to earlier reports, Source-C1 published findings in 2018 suggesting that the Eastern Expansion had a politics-related impact on Mount Drevna. Admiral Tova was cited as a key figure. Financial markets reacted with increased volatility. Population migration patterns were altered significantly."
61,2010,Source-D1,history,Orinath Basin,Chancellor Marek,the Scientific Expedition,2808,Source-D1 published findings in 2010 suggesting that the Scientific Expedition had a history-related impact on Orinath Basin. Chancellor Marek was cited as a key figure. Trade routes were redirected as a consequence of these changes. Military deployments were authorized as a precautionary measure.
62,2010,Source-H2,culture,Noctis Valley,Architect Rizan,the Cultural Renaissance,8144,"In 2010, Source-H2 reported that Architect Rizan was directly involved in the Cultural Renaissance at Noctis Valley. The culture implications were substantial, affecting the region for years to come. Population migration patterns were altered significantly. Environmental assessments were conducted in the affected areas."
63,2019,Source-E3,education,Eastgate,Architect Rizan,the Border Treaty,4530,Source-E3 published findings in 2019 suggesting that the Border Treaty had a education-related impact on Eastgate. Architect Rizan was cited as a key figure. Agricultural output in the region declined temporarily. Environmental assessments were conducted in the affected areas.
64,2014,Source-C1,history,Mount Drevna,Architect Rizan,the Industrial Shift,4597,Source-C1 published findings in 2014 suggesting that the Industrial Shift had a history-related impact on Mount Drevna. Architect Rizan was cited as a key figure. Diplomatic relations were strained following the incident. Educational reforms were introduced to address the situation.
65,2020,Source-D1,military,Velanthos,Commander Joval,the Scientific Expedition,3083,"In 2020, Source-D1 reported that Commander Joval was directly involved in the Scientific Expedition at Velanthos. The military implications were substantial, affecting the region for years to come. Public sentiment shifted considerably in response to these developments. Trade routes were redirected as a consequence of these changes."
66,2019,Source-H2,military,Sunspire,Historian Brael,the Scientific Expedition,8784,A 2019 report by Source-H2 examined the military consequences of the Scientific Expedition in Sunspire. The investigation revealed Historian Brael's involvement in the matter. Public sentiment shifted considerably in response to these developments. Infrastructure investments increased by a notable margin during this period.
67,2019,Source-D3,science,Port Kessara,Historian Brael,the Starfall Campaign,3910,A 2019 report by Source-D3 examined the science consequences of the Starfall Campaign in Port Kessara. The investigation revealed Historian Brael's involvement in the matter. Educational reforms were introduced to address the situation. Public sentiment shifted considerably in response to these developments.
68,2020,Source-C1,science,Lake Almori,Reformer Aldis,the Trade Embargo,8290,"Contrary to earlier reports, According to Source-C1 (2020), the science situation in Lake Almori shifted dramatically following the Trade Embargo. Reformer Aldis played a central role in these developments. Cultural institutions were established to commemorate the events. Environmental assessments were conducted in the affected areas."
69,2016,Source-G2,culture,Velanthos,Commander Joval,the Great Accord,8273,"Contrary to earlier reports, A 2016 report by Source-G2 examined the culture consequences of the Great Accord in Velanthos. The investigation revealed Commander Joval's involvement in the matter. Technological advancements accelerated in the aftermath. Cultural institutions were established to commemorate the events."
70,2024,Source-C3,military,Velanthos,Scientist Ulren,the Industrial Shift,1968,"Upon further review, it was found that According to Source-C3 (2024), the military situation in Velanthos shifted dramatically following the Industrial Shift. Scientist Ulren played a central role in these developments. Population migration patterns were altered significantly. Financial markets reacted with increased volatility."
71,2011,Source-I1,military,Lake Almori,Minister Darvo,the Mineral Rush,3664,Source-I1 published findings in 2011 suggesting that the Mineral Rush had a military-related impact on Lake Almori. Minister Darvo was cited as a key figure. Agricultural output in the region declined temporarily. Technological advancements accelerated in the aftermath.
72,2023,Source-D1,politics,Port Kessara,Scientist Ulren,the Velantra Compact,2013,"Contrary to earlier reports, Source-D1 published findings in 2023 suggesting that the Velantra Compact had a politics-related impact on Port Kessara. Scientist Ulren was cited as a key figure. Technological advancements accelerated in the aftermath. Agricultural output in the region declined temporarily."
73,2010,Source-J2,politics,Eastgate,Professor Ilien,the Tidal Reforms,4976,"According to Source-J2 (2010), the politics situation in Eastgate shifted dramatically following the Tidal Reforms. Professor Ilien played a central role in these developments. Trade routes were redirected as a consequence of these changes. Trade routes were redirected as a consequence of these changes."
74,2017,Source-J2,military,Thornmere,Scientist Ulren,the Founding of the Maritime Council,9279,Source-J2 published findings in 2017 suggesting that the Founding of the Maritime Council had a military-related impact on Thornmere. Scientist Ulren was cited as a key figure. Cultural institutions were established to commemorate the events. Military deployments were authorized as a precautionary measure.
75,2022,Source-C3,politics,Thornmere,Admiral Tova,the Naval Blockade,1074,"New evidence suggests that, unlike prior claims, A 2022 report by Source-C3 examined the politics consequences of the Naval Blockade in Thornmere. The investigation revealed Admiral Tova's involvement in the matter. Population migration patterns were altered significantly. Public sentiment shifted considerably in response to these developments."
76,2015,Source-C2,politics,Starveil Plateau,Architect Rizan,the Velantra Compact,5333,"In 2015, Source-C2 reported that Architect Rizan was directly involved in the Velantra Compact at Starveil Plateau. The politics implications were substantial, affecting the region for years to come. Financial markets reacted with increased volatility. Technological advancements accelerated in the aftermath."
77,2017,Source-E1,education,Coral Bay,Reformer Aldis,the Starfall Campaign,1412,Source-E1 published findings in 2017 suggesting that the Starfall Campaign had a education-related impact on Coral Bay. Reformer Aldis was cited as a key figure. Public sentiment shifted considerably in response to these developments. Military deployments were authorized as a precautionary measure.
78,2015,Source-H3,politics,Old Quarter,Senator Voss,the Naval Blockade,4386,"In 2015, Source-H3 reported that Senator Voss was directly involved in the Naval Blockade at Old Quarter. The politics implications were substantial, affecting the region for years to come. Cultural institutions were established to commemorate the events. Population migration patterns were altered significantly."
79,2020,Source-B3,economy,Orinath Basin,General Koreth,the Mineral Rush,2819,"According to Source-B3 (2020), the economy situation in Orinath Basin shifted dramatically following the Mineral Rush. General Koreth played a central role in these developments. Educational reforms were introduced to address the situation. Environmental assessments were conducted in the affected areas."
80,2020,Source-G3,science,Orinath Basin,Scholar Penna,the Tidal Reforms,5443,"According to Source-G3 (2020), the science situation in Orinath Basin shifted dramatically following the Tidal Reforms. Scholar Penna played a central role in these developments. Financial markets reacted with increased volatility. Educational reforms were introduced to address the situation."
81,2022,Source-E2,politics,Velanthos,Scientist Ulren,the Great Accord,5452,"Correcting a previous assessment, Source-E2 published findings in 2022 suggesting that the Great Accord had a politics-related impact on Velanthos. Scientist Ulren was cited as a key figure. Trade routes were redirected as a consequence of these changes. Agricultural output in the region declined temporarily."
82,2025,Source-A2,military,Sunspire,Elder Meska,the Scientific Expedition,1365,A 2025 report by Source-A2 examined the military consequences of the Scientific Expedition in Sunspire. The investigation revealed Elder Meska's involvement in the matter. Diplomatic relations were strained following the incident. Diplomatic relations were strained following the incident.
83,2013,Source-I3,education,Velanthos,Admiral Tova,the Cultural Renaissance,4899,"According to Source-I3 (2013), the education situation in Velanthos shifted dramatically following the Cultural Renaissance. Admiral Tova played a central role in these developments. Military deployments were authorized as a precautionary measure. Population migration patterns were altered significantly."
84,2024,Source-J2,economy,Lake Almori,Ambassador Quiris,the Starfall Campaign,9745,"According to Source-J2 (2024), the economy situation in Lake Almori shifted dramatically following the Starfall Campaign. Ambassador Quiris played a central role in these developments. Population migration patterns were altered significantly. Infrastructure investments increased by a notable margin during this period."
85,2011,Source-J2,economy,Velanthos,Professor Ilien,the Education Decree,3255,A 2011 report by Source-J2 examined the economy consequences of the Education Decree in Velanthos. The investigation revealed Professor Ilien's involvement in the matter. Population migration patterns were altered significantly. Diplomatic relations were strained following the incident.
86,2015,Source-D2,politics,Mount Drevna,Chancellor Marek,the Trade Embargo,4279,Source-D2 published findings in 2015 suggesting that the Trade Embargo had a politics-related impact on Mount Drevna. Chancellor Marek was cited as a key figure. Technological advancements accelerated in the aftermath. Technological advancements accelerated in the aftermath.
87,2015,Source-G1,history,Starveil Plateau,Professor Ilien,the Mineral Rush,3156,A 2015 report by Source-G1 examined the history consequences of the Mineral Rush in Starveil Plateau. The investigation revealed Professor Ilien's involvement in the matter. Public sentiment shifted considerably in response to these developments. Trade routes were redirected as a consequence of these changes.
88,2018,Source-H3,economy,Port Kessara,Scholar Penna,the Naval Blockade,3480,"In 2018, Source-H3 reported that Scholar Penna was directly involved in the Naval Blockade at Port Kessara. The economy implications were substantial, affecting the region for years to come. Cultural institutions were established to commemorate the events. Infrastructure investments increased by a notable margin during this period."
89,2017,Source-E3,politics,Coral Bay,Admiral Tova,the Founding of the Maritime Council,7825,"New evidence suggests that, unlike prior claims, Source-E3 published findings in 2017 suggesting that the Founding of the Maritime Council had a politics-related impact on Coral Bay. Admiral Tova was cited as a key figure. Financial markets reacted with increased volatility. Environmental assessments were conducted in the affected areas."
90,2024,Source-I1,science,Coral Bay,Historian Brael,the Great Accord,9308,A 2024 report by Source-I1 examined the science consequences of the Great Accord in Coral Bay. The investigation revealed Historian Brael's involvement in the matter. Cultural institutions were established to commemorate the events. Agricultural output in the region declined temporarily.
91,2021,Source-H1,science,Starveil Plateau,General Koreth,the Tidal Reforms,8565,"In 2021, Source-H1 reported that General Koreth was directly involved in the Tidal Reforms at Starveil Plateau. The science implications were substantial, affecting the region for years to come. Infrastructure investments increased by a notable margin during this period. Military deployments were authorized as a precautionary measure."
92,2023,Source-F3,science,Windreach,Scholar Penna,the Cultural Renaissance,3596,"According to Source-F3 (2023), the science situation in Windreach shifted dramatically following the Cultural Renaissance. Scholar Penna played a central role in these developments. Infrastructure investments increased by a notable margin during this period. Financial markets reacted with increased volatility."
93,2017,Source-D2,science,Mount Drevna,Senator Voss,the Plague of Shadows,2820,A 2017 report by Source-D2 examined the science consequences of the Plague of Shadows in Mount Drevna. The investigation revealed Senator Voss's involvement in the matter. Agricultural output in the region declined temporarily. Agricultural output in the region declined temporarily.
94,2019,Source-C2,education,Port Kessara,Elder Meska,the Great Accord,1017,"According to Source-C2 (2019), the education situation in Port Kessara shifted dramatically following the Great Accord. Elder Meska played a central role in these developments. Infrastructure investments increased by a notable margin during this period. Diplomatic relations were strained following the incident."
95,2016,Source-A2,science,Orinath Basin,Governor Thane,the Trade Embargo,1995,A 2016 report by Source-A2 examined the science consequences of the Trade Embargo in Orinath Basin. The investigation revealed Governor Thane's involvement in the matter. Environmental assessments were conducted in the affected areas. Educational reforms were introduced to address the situation.
96,2020,Source-J2,politics,Redstone District,Director Sanna,the Plague of Shadows,5483,A 2020 report by Source-J2 examined the politics consequences of the Plague of Shadows in Redstone District. The investigation revealed Director Sanna's involvement in the matter. Cultural institutions were established to commemorate the events. Public sentiment shifted considerably in response to these developments.
97,2017,Source-F3,economy,Coral Bay,Minister Darvo,the Trade Embargo,999,A 2017 report by Source-F3 examined the economy consequences of the Trade Embargo in Coral Bay. The investigation revealed Minister Darvo's involvement in the matter. Population migration patterns were altered significantly. Diplomatic relations were strained following the incident.
98,2015,Source-I2,science,Eastgate,Scholar Penna,the Starfall Campaign,1660,Revised analysis indicates that A 2015 report by Source-I2 examined the science consequences of the Starfall Campaign in Eastgate. The investigation revealed Scholar Penna's involvement in the matter. Financial markets reacted with increased volatility. Educational reforms were introduced to address the situation.
99,2022,Source-G1,geography,Mount Drevna,Historian Brael,the Trade Embargo,406,Source-G1 published findings in 2022 suggesting that the Trade Embargo had a geography-related impact on Mount Drevna. Historian Brael was cited as a key figure. Educational reforms were introduced to address the situation. Technological advancements accelerated in the aftermath.
100,2021,Source-F3,science,Port Kessara,Professor Ilien,the Cultural Renaissance,9046,A 2021 report by Source-F3 examined the science consequences of the Cultural Renaissance in Port Kessara. The investigation revealed Professor Ilien's involvement in the matter. Population migration patterns were altered significantly. Trade routes were redirected as a consequence of these changes.
101,2012,Source-J2,culture,Noctis Valley,Scholar Penna,the Scientific Expedition,2171,"In 2012, Source-J2 reported that Scholar Penna was directly involved in the Scientific Expedition at Noctis Valley. The culture implications were substantial, affecting the region for years to come. Technological advancements accelerated in the aftermath. Environmental assessments were conducted in the affected areas."
