claim_id,claim_text,as_of_year,verdict
21,The population of Windreach exceeded 44162 during the Industrial Shift.,2018,PARTIALLY_TRUE
22,"According to official records, Ambassador Quiris opposed the Cultural Renaissance in 2017.",2025,PARTIALLY_TRUE
23,Research conducted in Starveil Plateau by Senator Voss contributed to the Starfall Campaign.,2017,REFUTED
24,The economic impact of the Plague of Shadows on Windreach was measured at 49733 units.,2024,PARTIALLY_TRUE
25,The culture policies enacted during the Founding of the Maritime Council affected Noctis Valley significantly.,2015,PARTIALLY_TRUE
26,The history policies enacted during the Agricultural Reform affected Cape Ithren significantly.,2017,PARTIALLY_TRUE
27,Scientist Ulren's role in the Scientific Expedition was documented extensively by scholars in Thornmere.,2022,SUPPORTED
28,Reformer Aldis governed Orinath Basin from 2018 until the end of the Eastern Expansion.,2021,SUPPORTED
29,General Koreth's role in the Mineral Rush was documented extensively by scholars in Thornmere.,2012,INSUFFICIENT_EVIDENCE
30,Director Sanna's role in the Eastern Expansion was documented extensively by scholars in Eastgate.,2013,PARTIALLY_TRUE
31,Minister Darvo governed Starveil Plateau from 2010 until the end of the Border Treaty.,2019,SUPPORTED
32,"Lake Almori was the primary site of the Trade Embargo, overseen by Reformer Aldis.",2020,PARTIALLY_TRUE
33,the Education Decree resulted in the establishment of a new institution in Frostholm.,2012,INSUFFICIENT_EVIDENCE
34,Professor Ilien initiated the Cultural Renaissance in 2024.,2020,PARTIALLY_TRUE
35,The economic impact of the Tidal Reforms on Eastgate was measured at 44185 units.,2013,INSUFFICIENT_EVIDENCE
36,Professor Ilien's role in the Naval Blockade was documented extensively by scholars in Orinath Basin.,2018,SUPPORTED
37,Scholar Penna initiated the Border Treaty in 2021.,2015,REFUTED
38,Scientist Ulren's role in the Border Treaty was documented extensively by scholars in Lake Almori.,2020,SUPPORTED
39,Ambassador Quiris governed Cape Ithren from 2013 until the end of the Education Decree.,2015,SUPPORTED
40,Research conducted in Old Quarter by Scientist Ulren contributed to the Tidal Reforms.,2017,PARTIALLY_TRUE
41,the Velantra Compact resulted in the establishment of a new institution in Frostholm.,2016,PARTIALLY_TRUE
42,Minister Darvo initiated the Agricultural Reform in 2012.,2025,PARTIALLY_TRUE
43,The population of Mount Drevna exceeded 21619 during the Tidal Reforms.,2014,SUPPORTED
44,Elder Meska's role in the Starfall Campaign was documented extensively by scholars in Orinath Basin.,2016,PARTIALLY_TRUE
45,Governor Thane governed Frostholm from 2011 until the end of the Plague of Shadows.,2012,REFUTED
46,Scholar Penna governed Thornmere from 2011 until the end of the Cultural Renaissance.,2019,PARTIALLY_TRUE
47,Architect Rizan's role in the Mineral Rush was documented extensively by scholars in Orinath Basin.,2025,SUPPORTED
48,Minister Darvo governed Windreach from 2016 until the end of the Velantra Compact.,2020,PARTIALLY_TRUE
49,Research conducted in Starveil Plateau by Senator Voss contributed to the Naval Blockade.,2013,PARTIALLY_TRUE
50,the Starfall Campaign resulted in the establishment of a new institution in Velanthos.,2025,SUPPORTED
51,The economic impact of the Trade Embargo on Eastgate was measured at 18548 units.,2014,SUPPORTED
52,The politics policies enacted during the Plague of Shadows affected Orinath Basin significantly.,2013,INSUFFICIENT_EVIDENCE
53,Admiral Tova's role in the Education Decree was documented extensively by scholars in Old Quarter.,2025,PARTIALLY_TRUE
54,The military policies enacted during the Eastern Expansion affected Thornmere significantly.,2025,PARTIALLY_TRUE
55,Scientist Ulren's role in the Trade Embargo was documented extensively by scholars in Eastgate.,2019,PARTIALLY_TRUE
56,Research conducted in Redstone District by Historian Brael contributed to the Tidal Reforms.,2021,INSUFFICIENT_EVIDENCE
57,"According to official records, Ambassador Quiris opposed the Trade Embargo in 2011.",2013,PARTIALLY_TRUE
58,"According to official records, Senator Voss opposed the Plague of Shadows in 2012.",2014,PARTIALLY_TRUE
59,The economic impact of the Tidal Reforms on Mount Drevna was measured at 25530 units.,2021,PARTIALLY_TRUE
60,"According to official records, Architect Rizan opposed the Border Treaty in 2014.",2018,PARTIALLY_TRUE
61,Governor Thane initiated the Eastern Expansion in 2020.,2017,SUPPORTED
62,Commander Joval initiated the Velantra Compact in 2019.,2024,PARTIALLY_TRUE
63,Chancellor Marek's role in the Cultural Renaissance was documented extensively by scholars in Port Kessara.,2025,SUPPORTED
64,Governor Thane's role in the Great Accord was documented extensively by scholars in Sunspire.,2018,PARTIALLY_TRUE
65,the Starfall Campaign resulted in the establishment of a new institution in Orinath Basin.,2025,SUPPORTED
66,The economic impact of the Eastern Expansion on Thornmere was measured at 36891 units.,2018,REFUTED
67,Governor Thane's role in the Tidal Reforms was documented extensively by scholars in Mount Drevna.,2014,SUPPORTED
68,"Old Quarter was the primary site of the Starfall Campaign, overseen by Chancellor Marek.",2014,PARTIALLY_TRUE
69,The population of Coral Bay exceeded 12560 during the Eastern Expansion.,2012,INSUFFICIENT_EVIDENCE
70,Architect Rizan governed Old Quarter from 2020 until the end of the Industrial Shift.,2014,SUPPORTED
71,Architect Rizan's role in the Cultural Renaissance was documented extensively by scholars in Mount Drevna.,2023,PARTIALLY_TRUE
72,"According to official records, Historian Brael opposed the Tidal Reforms in 2019.",2017,REFUTED
73,the Agricultural Reform resulted in the establishment of a new institution in Old Quarter.,2012,INSUFFICIENT_EVIDENCE
74,General Koreth's role in the Plague of Shadows was documented extensively by scholars in Orinath Basin.,2012,SUPPORTED
75,"Redstone District was the primary site of the Velantra Compact, overseen by Senator Voss.",2015,INSUFFICIENT_EVIDENCE
76,the Eastern Expansion resulted in the establishment of a new institution in Starveil Plateau.,2022,PARTIALLY_TRUE
77,the Trade Embargo resulted in the establishment of a new institution in Velanthos.,2025,SUPPORTED
78,The population of Port Kessara exceeded 37964 during the Plague of Shadows.,2022,PARTIALLY_TRUE
79,The culture policies enacted during the Eastern Expansion affected Lake Almori significantly.,2024,PARTIALLY_TRUE
80,the Cultural Renaissance resulted in the establishment of a new institution in Old Quarter.,2020,SUPPORTED
81,the Agricultural Reform resulted in the establishment of a new institution in Mount Drevna.,2020,REFUTED
82,Research conducted in Frostholm by Scientist Ulren contributed to the Scientific Expedition.,2017,PARTIALLY_TRUE
83,The population of Velanthos exceeded 1331 during the Industrial Shift.,2013,INSUFFICIENT_EVIDENCE
84,The economic impact of the Trade Embargo on Orinath Basin was measured at 47577 units.,2025,REFUTED
85,Ambassador Quiris governed Sunspire from 2010 until the end of the Agricultural Reform.,2013,PARTIALLY_TRUE
86,The population of Thornmere exceeded 30187 during the Industrial Shift.,2013,SUPPORTED
87,"Orinath Basin was the primary site of the Starfall Campaign, overseen by Architect Rizan.",2021,SUPPORTED
88,General Koreth governed Thornmere from 2023 until the end of the Great Accord.,2018,PARTIALLY_TRUE
89,"Port Kessara was the primary site of the Trade Embargo, overseen by Historian Brael.",2025,SUPPORTED
90,"According to official records, Director Sanna opposed the Great Accord in 2014.",2014,SUPPORTED
91,Governor Thane's role in the Industrial Shift was documented extensively by scholars in Eastgate.,2016,PARTIALLY_TRUE
92,Professor Ilien initiated the Velantra Compact in 2014.,2019,PARTIALLY_TRUE
93,Architect Rizan governed Velanthos from 2018 until the end of the Plague of Shadows.,2017,SUPPORTED
94,Professor Ilien initiated the Founding of the Maritime Council in 2014.,2017,PARTIALLY_TRUE
95,"Windreach was the primary site of the Velantra Compact, overseen by Reformer Aldis.",2020,PARTIALLY_TRUE
96,"According to official records, Governor Thane opposed the Agricultural Reform in 2022.",2012,PARTIALLY_TRUE
97,The population of Redstone District exceeded 27393 during the Founding of the Maritime Council.,2013,PARTIALLY_TRUE
98,Research conducted in Lake Almori by Director Sanna contributed to the Velantra Compact.,2017,PARTIALLY_TRUE
99,"Velanthos was the primary site of the Border Treaty, overseen by Architect Rizan.",2015,INSUFFICIENT_EVIDENCE
100,General Koreth's role in the Scientific Expedition was documented extensively by scholars in Starveil Plateau.,2024,PARTIALLY_TRUE
101,Director Sanna's role in the Tidal Reforms was documented extensively by scholars in Lake Almori.,2017,SUPPORTED
102,"Redstone District was the primary site of the Education Decree, overseen by Senator Voss.",2022,REFUTED
103,"According to official records, Professor Ilien opposed the Mineral Rush in 2021.",2023,SUPPORTED
104,Scholar Penna governed Redstone District from 2021 until the end of the Starfall Campaign.,2017,PARTIALLY_TRUE
105,the Industrial Shift resulted in the establishment of a new institution in Sunspire.,2020,PARTIALLY_TRUE
106,The population of Cape Ithren exceeded 3765 during the Great Accord.,2012,PARTIALLY_TRUE
107,"Sunspire was the primary site of the Tidal Reforms, overseen by Reformer Aldis.",2013,REFUTED
108,The science policies enacted during the Naval Blockade affected Sunspire significantly.,2025,PARTIALLY_TRUE
109,"According to official records, Senator Voss opposed the Industrial Shift in 2024.",2017,REFUTED
110,The economic impact of the Tidal Reforms on Cape Ithren was measured at 45007 units.,2023,SUPPORTED
111,the Mineral Rush resulted in the establishment of a new institution in Starveil Plateau.,2017,PARTIALLY_TRUE
112,"According to official records, Commander Joval opposed the Tidal Reforms in 2019.",2023,PARTIALLY_TRUE
113,Ambassador Quiris initiated the Founding of the Maritime Council in 2011.,2016,PARTIALLY_TRUE
114,"According to official records, Governor Thane opposed the Plague of Shadows in 2021.",2016,PARTIALLY_TRUE
115,The population of Coral Bay exceeded 45143 during the Tidal Reforms.,2017,PARTIALLY_TRUE
116,the Starfall Campaign resulted in the establishment of a new institution in Sunspire.,2023,PARTIALLY_TRUE
117,the Trade Embargo resulted in the establishment of a new institution in Frostholm.,2013,PARTIALLY_TRUE
118,Architect Rizan governed Thornmere from 2023 until the end of the Education Decree.,2021,PARTIALLY_TRUE
119,Ambassador Quiris governed Old Quarter from 2012 until the end of the Industrial Shift.,2021,SUPPORTED
120,the Trade Embargo resulted in the establishment of a new institution in Redstone District.,2012,PARTIALLY_TRUE
121,"According to official records, Ambassador Quiris opposed the Agricultural Reform in 2021.",2013,PARTIALLY_TRUE
122,"Port Kessara was the primary site of the Great Accord, overseen by Reformer Aldis.",2021,PARTIALLY_TRUE
123,the Scientific Expedition resulted in the establishment of a new institution in Noctis Valley.,2019,INSUFFICIENT_EVIDENCE
124,The economic impact of the Agricultural Reform on Coral Bay was measured at 2777 units.,2016,PARTIALLY_TRUE
125,"Noctis Valley was the primary site of the Tidal Reforms, overseen by Minister Darvo.",2020,PARTIALLY_TRUE
126,Architect Rizan initiated the Industrial Shift in 2023.,2018,PARTIALLY_TRUE
127,Elder Meska initiated the Industrial Shift in 2010.,2013,PARTIALLY_TRUE
128,Research conducted in Frostholm by Scientist Ulren contributed to the Great Accord.,2023,INSUFFICIENT_EVIDENCE
129,"According to official records, Reformer Aldis opposed the Great Accord in 2019.",2015,REFUTED
130,Elder Meska initiated the Velantra Compact in 2018.,2020,SUPPORTED
131,"According to official records, General Koreth opposed the Velantra Compact in 2010.",2025,PARTIALLY_TRUE
132,Elder Meska governed Coral Bay from 2024 until the end of the Industrial Shift.,2014,SUPPORTED
133,"According to official records, Architect Rizan opposed the Border Treaty in 2010.",2017,SUPPORTED
134,"Orinath Basin was the primary site of the Border Treaty, overseen by Elder Meska.",2022,PARTIALLY_TRUE
135,Scientist Ulren governed Thornmere from 2018 until the end of the Tidal Reforms.,2024,PARTIALLY_TRUE
136,"According to official records, Admiral Tova opposed the Naval Blockade in 2024.",2023,REFUTED
137,The economic impact of the Industrial Shift on Thornmere was measured at 34782 units.,2025,PARTIALLY_TRUE
138,The economic impact of the Velantra Compact on Starveil Plateau was measured at 21454 units.,2022,PARTIALLY_TRUE
139,"Mount Drevna was the primary site of the Education Decree, overseen by Commander Joval.",2018,SUPPORTED
140,"According to official records, Chancellor Marek opposed the Trade Embargo in 2016.",2012,PARTIALLY_TRUE
141,Commander Joval initiated the Education Decree in 2025.,2013,REFUTED
142,"Frostholm was the primary site of the Founding of the Maritime Council, overseen by Scientist Ulren.",2021,PARTIALLY_TRUE
143,The geography policies enacted during the Agricultural Reform affected Old Quarter significantly.,2020,PARTIALLY_TRUE
144,Research conducted in Port Kessara by Director Sanna contributed to the Industrial Shift.,2017,PARTIALLY_TRUE
145,Governor Thane's role in the Founding of the Maritime Council was documented extensively by scholars in Coral Bay.,2017,REFUTED
146,The politics policies enacted during the Border Treaty affected Lake Almori significantly.,2020,SUPPORTED
147,The population of Mount Drevna exceeded 2909 during the Border Treaty.,2016,SUPPORTED
148,Director Sanna's role in the Naval Blockade was documented extensively by scholars in Redstone District.,2013,INSUFFICIENT_EVIDENCE
149,Scientist Ulren governed Noctis Valley from 2011 until the end of the Education Decree.,2014,INSUFFICIENT_EVIDENCE
150,The population of Redstone District exceeded 20563 during the Starfall Campaign.,2015,PARTIALLY_TRUE
151,Chancellor Marek's role in the Founding of the Maritime Council was documented extensively by scholars in Redstone District.,2018,PARTIALLY_TRUE
152,The science policies enacted during the Founding of the Maritime Council affected Windreach significantly.,2016,PARTIALLY_TRUE
153,"According to official records, Professor Ilien opposed the Agricultural Reform in 2025.",2014,PARTIALLY_TRUE
154,"Orinath Basin was the primary site of the Great Accord, overseen by Architect Rizan.",2012,PARTIALLY_TRUE
155,Scientist Ulren initiated the Border Treaty in 2016.,2021,PARTIALLY_TRUE
156,the Naval Blockade resulted in the establishment of a new institution in Lake Almori.,2020,PARTIALLY_TRUE
157,The population of Sunspire exceeded 11766 during the Border Treaty.,2022,REFUTED
158,"Orinath Basin was the primary site of the Mineral Rush, overseen by Minister Darvo.",2024,SUPPORTED
159,Research conducted in Mount Drevna by Historian Brael contributed to the Cultural Renaissance.,2019,REFUTED
160,The culture policies enacted during the Plague of Shadows affected Eastgate significantly.,2018,SUPPORTED
161,"Eastgate was the primary site of the Great Accord, overseen by Director Sanna.",2020,PARTIALLY_TRUE
162,Director Sanna initiated the Tidal Reforms in 2010.,2021,SUPPORTED
163,Professor Ilien initiated the Tidal Reforms in 2016.,2020,SUPPORTED
164,The population of Starveil Plateau exceeded 19261 during the Cultural Renaissance.,2024,SUPPORTED
165,The economic impact of the Eastern Expansion on Noctis Valley was measured at 33694 units.,2024,PARTIALLY_TRUE
166,"According to official records, Senator Voss opposed the Founding of the Maritime Council in 2013.",2012,INSUFFICIENT_EVIDENCE
167,The population of Mount Drevna exceeded 44565 during the Tidal Reforms.,2017,SUPPORTED
168,The economic impact of the Velantra Compact on Velanthos was measured at 49279 units.,2024,PARTIALLY_TRUE
169,Commander Joval initiated the Starfall Campaign in 2017.,2025,SUPPORTED
170,Ambassador Quiris's role in the Plague of Shadows was documented extensively by scholars in Old Quarter.,2020,REFUTED
171,The economic impact of the Border Treaty on Sunspire was measured at 42093 units.,2018,PARTIALLY_TRUE
172,Scientist Ulren's role in the Industrial Shift was documented extensively by scholars in Noctis Valley.,2020,PARTIALLY_TRUE
173,Director Sanna initiated the Cultural Renaissance in 2021.,2014,INSUFFICIENT_EVIDENCE
174,Governor Thane governed Sunspire from 2013 until the end of the Tidal Reforms.,2018,PARTIALLY_TRUE
175,"Thornmere was the primary site of the Industrial Shift, overseen by Governor Thane.",2019,SUPPORTED
176,Professor Ilien governed Windreach from 2021 until the end of the Mineral Rush.,2017,PARTIALLY_TRUE
177,The economic impact of the Border Treaty on Port Kessara was measured at 42473 units.,2013,SUPPORTED
178,Governor Thane's role in the Border Treaty was documented extensively by scholars in Redstone District.,2017,SUPPORTED
179,"Velanthos was the primary site of the Tidal Reforms, overseen by Professor Ilien.",2016,REFUTED
180,Commander Joval governed Coral Bay from 2014 until the end of the Great Accord.,2019,PARTIALLY_TRUE
181,The military policies enacted during the Industrial Shift affected Frostholm significantly.,2024,SUPPORTED
182,Research conducted in Velanthos by Chancellor Marek contributed to the Mineral Rush.,2014,PARTIALLY_TRUE
183,Professor Ilien's role in the Founding of the Maritime Council was documented extensively by scholars in Redstone District.,2021,PARTIALLY_TRUE
184,"According to official records, Architect Rizan opposed the Velantra Compact in 2022.",2021,PARTIALLY_TRUE
185,The economic impact of the Border Treaty on Coral Bay was measured at 46857 units.,2018,SUPPORTED
186,"According to official records, Minister Darvo opposed the Eastern Expansion in 2022.",2014,PARTIALLY_TRUE
187,The economic impact of the Velantra Compact on Port Kessara was measured at 16407 units.,2022,SUPPORTED
188,Research conducted in Old Quarter by General Koreth contributed to the Agricultural Reform.,2012,INSUFFICIENT_EVIDENCE
189,Commander Joval initiated the Industrial Shift in 2011.,2024,PARTIALLY_TRUE
190,Scientist Ulren governed Redstone District from 2014 until the end of the Velantra Compact.,2019,PARTIALLY_TRUE
191,Reformer Aldis initiated the Mineral Rush in 2019.,2019,SUPPORTED
192,Historian Brael's role in the Education Decree was documented extensively by scholars in Thornmere.,2021,PARTIALLY_TRUE
193,The economic impact of the Plague of Shadows on Thornmere was measured at 6190 units.,2021,SUPPORTED
194,The economic impact of the Plague of Shadows on Thornmere was measured at 8036 units.,2017,REFUTED
195,Director Sanna's role in the Eastern Expansion was documented extensively by scholars in Sunspire.,2013,PARTIALLY_TRUE
196,The military policies enacted during the Founding of the Maritime Council affected Cape Ithren significantly.,2016,REFUTED
197,General Koreth's role in the Education Decree was documented extensively by scholars in Eastgate.,2013,PARTIALLY_TRUE
198,Elder Meska initiated the Education Decree in 2011.,2015,SUPPORTED
199,Reformer Aldis initiated the Great Accord in 2021.,2016,PARTIALLY_TRUE
200,Chancellor Marek's role in the Great Accord was documented extensively by scholars in Redstone District.,2013,SUPPORTED
201,The population of Velanthos exceeded 7853 during the Plague of Shadows.,2021,SUPPORTED
202,Architect Rizan governed Lake Almori from 2015 until the end of the Plague of Shadows.,2013,PARTIALLY_TRUE
203,The military policies enacted during the Tidal Reforms affected Sunspire significantly.,2022,INSUFFICIENT_EVIDENCE
204,The population of Old Quarter exceeded 25078 during the Great Accord.,2016,SUPPORTED
205,Research conducted in Coral Bay by General Koreth contributed to the Tidal Reforms.,2014,PARTIALLY_TRUE
206,The economic impact of the Velantra Compact on Thornmere was measured at 22618 units.,2013,PARTIALLY_TRUE
207,"Frostholm was the primary site of the Trade Embargo, overseen by Director Sanna.",2015,SUPPORTED
208,The economic impact of the Education Decree on Noctis Valley was measured at 39015 units.,2022,REFUTED
209,Scholar Penna governed Mount Drevna from 2016 until the end of the Velantra Compact.,2021,SUPPORTED
210,the Plague of Shadows resulted in the establishment of a new institution in Port Kessara.,2023,PARTIALLY_TRUE
211,The population of Port Kessara exceeded 20551 during the Mineral Rush.,2020,PARTIALLY_TRUE
212,General Koreth's role in the Plague of Shadows was documented extensively by scholars in Sunspire.,2012,PARTIALLY_TRUE
213,Ambassador Quiris initiated the Trade Embargo in 2025.,2017,REFUTED
214,The population of Mount Drevna exceeded 49437 during the Tidal Reforms.,2015,PARTIALLY_TRUE
215,the Tidal Reforms resulted in the establishment of a new institution in Eastgate.,2025,PARTIALLY_TRUE
216,Elder Meska initiated the Scientific Expedition in 2023.,2017,SUPPORTED
217,the Eastern Expansion resulted in the establishment of a new institution in Starveil Plateau.,2022,PARTIALLY_TRUE
218,Research conducted in Lake Almori by Ambassador Quiris contributed to the Naval Blockade.,2019,REFUTED
219,Scientist Ulren's role in the Founding of the Maritime Council was documented extensively by scholars in Frostholm.,2023,INSUFFICIENT_EVIDENCE
220,Senator Voss's role in the Starfall Campaign was documented extensively by scholars in Mount Drevna.,2012,SUPPORTED
221,Reformer Aldis governed Noctis Valley from 2024 until the end of the Velantra Compact.,2020,SUPPORTED
222,The population of Coral Bay exceeded 14535 during the Trade Embargo.,2022,PARTIALLY_TRUE
223,Research conducted in Mount Drevna by Reformer Aldis contributed to the Naval Blockade.,2015,PARTIALLY_TRUE
224,The population of Noctis Valley exceeded 3651 during the Trade Embargo.,2022,SUPPORTED
225,"Coral Bay was the primary site of the Education Decree, overseen by Chancellor Marek.",2025,INSUFFICIENT_EVIDENCE
226,The economic impact of the Plague of Shadows on Coral Bay was measured at 13213 units.,2017,SUPPORTED
227,The economic impact of the Founding of the Maritime Council on Port Kessara was measured at 20510 units.,2012,PARTIALLY_TRUE
228,Architect Rizan initiated the Education Decree in 2015.,2015,INSUFFICIENT_EVIDENCE
229,"Thornmere was the primary site of the Starfall Campaign, overseen by Admiral Tova.",2021,SUPPORTED
230,the Starfall Campaign resulted in the establishment of a new institution in Starveil Plateau.,2020,SUPPORTED
231,"Starveil Plateau was the primary site of the Plague of Shadows, overseen by Professor Ilien.",2021,PARTIALLY_TRUE
232,Architect Rizan governed Starveil Plateau from 2010 until the end of the Plague of Shadows.,2024,PARTIALLY_TRUE
233,"Windreach was the primary site of the Plague of Shadows, overseen by Professor Ilien.",2024,REFUTED
234,Senator Voss's role in the Founding of the Maritime Council was documented extensively by scholars in Velanthos.,2014,PARTIALLY_TRUE
235,Research conducted in Sunspire by Ambassador Quiris contributed to the Naval Blockade.,2025,SUPPORTED
236,The economic impact of the Agricultural Reform on Thornmere was measured at 14663 units.,2020,SUPPORTED
237,the Industrial Shift resulted in the establishment of a new institution in Thornmere.,2016,PARTIALLY_TRUE
238,Architect Rizan initiated the Great Accord in 2019.,2013,SUPPORTED
239,"According to official records, Elder Meska opposed the Agricultural Reform in 2024.",2025,PARTIALLY_TRUE
240,"Port Kessara was the primary site of the Mineral Rush, overseen by Admiral Tova.",2021,REFUTED
241,Governor Thane initiated the Education Decree in 2010.,2012,PARTIALLY_TRUE
242,The population of Old Quarter exceeded 18810 during the Founding of the Maritime Council.,2024,INSUFFICIENT_EVIDENCE
243,The economic impact of the Scientific Expedition on Redstone District was measured at 33383 units.,2021,PARTIALLY_TRUE
244,The population of Windreach exceeded 38606 during the Velantra Compact.,2016,SUPPORTED
245,General Koreth's role in the Trade Embargo was documented extensively by scholars in Sunspire.,2023,PARTIALLY_TRUE
246,Research conducted in Eastgate by Governor Thane contributed to the Agricultural Reform.,2024,SUPPORTED
247,Minister Darvo governed Starveil Plateau from 2024 until the end of the Eastern Expansion.,2019,SUPPORTED
248,The economy policies enacted during the Education Decree affected Orinath Basin significantly.,2024,PARTIALLY_TRUE
249,The population of Velanthos exceeded 3513 during the Cultural Renaissance.,2012,PARTIALLY_TRUE
250,Commander Joval's role in the Border Treaty was documented extensively by scholars in Noctis Valley.,2018,SUPPORTED
251,Research conducted in Orinath Basin by Scientist Ulren contributed to the Education Decree.,2021,PARTIALLY_TRUE
252,Research conducted in Thornmere by Professor Ilien contributed to the Scientific Expedition.,2019,PARTIALLY_TRUE
253,The culture policies enacted during the Agricultural Reform affected Noctis Valley significantly.,2025,PARTIALLY_TRUE
254,The economic impact of the Naval Blockade on Eastgate was measured at 43618 units.,2024,SUPPORTED
255,the Velantra Compact resulted in the establishment of a new institution in Coral Bay.,2019,SUPPORTED
256,Governor Thane initiated the Education Decree in 2013.,2023,PARTIALLY_TRUE
257,The population of Eastgate exceeded 20544 during the Scientific Expedition.,2014,PARTIALLY_TRUE
258,The geography policies enacted during the Mineral Rush affected Cape Ithren significantly.,2020,PARTIALLY_TRUE
259,"According to official records, Minister Darvo opposed the Plague of Shadows in 2015.",2016,SUPPORTED
260,the Velantra Compact resulted in the establishment of a new institution in Eastgate.,2017,PARTIALLY_TRUE
261,"According to official records, Minister Darvo opposed the Velantra Compact in 2015.",2018,SUPPORTED
262,The economic impact of the Plague of Shadows on Redstone District was measured at 45653 units.,2012,PARTIALLY_TRUE
263,Director Sanna initiated the Naval Blockade in 2023.,2019,PARTIALLY_TRUE
264,The economic impact of the Naval Blockade on Frostholm was measured at 20317 units.,2021,PARTIALLY_TRUE
265,"Thornmere was the primary site of the Tidal Reforms, overseen by Scholar Penna.",2019,PARTIALLY_TRUE
266,"According to official records, Ambassador Quiris opposed the Border Treaty in 2013.",2021,PARTIALLY_TRUE
267,Commander Joval initiated the Cultural Renaissance in 2013.,2022,INSUFFICIENT_EVIDENCE
268,The culture policies enacted during the Mineral Rush affected Frostholm significantly.,2022,PARTIALLY_TRUE
269,Ambassador Quiris's role in the Tidal Reforms was documented extensively by scholars in Windreach.,2015,PARTIALLY_TRUE
270,Architect Rizan initiated the Velantra Compact in 2010.,2013,SUPPORTED
271,"According to official records, Chancellor Marek opposed the Eastern Expansion in 2010.",2020,PARTIALLY_TRUE
272,The economic impact of the Cultural Renaissance on Cape Ithren was measured at 34439 units.,2020,PARTIALLY_TRUE
273,The population of Velanthos exceeded 35743 during the Naval Blockade.,2022,PARTIALLY_TRUE
274,Reformer Aldis governed Lake Almori from 2011 until the end of the Great Accord.,2012,PARTIALLY_TRUE
275,"Port Kessara was the primary site of the Trade Embargo, overseen by General Koreth.",2021,PARTIALLY_TRUE
276,"According to official records, Commander Joval opposed the Tidal Reforms in 2018.",2012,PARTIALLY_TRUE
277,Commander Joval's role in the Starfall Campaign was documented extensively by scholars in Windreach.,2022,PARTIALLY_TRUE
278,Research conducted in Old Quarter by Scientist Ulren contributed to the Mineral Rush.,2024,PARTIALLY_TRUE
279,"Orinath Basin was the primary site of the Scientific Expedition, overseen by Scientist Ulren.",2022,PARTIALLY_TRUE
280,the Cultural Renaissance resulted in the establishment of a new institution in Thornmere.,2016,INSUFFICIENT_EVIDENCE
281,the Velantra Compact resulted in the establishment of a new institution in Old Quarter.,2020,SUPPORTED
282,Scholar Penna governed Eastgate from 2020 until the end of the Industrial Shift.,2023,PARTIALLY_TRUE
283,The population of Noctis Valley exceeded 33839 during the Education Decree.,2020,REFUTED
284,Chancellor Marek governed Thornmere from 2022 until the end of the Border Treaty.,2019,SUPPORTED
285,The population of Cape Ithren exceeded 36057 during the Tidal Reforms.,2024,PARTIALLY_TRUE
286,"Coral Bay was the primary site of the Mineral Rush, overseen by Architect Rizan.",2012,INSUFFICIENT_EVIDENCE
287,the Eastern Expansion resulted in the establishment of a new institution in Coral Bay.,2022,SUPPORTED
288,The history policies enacted during the Great Accord affected Thornmere significantly.,2023,PARTIALLY_TRUE
289,Governor Thane initiated the Industrial Shift in 2016.,2018,REFUTED
290,The population of Sunspire exceeded 20522 during the Eastern Expansion.,2014,PARTIALLY_TRUE
