question_id,situation,question,output
589,"The Healer is level 8, positioned on Plains with 70 HP and 35 mana remaining (4 strength, 17 defense). The target is a level 3 Healer with Shielded status on Forest (53 HP, 11 strength, 17 defense), distant from the attacker. The unit tries to attack the Healer.",Can the Healer attack the Healer?,"<analysis>Insufficient strength against the target's defenses means the attack deals partial damage. On top of that, without adjacency, a melee attack has no chance of connecting. Additionally, the target's Shield absorbs a portion of the incoming damage, reducing it by half. Beyond that, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
3307,"Ranger (level 7) occupies Desert terrain. Current stats: 46 mana, 5 HP, 19 strength, 17 defense. The target is a level 3 Summoner on Mountain (69 HP, 10 strength, 15 defense), adjacent to the attacker. The Ranger wants to attack the Summoner. The Ranger has Burning and Poisoned status.",Can the Ranger attack the Summoner?,"<analysis>Units below 15 HP suffer penalties when attempting to attack — injuries impair performance. Meanwhile, combat effectiveness drops when fighting on Desert terrain. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
577,"On Ruins terrain, a Paladin at level 4 (22 mana, 69 HP, 14 strength, 11 defense) cast Fireball on the Healer. The target is a level 2 Healer on Swamp (85 HP, 18 defense), distant from the caster. ",Can the Paladin cast Fireball on the Healer?,"<analysis>Casting Fireball requires at least 28 mana. Insufficient mana blocks the spell (current mana: 22). Compounding this, only units of level 6 or higher can cast Fireball (unit is level 4). The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
5289,"On Mountain terrain, a Ranger at level 1 (10 mana, 77 HP, 17 strength, 16 defense) attack the Guardian. The target is a level 1 Guardian with Frozen status on Ruins (94 HP, 19 strength, 19 defense), distant from the attacker. ",Can the Ranger attack the Guardian?,"<analysis>Rangers can attack at range with their bows, bypassing the adjacency requirement. Furthermore, the Mountain's elevation grants ranged attack capability to all units. Beyond that, low-level Rangers (below 4) suffer a damage penalty on attacks (unit is level 1). At the same time, insufficient strength against the target's defenses means the attack deals partial damage. Compounding this, melee attacks require the attacker to be adjacent to the target. Meanwhile, against a target with 15+ defense, even powerful attacks are partially deflected. The action proceeds without restriction.</analysis>
<outcome>ALLOWED</outcome>"
4686,"A Rogue of level 6 is on Ruins, carrying 29 mana with 13 HP left and combat stats of 11 strength and 10 defense. The attempt: move to Mountain. The Rogue has Burning and Invisible status.",Can the Rogue move to Mountain?,"<analysis>The Invisible status allows the unit to bypass terrain restrictions — stealth finds hidden paths. Compounding this, the Mountain environment is impassable for Rogue units. The attempt goes through as intended.</analysis>
<outcome>MODIFIED</outcome>"
848,"Healer (level 5) occupies Ruins terrain. Current stats: 32 mana, 85 HP, 20 strength, 13 defense. The target is a level 6 Guardian on Desert (50 HP, 14 defense), adjacent to the caster. The Healer wants to cast Rally on the Guardian. The Healer has Invisible and Shielded status.",Can the Healer cast Rally on the Guardian?,"<analysis>The close proximity of the target enhances Rally's effect, providing a stronger buff. However, the Rally spell demands 35 mana — anything less and the cast fails (current mana: 32). The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
4692,"Ranger (level 5) occupies Ruins terrain. Current stats: 45 mana, 75 HP, 9 strength, 11 defense. The target is a level 7 Summoner on Plains (20 HP, 20 strength, 10 defense), distant from the attacker. The Ranger wants to attack the Summoner. The Ranger has Shielded status.",Can the Ranger attack the Summoner?,"<analysis>The Ranger's ranged weapons reach non-adjacent targets without penalty. Additionally, the attacker's strength is lower than the target's defense, resulting in reduced damage. However, melee attacks require the attacker to be adjacent to the target. The attempt goes through as intended.</analysis>
<outcome>BLOCKED</outcome>"
2118,"A Guardian of level 7 is on Plains, carrying 18 mana with 98 HP left and combat stats of 4 strength and 10 defense. The attempt: move to Forest. The Guardian has Stunned status.",Can the Guardian move to Forest?,"<analysis>While Stunned, performing any move action is impossible. Compounding this, a Guardian finds Forest terrain incompatible with their movement capabilities. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
4058,"The Paladin is level 8, positioned on Desert with 26 HP and 39 mana remaining (15 strength, 16 defense). The unit tries to move to Plains. The Paladin has Stunned status.",Can the Paladin move to Plains?,"<analysis>Stunned units cannot move. The condition prevents all voluntary actions. Additionally, paladins cannot traverse Plains terrain due to their physical limitations. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
2552,"A level 9 Paladin stands on Forest terrain with 7 mana and 100 HP (strength 4, defense 6). The target is a level 1 Paladin on Forest (14 HP, 13 defense), adjacent to the caster. Paladin attempts to cast Drain on the Paladin. The Paladin has Stunned status.",Can the Paladin cast Drain on the Paladin?,"<analysis>A caster of level 8 or higher has mastered their craft — terrain penalties on spellcasting are reduced (unit is level 9). Meanwhile, while Stunned, performing any cast action is impossible. Additionally, the Drain spell demands 20 mana — anything less and the cast fails (current mana: 7). At the same time, high-defense targets (12+) resist Drain's life-stealing effect, reducing the amount siphoned. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
544,"A Mage of level 6 is on Forest, carrying 37 mana with 71 HP left and combat stats of 6 strength and 15 defense. The target is a level 6 Paladin on Desert (72 HP, 19 strength, 7 defense), distant from the attacker. The attempt: attack the Paladin.",Can the Mage attack the Paladin?,"<analysis>When the target's defense exceeds the attacker's strength, damage output drops significantly. Compounding this, the target is out of melee range — physical attacks cannot reach. On top of that, attacking from Forest terrain imposes an accuracy penalty due to unstable footing. The action is prevented from going through.</analysis>
<outcome>MODIFIED</outcome>"
1964,"Guardian (level 1) occupies Forest terrain. Current stats: 11 mana, 25 HP, 19 strength, 3 defense. The target is a level 5 Summoner with Shielded and Stunned status on Desert (54 HP, 11 strength, 5 defense), adjacent to the attacker. The Guardian wants to attack the Summoner. The Guardian has Shielded status.",Can the Guardian attack the Summoner?,"<analysis>A strength advantage of 10 or more over the target's defense results in a crushing blow. Compounding this, shielded targets take only 50% damage from physical attacks. Beyond that, combat effectiveness drops when fighting on Forest terrain. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
1002,"On Forest terrain, a Mage at level 10 (10 mana, 75 HP, 18 strength, 8 defense) attack the Summoner. The target is a level 6 Summoner on Swamp (83 HP, 5 strength, 18 defense), adjacent to the attacker. ",Can the Mage attack the Summoner?,"<analysis>Attacking from Forest terrain imposes an accuracy penalty due to unstable footing. Meanwhile, against a target with 15+ defense, even powerful attacks are partially deflected. While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>ALLOWED</outcome>"
447,"Striker (level 9) occupies Desert terrain. Current stats: 6 mana, 61 HP, 9 strength, 9 defense. The Striker wants to move to Plains. The Striker has Frozen and Shielded status.",Can the Striker move to Plains?,"<analysis>While Frozen, performing any move action is impossible. On top of that, a Striker finds Plains terrain incompatible with their movement capabilities. The attempt fails completely under these conditions.</analysis>
<outcome>BLOCKED</outcome>"
2420,"The Paladin is level 4, positioned on Desert with 9 HP and 45 mana remaining (13 strength, 18 defense). The target is a level 8 Paladin on Desert (7 HP, 13 strength, 7 defense), adjacent to the attacker. The unit tries to attack the Paladin. The Paladin has Burning status.",Can the Paladin attack the Paladin?,"<analysis>Units below 15 HP suffer penalties when attempting to attack — injuries impair performance. At the same time, the Desert environment makes it harder to land attacks — accuracy suffers. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
4181,"The Guardian is level 1, positioned on Plains with 82 HP and 46 mana remaining (16 strength, 3 defense). The target is a level 7 Healer with Poisoned status on Mountain (27 HP, 3 defense), adjacent to the caster. The unit tries to cast Barrier on the Healer. The Guardian has Poisoned status.",Can the Guardian cast Barrier on the Healer?,"<analysis>When the caster has 45 or more mana, Barrier activates at heightened power (current mana: 46). Furthermore, a Guardian has no capacity for magic and cannot cast any spell. Compounding this, barrier is locked until level 3 — lower-level casters cannot use it (unit is level 1). While not outright blocked, the outcome is modified from the standard result.</analysis>
<outcome>MODIFIED</outcome>"
4524,"On Mountain terrain, a Guardian at level 9 (15 mana, 81 HP, 12 strength, 13 defense) attack the Rogue. The target is a level 1 Rogue with Burning and Poisoned status on Forest (63 HP, 7 strength, 19 defense), adjacent to the attacker.  The Guardian has Burning and Invisible status.",Can the Guardian attack the Rogue?,"<analysis>A sneak attack from Invisible status doubles the damage output, but reveals the attacker. Beyond that, insufficient strength against the target's defenses means the attack deals partial damage. Compounding this, targets with defense above 15 are heavily armored — attacks deal substantially reduced damage. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
3240,"The Mage is level 4, positioned on Ruins with 100 HP and 15 mana remaining (4 strength, 10 defense). The unit tries to move to Forest. The Mage has Invisible and Stunned status.",Can the Mage move to Forest?,"<analysis>While Invisible, the unit slips through normally impassable terrain undetected. Additionally, the Stunned effect immobilizes the unit, blocking any attempt to move. Meanwhile, a Mage finds Forest terrain incompatible with their movement capabilities. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
1921,"A Guardian of level 5 is on Desert, carrying 7 mana with 29 HP left and combat stats of 7 strength and 20 defense. The target is a level 1 Summoner with Burning status on Forest (19 HP, 7 strength, 7 defense), adjacent to the attacker. The attempt: attack the Summoner. The Guardian has Burning and Stunned status.",Can the Guardian attack the Summoner?,"<analysis>The Stunned effect immobilizes the unit, blocking any attempt to attack. Meanwhile, the Desert environment makes it harder to land attacks — accuracy suffers. The action is prevented from going through.</analysis>
<outcome>MODIFIED</outcome>"
4471,"A level 10 Mage stands on Plains terrain with 6 mana and 64 HP (strength 4, defense 13). The target is a level 1 Guardian with Stunned status on Forest (33 HP, 18 defense), distant from the caster. Mage attempts to cast Lightning on the Guardian.",Can the Mage cast Lightning on the Guardian?,"<analysis>At level 8 and above, the caster's expertise mitigates terrain-based spell disruption (unit is level 10). Compounding this, lightning costs 30 mana to cast. Without enough mana, the spell fizzles (current mana: 6). The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
5342,"A Ranger of level 8 is on Plains, carrying 48 mana with 42 HP left and combat stats of 15 strength and 4 defense. The target is a level 6 Ranger with Invisible status on Desert (71 HP, 4 strength, 20 defense), distant from the attacker. The attempt: attack the Ranger.",Can the Ranger attack the Ranger?,"<analysis>The Ranger's ranged weapons reach non-adjacent targets without penalty. However, insufficient strength against the target's defenses means the attack deals partial damage. On top of that, without adjacency, a melee attack has no chance of connecting. Additionally, the target's defense exceeding 15 represents thick armor that blunts most attacks. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
5369,"A level 4 Ranger stands on Forest terrain with 12 mana and 59 HP (strength 17, defense 10). The target is a level 10 Paladin on Forest (57 HP, 14 defense), adjacent to the caster. Ranger attempts to cast Fireball on the Paladin. The Ranger has Burning status.",Can the Ranger cast Fireball on the Paladin?,"<analysis>Fire from the Burning condition fuels Fireball, allowing it to be cast despite the Forest terrain. At the same time, a Ranger has no capacity for magic and cannot cast any spell. Compounding this, casting Fireball requires at least 28 mana. Insufficient mana blocks the spell (current mana: 12). On top of that, the Forest environment prevents Fireball from forming: ambient moisture dampens the magic. However, casting Fireball requires the caster to be at least level 6 (unit is level 4). The action proceeds without restriction.</analysis>
<outcome>ALLOWED</outcome>"
2858,"Ranger (level 3) occupies Mountain terrain. Current stats: 8 mana, 86 HP, 17 strength, 3 defense. The Ranger wants to move to Plains. The Ranger has Poisoned and Stunned status.",Can the Ranger move to Plains?,"<analysis>Stunned units cannot move. The condition prevents all voluntary actions. However, the Plains environment is impassable for Ranger units. Ultimately, the action is blocked and cannot proceed.</analysis>
<outcome>BLOCKED</outcome>"
2948,"Mage (level 2) occupies Ruins terrain. Current stats: 14 mana, 67 HP, 12 strength, 20 defense. The target is a level 4 Mage with Poisoned and Stunned status on Forest (91 HP, 10 strength, 10 defense), adjacent to the attacker. The Mage wants to attack the Mage. The Mage has Invisible and Poisoned status.",Can the Mage attack the Mage?,"<analysis>The Invisible attacker strikes from stealth, dealing double damage as a sneak attack. Invisible status is lost. Furthermore, a Mage below level 6 deals reduced attack damage due to inexperience (unit is level 2). The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
351,"Healer (level 9) occupies Mountain terrain. Current stats: 13 mana, 21 HP, 15 strength, 5 defense. The target is a level 10 Mage with Stunned status on Mountain (17 HP, 12 defense), adjacent to the caster. The Healer wants to cast Rally on the Mage. The Healer has Frozen status.",Can the Healer cast Rally on the Mage?,"<analysis>A caster of level 8 or higher has mastered their craft — terrain penalties on spellcasting are reduced (unit is level 9). Furthermore, frozen units cannot cast spells. The condition prevents all voluntary actions. Compounding this, rally cast on an adjacent ally has increased effectiveness — proximity amplifies the morale boost. Additionally, rally costs 35 mana to cast. Without enough mana, the spell fizzles (current mana: 13). Meanwhile, casting Rally in Mountain fails because the thin air disrupts concentration. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
2177,"Paladin (level 10) occupies Forest terrain. Current stats: 37 mana, 56 HP, 9 strength, 3 defense. The target is a level 10 Summoner with Invisible status on Ruins (66 HP, 8 defense), adjacent to the caster. The Paladin wants to cast Lightning on the Summoner. The Paladin has Stunned status.",Can the Paladin cast Lightning on the Summoner?,"<analysis>Master-level casters (level 8+) partially overcome environmental interference through sheer skill (unit is level 10). At the same time, while Stunned, performing any cast action is impossible. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
2622,"Mage (level 2) occupies Desert terrain. Current stats: 12 mana, 93 HP, 17 strength, 3 defense. The target is a level 7 Ranger on Mountain (45 HP, 4 strength, 8 defense), adjacent to the attacker. The Mage wants to attack the Ranger.",Can the Mage attack the Ranger?,"<analysis>Low-level Mages (below 6) suffer a damage penalty on attacks (unit is level 2). Furthermore, attacking from Desert terrain imposes an accuracy penalty due to unstable footing. The action proceeds but with altered effects.</analysis>
<outcome>MODIFIED</outcome>"
2059,"The Guardian is level 3, positioned on Ruins with 62 HP and 26 mana remaining (19 strength, 20 defense). The target is a level 1 Summoner on Plains (45 HP, 8 strength, 20 defense), distant from the attacker. The unit tries to attack the Summoner.",Can the Guardian attack the Summoner?,"<analysis>The attacker's strength is lower than the target's defense, resulting in reduced damage. Compounding this, without adjacency, a melee attack has no chance of connecting. Beyond that, the target's defense exceeding 15 represents thick armor that blunts most attacks. The action is prevented from going through.</analysis>
<outcome>BLOCKED</outcome>"
3667,"The Summoner is level 6, positioned on Mountain with 5 HP and 12 mana remaining (5 strength, 3 defense). The target is a level 2 Rogue with Frozen status on Swamp (95 HP, 14 strength, 5 defense), adjacent to the attacker. The unit tries to attack the Rogue. The Summoner has Invisible and Poisoned status.",Can the Summoner attack the Rogue?,"<analysis>Striking while Invisible grants a devastating sneak attack bonus before the stealth breaks. Meanwhile, units below 15 HP suffer penalties when attempting to attack — injuries impair performance. The action succeeds in a modified form.</analysis>
<outcome>MODIFIED</outcome>"
1777,"A Ranger of level 8 is on Desert, carrying 11 mana with 82 HP left and combat stats of 4 strength and 4 defense. The attempt: move to Plains. The Ranger has Invisible status.",Can the Ranger move to Plains?,"<analysis>The Invisible status allows the unit to bypass terrain restrictions — stealth finds hidden paths. Beyond that, a Ranger finds Plains terrain incompatible with their movement capabilities. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
4678,"Ranger (level 2) occupies Plains terrain. Current stats: 33 mana, 73 HP, 16 strength, 16 defense. The target is a level 7 Guardian on Swamp (8 HP, 10 strength, 13 defense), distant from the attacker. The Ranger wants to attack the Guardian.",Can the Ranger attack the Guardian?,"<analysis>Rangers can attack at range with their bows, bypassing the adjacency requirement. On top of that, until reaching level 4, Ranger attacks are weakened significantly (unit is level 2). At the same time, melee attacks require the attacker to be adjacent to the target. The attempt goes through as intended.</analysis>
<outcome>ALLOWED</outcome>"
4928,"The Mage is level 10, positioned on Mountain with 66 HP and 15 mana remaining (19 strength, 4 defense). The unit tries to move to Forest. The Mage has Invisible status.",Can the Mage move to Forest?,"<analysis>The Invisible status allows the unit to bypass terrain restrictions — stealth finds hidden paths. However, a Mage finds Forest terrain incompatible with their movement capabilities. Nothing prevents the action from succeeding normally.</analysis>
<outcome>ALLOWED</outcome>"
