id,answer
13975,A
18309,D
14376,A
9464,C
624,B
1790,B
6257,B
16095,B
6669,A
1590,C
11981,A
8438,C
18051,B
1775,C
12600,C
4422,C
10196,B
15777,D
15300,C
16263,A
2700,B
9894,D
11820,A
1048,B
6446,A
5895,D
9022,B
1404,C
13444,C
17902,B
6750,C
6817,D
7378,B
3402,A
15304,A
16952,B
17075,D
19836,C
3604,B
12749,D
2187,D
4949,D
7907,C
12409,D
9451,A
9350,B
4170,C
9980,B
6675,D
14371,D
15277,B
566,C
13214,C
19213,D
17609,A
15210,B
19773,A
19880,B
14417,D
16353,B
37,C
3842,B
11143,A
2055,D
17659,C
6759,D
17,D
16421,A
10353,C
3045,B
5913,D
10332,B
19879,D
8255,D
4643,D
18946,C
12002,B
4208,D
2312,C
49,C
7113,A
1107,B
13591,D
1891,D
15796,D
5683,C
19962,C
18790,C
16178,D
10140,A
9165,B
19709,A
10314,C
19965,A
613,B
17415,B
15359,A
3403,C
12024,A
13838,D
14136,A
16447,A
9119,C
494,B
5038,C
17260,D
15241,D
13225,B
2492,B
18651,C
17215,D
15086,A
7149,B
14733,A
7130,A
16554,C
9252,B
7447,D
7386,A
13991,A
19907,B
14122,D
5616,A
12114,B
6811,D
2934,A
18897,B
1931,B
1980,D
5338,C
18386,C
15987,A
8278,B
13970,D
13360,A
19014,C
10362,C
1297,D
9134,C
16855,C
12285,A
12930,A
4534,D
3564,B
12436,D
11413,B
4242,D
7039,B
6477,C
6338,B
3472,B
18875,B
3702,C
13842,C
7010,B
16571,C
5639,A
5155,A
10530,D
7410,B
7061,A
3595,A
4602,C
4781,A
3960,B
19653,B
1532,C
10375,A
10184,B
16260,B
1979,B
19372,B
3360,A
18217,D
4677,C
17887,B
13856,B
19015,B
19480,A
5432,B
15747,D
3444,D
7613,D
18482,A
12581,A
1487,D
17306,C
6035,D
13922,B
16739,C
18420,C
16466,B
13738,B
10516,C
6554,D
13253,C
13264,B
6411,C
9665,A
18272,A
2954,C
16846,A
654,A
9988,D
327,B
5076,D
17088,C
11058,B
17107,C
7804,B
14100,A
699,D
1811,D
9523,A
1781,A
19365,C
10111,D
6420,D
7793,A
16799,D
2654,D
16513,B
5177,A
5189,B
15347,C
55,D
11029,C
4934,C
6070,A
6280,D
10822,B
4443,A
12126,B
18176,A
8401,B
4488,A
17270,B
1743,D
17056,C
17652,C
7196,A
16067,A
11304,D
4572,D
2231,B
245,C
15151,B
18779,C
13993,A
15060,A
2462,D
10935,A
16078,D
14404,B
4451,B
17250,B
11513,C
18808,B
19598,B
15965,C
15245,A
8930,C
367,C
4400,D
15561,C
5637,D
3466,C
14629,A
7531,B
17325,D
16016,C
10444,D
81,B
11286,B
9625,D
3753,B
19625,D
2285,D
12936,A
3051,D
14953,C
2469,D
18271,A
18326,A
5014,C
2565,D
16527,D
5000,D
18797,C
998,C
3026,D
14554,C
14880,D
14212,B
3803,A
9543,D
6076,C
10944,B
3230,C
2036,C
11041,D
10855,A
10162,C
16055,A
2263,A
12674,A
16647,B
13580,B
19767,B
19317,C
15249,D
12131,A
18282,C
4241,B
18040,C
19723,A
6181,C
2149,B
11198,A
6845,D
14967,D
1776,C
16790,D
5818,C
8073,D
197,A
12840,B
3278,B
16175,D
6317,A
1964,A
5549,B
16693,B
11504,C
14270,A
11452,A
1806,D
11486,A
1899,C
14180,A
7474,C
3009,A
13212,D
3358,D
2599,D
3505,A
18925,A
14124,A
4214,C
3099,D
5617,A
15691,A
9314,A
15311,B
16111,C
13651,D
18825,C
3551,C
15392,B
10463,D
11673,B
16192,C
11881,A
3851,C
18095,A
17869,A
7036,D
11003,B
17170,B
18804,B
19983,D
17036,B
15255,D
7503,C
3301,D
7898,D
1341,B
9786,D
5829,C
17177,C
11081,D
15264,A
11085,A
2505,A
4505,A
8101,A
15402,B
12207,A
6934,C
18448,B
17169,B
13811,C
11924,B
7781,B
16958,D
18079,D
17402,D
5169,B
13887,A
2992,B
4909,B
9568,D
19278,B
14167,A
17006,D
7132,D
5799,D
2045,C
1180,B
9488,D
7122,A
1270,C
14195,B
15125,A
16757,D
11357,A
5164,B
4325,A
3193,B
4130,D
9521,D
12693,D
14693,D
16341,C
15746,C
12442,C
12794,A
14354,D
2405,C
8447,D
11659,D
10194,A
13962,D
12274,D
1495,A
7847,D
2668,A
18906,D
6593,B
6312,A
1584,A
11261,B
13495,C
12384,A
16131,B
11492,B
14158,D
18602,A
6626,D
4209,D
19542,B
13088,D
15693,A
14069,A
5781,D
15676,A
19553,D
18606,D
10567,C
18392,A
4230,D
12766,A
18969,A
1144,B
16257,C
10543,C
6320,B
9767,C
16785,C
12593,B
7397,B
17932,B
14647,B
14848,B
879,C
11145,D
3567,D
16234,C
18545,D
19762,A
1671,B
18505,D
8088,B
5339,A
12281,A
12492,C
4599,D
4680,D
12815,B
9225,C
2311,C
9038,A
2027,D
18219,A
12699,B
18868,A
10555,C
14710,D
19552,B
5734,A
13063,A
10487,B
16994,B
4867,B
15199,A
8317,D
1761,C
14349,C
16152,C
14245,C
7542,D
7473,B
12662,B
7767,A
4194,A
1265,D
15763,D
17792,C
4525,B
4992,D
3873,A
2721,D
18572,B
17917,C
14595,B
8556,A
16171,D
7784,A
6217,B
4324,D
2160,C
5043,B
17092,B
4979,C
3084,A
15460,C
13824,C
9083,B
3504,A
14225,B
16429,C
8203,C
13817,D
7671,A
8054,A
4252,B
12218,B
17858,C
5767,C
2854,A
9243,A
3093,D
6733,C
6301,D
338,A
13256,A
1255,D
1928,C
4471,A
1171,D
5747,D
18236,A
12290,D
1096,B
17972,A
9331,A
12539,A
15328,A
16330,D
19242,A
4409,C
7058,C
1013,B
17628,D
4438,D
13074,A
1179,B
19348,C
8175,D
17044,D
11262,D
100,C
458,A
7819,D
14770,A
8476,A
9286,C
10365,D
15398,D
19500,D
8605,B
12680,A
9011,D
7809,C
12716,C
12350,D
19761,A
9971,B
11273,B
17514,C
18751,D
10938,C
5785,D
3383,D
15321,A
5302,C
3822,D
8657,D
3980,C
16698,B
6158,B
19984,C
11276,D
9067,D
13923,C
2221,A
13234,A
1001,C
14649,B
5308,B
7502,A
16594,C
19579,D
2817,B
12715,C
9183,C
19654,B
14495,C
16370,B
15539,C
7065,A
17627,A
12605,D
5602,C
10790,B
8999,A
7484,D
6787,C
8018,B
15147,A
14399,B
7449,C
19782,A
19884,D
2013,B
4341,B
8149,C
9168,B
13057,A
13463,C
5621,B
16954,C
18174,B
3097,D
10507,A
572,B
14981,C
6770,A
10521,C
18910,D
6160,A
15765,D
11772,C
17156,B
11787,D
8144,D
10373,A
7203,A
8888,D
19407,C
2617,B
14462,D
7499,C
15353,C
9876,A
12062,B
1510,D
13175,A
12009,A
16073,D
18750,C
4344,B
8938,B
1920,C
12976,A
8022,B
14673,C
10377,C
2499,C
9431,A
3480,D
12347,D
8029,A
8997,D
16583,B
16834,A
2916,B
19783,D
18183,B
16338,B
2746,B
11013,A
12392,C
17267,C
1957,B
15098,C
19700,B
5982,C
15517,C
6057,D
15647,D
1465,B
243,D
272,A
16049,A
8820,B
3144,C
11248,A
14556,C
12497,D
18346,D
14144,A
15406,C
1331,A
2038,D
10359,C
2575,A
12224,C
3999,A
18334,B
3059,C
2392,D
11585,D
40,A
17823,B
17343,A
10213,A
9021,D
16014,D
11490,B
9821,D
18719,C
4440,A
7219,C
8910,B
19866,A
11062,D
12466,C
18707,C
4703,B
1838,A
4856,D
8646,D
5739,A
1475,A
4618,A
19349,A
16562,C
11114,C
15635,D
18489,A
4879,B
967,D
19068,C
16478,C
8747,A
6892,C
8882,C
10010,C
12094,D
163,D
16417,B
4605,C
10759,D
14989,A
12493,B
10221,A
16861,A
9404,A
13700,B
570,A
3616,D
15262,A
11158,B
11463,B
13162,A
17948,B
9805,C
13810,C
7772,D
19631,A
1986,C
13769,C
1189,D
7910,B
15883,C
11541,D
8087,B
5150,B
12776,D
18610,C
8155,D
14518,A
9973,A
2414,B
18483,A
13150,B
13290,A
13053,D
16481,D
16970,A
6021,A
12665,C
16230,A
7208,C
804,B
5871,C
18080,D
8204,B
7655,C
2896,D
7268,D
5977,D
12368,D
18044,B
7404,A
10360,D
13801,C
1436,D
71,D
13260,B
9771,C
19942,A
17059,B
4991,B
15070,A
3086,C
4963,D
12732,B
14599,A
8717,A
11897,A
1432,B
8361,B
10677,D
18052,D
11982,A
17707,A
1477,B
5690,C
8016,D
8712,A
3729,A
17532,C
10253,A
19338,B
10413,D
18123,C
8454,A
14604,C
11562,B
11434,D
13028,B
17640,B
11179,A
17052,B
6300,D
19117,B
5004,A
2408,D
7658,A
15319,B
16002,C
15580,D
16335,A
13752,A
6016,B
11290,B
12866,C
3451,B
7014,A
18232,D
4109,B
2895,A
863,A
13114,D
5499,A
7949,D
2049,D
9291,A
13661,A
8412,B
19237,A
13372,C
16282,C
4884,A
10384,A
9203,B
16130,B
4437,C
1086,A
19644,B
3095,C
12913,B
6907,B
18050,D
3318,D
10600,D
14838,B
18280,B
2230,C
13419,A
2318,B
14903,A
10701,D
15185,D
13736,A
5226,A
4557,A
5101,A
3159,D
15150,D
7849,C
13758,C
3730,C
10977,D
4127,A
1797,C
4763,C
7283,D
4584,A
11410,A
16703,B
4178,A
13126,A
11393,B
1965,C
2997,D
15798,A
17907,C
10997,B
4047,C
19919,B
19281,A
4453,B
17545,C
18031,D
1877,A
8042,A
10562,D
19799,D
599,D
10927,A
7667,B
5259,D
11010,C
2133,C
13867,A
14852,C
18801,C
17051,D
4581,C
17011,B
2339,D
3602,A
17669,B
14929,C
80,B
4271,D
12339,A
10985,B
13691,B
3083,C
8330,C
13699,A
6239,D
4176,D
4517,C
18798,C
9698,A
8547,B
990,B
1116,B
13222,C
17867,A
18814,B
16267,D
8262,C
18157,C
15307,B
14230,B
1504,D
4333,D
3588,C
1734,B
1552,D
17326,C
9621,C
9658,D
15874,A
12053,D
7138,C
9557,B
5392,C
8831,C
3232,A
15271,C
14663,B
1521,C
15178,A
12813,B
17776,B
16085,B
5981,B
11666,B
8346,C
4149,B
17808,A
13808,B
12420,C
6116,C
13004,A
13245,A
7033,D
12499,B
16179,D
6995,B
3954,C
19451,B
9575,B
9403,C
16128,B
19210,B
8541,B
10285,B
4596,D
9908,A
10482,D
12735,B
5166,D
3492,C
16669,A
12450,D
11018,A
7340,D
18643,A
14153,B
16457,B
11542,A
1112,C
321,A
5129,C
6314,D
17838,D
7194,B
16890,A
9148,B
7142,B
9798,D
1150,B
5894,A
16020,A
9337,C
4177,A
11586,A
5455,D
19973,C
2863,C
9220,C
11537,D
5136,D
2696,A
3020,D
12606,A
14620,A
13600,D
19133,A
2504,C
10784,B
6599,A
10619,C
17645,A
10234,C
7598,C
11757,C
4597,C
19234,C
1458,B
2209,D
16795,B
17298,A
6791,D
6785,A
18849,B
13788,D
19456,B
11406,D
2066,B
18568,A
13478,A
17199,D
8161,B
18694,C
9253,A
19004,C
18292,D
10266,C
1317,C
13944,C
19294,C
1463,A
6063,D
15252,C
19900,D
18367,A
13422,D
14156,D
15599,B
2284,C
11350,C
8333,D
6558,B
19731,C
4233,D
19339,D
5130,D
19219,D
2782,C
12640,D
1623,D
18125,C
12103,B
18955,C
18960,B
314,B
14300,A
8027,C
12111,B
4621,B
2835,B
14938,D
12672,B
17152,C
19096,C
10745,A
19765,D
3820,A
3197,A
13607,B
2893,B
6690,D
12455,C
9930,B
2220,C
16209,A
18704,B
7810,A
17002,D
7247,C
2197,B
4841,D
3429,C
1298,C
15793,C
10645,D
10654,D
19741,C
14398,A
14765,D
1984,B
16620,D
13784,A
8486,B
2094,A
19386,D
7057,C
18242,D
18003,A
9124,B
12076,B
17480,A
17875,D
6698,D
14005,C
2412,D
12943,C
3720,C
16277,D
14581,D
16258,D
266,C
4168,D
3132,D
17299,A
3887,C
11610,B
5495,C
1860,B
18713,C
3884,A
12579,A
16664,C
19418,C
12917,D
17706,B
19101,A
7382,C
5544,C
3477,D
18468,B
7851,B
12441,A
17843,A
9045,D
14644,A
8703,A
8795,B
5423,B
794,A
132,A
1069,D
8283,A
13812,A
9065,C
5805,D
13846,C
8872,D
19097,C
17554,A
65,A
18454,D
12487,D
11931,B
8570,D
1284,B
10656,D
18347,B
3668,C
1045,C
2848,B
10127,C
609,D
3181,D
17308,A
12405,A
7418,A
8417,D
18512,D
1306,B
16894,B
12361,C
18352,A
8817,B
13193,B
2451,B
4799,A
16350,D
17784,C
14084,C
6741,C
7969,A
3458,B
608,C
2122,C
14793,A
12028,D
1833,B
18096,C
10267,C
6429,C
7623,A
19755,B
13688,D
4165,B
6454,B
2633,B
2026,D
13221,B
5051,B
86,A
10227,C
4191,B
1391,D
15380,A
687,B
17845,D
9264,D
660,D
17381,A
8780,D
10560,C
13961,A
6318,D
3221,C
9681,D
642,C
18230,B
12233,C
10232,D
5172,A
6127,B
15386,D
3228,A
8342,B
2380,C
7001,D
8065,A
17187,D
10363,D
6583,B
15581,A
8727,C
6668,D
9150,D
564,C
11758,D
12135,A
10969,A
16359,B
1851,D
13385,D
10779,B
16045,B
6776,A
3532,A
9032,C
7082,A
16201,C
13958,D
12628,C
4053,C
15381,A
10955,D
11026,D
12932,B
10357,C
4506,A
865,A
19302,A
15548,C
9369,D
1763,C
6851,B
839,A
6433,A
11806,B
19509,C
68,C
7091,C
8517,D
19918,D
14060,A
15638,C
19584,D
14334,A
12534,D
5182,B
10581,A
18985,D
15149,D
4070,C
18496,A
14446,B
10868,A
4729,B
6325,B
1247,D
9333,D
15492,B
17754,D
7108,B
9182,D
18948,B
5075,D
2791,B
14205,A
13321,D
18857,D
5280,D
7644,C
8109,A
10846,B
16319,D
18025,D
15627,A
6600,B
536,A
1586,D
15293,B
1649,D
4725,C
17243,A
7590,B
8940,B
6134,A
19869,D
4136,A
2756,C
10144,D
5321,C
3395,B
8621,D
16963,B
16428,D
3910,B
19330,C
6955,C
16778,A
14878,D
4078,B
12712,C
9711,D
486,B
5848,B
7332,C
13556,C
3266,A
7059,C
16135,C
10704,C
10827,A
19780,B
8376,B
4129,B
2243,A
11756,D
17311,C
8716,A
4907,C
4974,B
13391,D
6385,C
11040,C
1804,C
7101,D
2120,C
2576,A
15112,B
3705,A
15866,C
17546,C
7352,C
19320,B
11563,D
16532,D
11022,C
11450,A
6602,C
740,B
6965,A
4360,D
4504,D
14316,C
3609,C
17419,A
3315,D
19380,D
11646,B
8812,D
1021,C
6461,A
2573,C
9684,B
2718,C
8462,D
10329,C
3446,A
19593,B
10556,D
16859,C
19472,C
16915,A
3344,B
17109,A
10582,B
2242,D
8146,B
10960,C
9402,D
7434,B
787,A
8947,B
5026,A
4246,C
1066,D
2881,D
11525,C
6752,D
10505,B
14686,C
5081,B
8837,A
4939,C
8437,B
1137,D
18399,D
16474,A
8466,C
2420,A
15646,D
6758,B
14163,A
3839,B
6223,A
2253,C
7624,C
17724,A
13575,B
18695,C
5317,B
15169,D
4641,A
17800,A
11259,D
18105,C
9574,B
8140,A
14238,C
7833,D
14680,B
9995,D
18387,D
3223,A
13048,B
8038,B
19628,C
16089,B
4707,C
10414,C
9745,A
3652,D
19216,B
440,D
16775,D
10700,A
1111,B
13773,A
2478,A
7688,C
11971,C
3401,B
15884,A
17690,B
5770,C
12584,C
12395,D
4292,C
7691,C
8974,D
5328,B
6617,A
4615,B
15448,B
5298,B
17753,C
15682,B
10781,B
5804,D
11548,C
17422,B
13389,B
1870,C
6850,C
1383,D
5801,D
13979,C
1435,B
822,D
7259,D
889,D
11831,A
7732,D
3691,C
14236,A
533,B
9237,A
4889,A
16889,A
7005,B
10488,C
2853,A
4961,D
2337,B
2175,C
11499,C
1065,B
3964,A
741,B
13145,C
13851,D
10167,A
14614,A
2708,C
9926,B
7735,C
16667,B
15623,C
1293,B
18621,B
12946,B
2283,D
13520,B
14049,A
16170,A
3359,D
18325,A
2651,B
1765,D
2383,B
2162,D
11383,A
6489,A
16450,A
12019,D
19571,A
1345,D
5922,C
9882,C
4904,A
18593,C
18979,A
5244,A
9626,B
6094,C
14007,C
16358,D
10153,C
10052,A
8110,B
19053,C
6468,A
14657,C
8524,A
350,C
419,A
17057,B
2948,B
15367,C
11124,A
2670,C
9493,C
12784,B
19686,A
18279,D
9699,A
19486,B
10866,D
4857,B
14797,A
5228,C
11195,B
2141,D
11801,B
16761,C
15653,C
19155,C
2796,D
9657,C
17816,D
9356,D
6648,D
17049,C
11411,A
1966,D
1050,D
5333,B
17513,C
5242,B
6384,B
4450,A
2876,B
4847,B
16770,C
8226,B
9294,C
3163,A
3732,C
8202,A
3425,A
13918,B
8672,B
5885,D
7600,A
3650,A
8285,B
12825,D
14350,A
4073,B
7747,C
6169,B
17253,A
18898,A
19109,B
9312,C
11765,D
17926,A
7448,D
8364,B
4368,D
19739,A
7593,C
17345,C
17741,C
1224,A
6406,B
15237,D
14472,A
3439,B
14391,A
4361,D
10305,D
1719,C
9468,D
16112,A
19152,C
9193,B
8402,B
19391,B
9081,A
9615,D
8510,C
14574,A
14463,B
4466,B
18119,C
12684,A
7213,A
16098,B
19787,C
8403,B
7602,C
7794,A
9936,D
12295,B
9128,C
2434,A
11283,B
10839,B
11281,A
8035,A
14364,C
3736,B
7211,D
2039,A
6447,A
6482,C
2394,C
3645,B
15464,D
16360,C
2857,C
4034,C
15978,B
10957,A
7480,C
9850,A
3516,A
4372,C
6484,A
4106,A
12853,D
1581,B
18294,C
1295,C
4900,D
3956,A
10118,B
4769,C
818,A
18343,C
4814,A
5941,B
9029,A
12835,B
8338,D
18379,C
6742,B
10458,D
6621,A
4764,B
1943,B
14080,B
15284,A
16384,B
15876,B
18324,C
17491,A
5500,C
4031,C
18100,C
19416,A
9569,D
13549,D
13415,D
12527,D
6449,A
12120,B
5111,C
5697,B
8499,B
12937,B
11796,D
7096,B
6543,B
7152,D
7680,A
13663,A
1368,D
12483,B
983,B
3003,D
3323,D
17048,D
2135,A
10899,C
3298,C
10179,A
10945,A
3249,B
16811,B
10446,A
3590,A
4133,A
14130,C
9670,A
3155,C
16944,D
15360,C
19397,C
7252,C
9103,D
18033,A
11845,C
7190,A
5047,B
169,C
5414,D
18587,C
17118,B
8132,D
9912,C
16185,C
8963,A
18710,B
771,D
1744,C
8620,B
3175,C
18822,B
14171,D
6392,A
8420,D
11354,C
11713,A
14705,B
6486,D
6977,C
18589,B
11818,D
8526,D
16886,C
14940,C
10818,B
10809,D
9122,A
14293,D
5046,D
2402,A
18245,B
460,A
10777,D
98,D
4647,B
17058,D
4348,B
12508,D
5669,B
13540,C
9531,A
18508,C
19128,B
31,A
13243,B
10085,C
18709,B
10454,A
8913,C
10913,A
9097,C
5882,B
6861,B
11464,D
6083,B
8218,D
473,A
10832,A
18639,D
16865,A
11351,B
5349,D
6121,C
8147,B
11803,B
19922,B
12393,D
5418,D
15346,C
9952,A
17725,C
14430,B
4474,A
2861,C
18521,C
10109,C
17881,D
9354,D
3841,B
2245,C
1588,C
5519,C
19012,A
8769,C
14565,D
15506,A
11684,A
9226,D
8291,B
4138,A
802,D
13387,C
4496,D
12317,C
15097,D
14075,B
8067,C
1798,C
7238,D
5027,B
7063,C
14631,D
11395,D
3948,B
9459,C
7708,A
9514,C
18296,B
10039,B
2546,A
18595,C
8609,A
7529,D
5858,A
809,B
3917,C
6814,B
349,D
444,A
4964,A
7855,C
14139,C
17538,D
4777,A
6853,C
6120,C
2381,B
9424,B
14441,B
11112,D
1591,B
4475,B
18345,B
3686,C
18118,B
14528,D
8399,A
4555,B
15921,D
7795,A
19482,B
15048,C
17664,D
16611,B
3356,A
14440,C
6419,A
15872,C
18423,C
13771,B
11687,C
3064,A
14025,C
1894,D
10451,D
12872,D
3101,C
18974,C
14077,B
4054,A
3216,C
18403,B
2629,D
7185,D
18214,A
19326,A
3622,D
11380,A
16950,B
15476,C
6730,D
6442,C
5892,A
14840,C
3254,D
16550,A
2935,B
791,A
1141,D
18457,C
7021,A
19744,A
6979,A
10387,C
12563,C
18879,B
17426,B
4787,B
4224,D
5582,B
17024,A
2842,D
10138,C
995,D
10046,D
2873,C
13577,B
17027,D
15312,D
11995,A
18534,C
4240,B
8114,A
9997,D
1379,C
9239,D
13795,C
17356,A
14263,A
392,C
4708,D
19417,D
2204,A
18474,C
19124,B
11693,D
1303,B
16391,A
14164,C
16281,C
10466,B
11942,B
14420,B
8667,B
10743,B
8090,C
14977,A
11810,C
13730,D
5907,D
14226,B
9960,D
5854,D
6657,B
13603,B
3882,B
4398,C
3648,A
10825,B
12206,B
18734,B
15559,C
18226,B
16272,C
12077,D
12381,A
8439,C
19003,C
13711,B
3926,B
4805,C
10513,D
9955,D
3351,B
16912,D
18088,C
9365,D
14422,D
706,A
18197,C
10028,C
16427,C
18612,D
12793,D
3130,D
15844,A
12271,C
2379,A
12260,B
11886,A
780,B
4502,B
7037,D
8198,B
1000,C
4039,C
13270,D
3703,D
2679,A
15261,C
15838,B
18265,A
724,C
5584,D
14040,C
2016,D
8494,B
12561,B
242,A
12903,B
1299,A
106,C
8531,A
8407,D
13583,C
4457,A
11898,D
3022,A
19286,A
10847,B
12025,C
5184,D
16064,B
7087,B
9800,A
2014,B
11725,A
800,D
16336,D
11099,D
15920,B
8421,A
16777,A
1705,C
3117,A
16172,C
8491,C
1995,B
19072,B
2212,A
11421,B
6712,D
10894,D
2028,D
18037,B
2528,D
3143,C
8000,D
921,A
17135,C
120,B
14176,B
19434,A
7266,B
11778,A
15915,B
4710,C
17441,C
5377,D
9600,A
12451,A
3950,A
5031,A
16392,D
9408,A
15803,D
3725,D
13038,C
9607,D
11584,A
8148,D
11974,A
1859,C
12448,B
12781,D
12608,B
9616,C
7373,B
2009,C
7731,B
451,D
12957,D
421,A
6416,A
17658,D
1933,A
3939,A
11339,D
13621,A
3735,A
16939,A
1261,D
11263,B
11257,C
5929,C
1674,B
9758,D
6040,D
2709,A
2834,C
5139,D
11315,D
1448,B
1520,D
14450,C
9520,C
14081,A
17829,B
734,D
19994,D
2093,A
15836,C
1151,A
10892,B
295,C
4101,D
15833,C
5313,C
7500,B
13755,A
1081,C
19306,B
17582,C
14520,B
6019,B
7188,D
6377,C
18490,A
12196,C
8973,D
17796,D
3527,D
16176,B
6102,D
12462,A
11940,B
7741,A
10041,B
10547,A
22,A
13257,B
3699,C
9272,C
6155,B
14914,D
6430,B
17944,C
1789,D
18507,B
9512,A
13267,C
16643,A
10710,D
773,D
10131,A
7540,A
16503,A
12765,D
6687,D
13630,B
9498,B
11696,A
10396,A
8912,A
18073,D
16948,A
16134,D
3459,B
16564,C
19536,A
15951,B
3666,C
17528,C
1369,B
2502,D
13351,D
19191,D
15664,C
16942,A
12191,C
19258,C
8731,D
6932,C
15273,C
7150,B
7286,D
16557,A
19594,C
6408,D
2563,C
5729,C
5723,C
3336,A
8366,B
11950,D
6265,C
16160,B
12195,C
8100,A
9420,D
8945,B
12809,C
13494,A
7668,C
5116,B
18303,A
19296,D
16147,B
7918,A
9799,B
10987,D
19192,A
19358,C
6270,A
12964,A
17567,A
17331,C
17806,C
7850,C
18258,B
10897,D
13395,A
4367,D
702,A
10569,D
14890,C
13397,C
10154,C
12773,C
17943,C
3211,C
337,C
788,C
9868,A
19105,D
13830,B
15602,D
16718,D
13104,D
12174,B
9106,A
16320,D
777,C
9248,D
3832,A
19069,D
3635,B
7153,C
18472,D
13870,D
15751,A
1380,D
14913,C
1990,A
11662,C
18369,B
5460,B
15952,D
3775,C
18253,A
6069,B
8327,A
2439,A
15651,C
17720,A
11360,A
5595,C
7586,D
173,C
16222,A
1497,D
7436,C
14161,D
3036,D
11211,A
17963,B
2823,A
11999,C
559,A
4493,C
18440,D
6654,B
3663,C
7043,B
1622,A
8131,B
4899,D
12880,B
11329,A
16731,D
13026,B
7106,B
3850,A
3391,A
8185,C
13687,A
18158,D
15840,C
12897,B
18284,B
13613,B
19720,D
17379,C
3765,D
11237,A
11524,C
17417,A
4871,C
14837,C
18970,B
11225,A
1113,B
9656,C
7300,B
9927,B
4021,B
15094,D
13306,A
18687,A
2473,D
12951,B
16195,D
3513,B
13452,D
3731,D
4051,C
9564,C
16946,D
1656,B
5200,A
4721,D
17961,D
12236,A
17136,D
19388,D
5591,D
19321,A
7807,B
12292,C
13154,A
12711,C
12161,B
10249,D
10475,B
6927,C
18222,B
13930,D
12576,D
17130,D
1250,B
8637,D
