sample_id,target
11469,rerorulonka
17558,siglunashakatovdo
13798,tuzrulvakanuf
9830,tomisenenlim
17174,kisaronashavotnaf
26902,bukutokkalamdo
198,petudronkado
14643,boronunlem
16932,delkuranavado
19723,pusturvunnavdo
12940,fetoaulottaruksa
28118,tepele
16268,bubseneshense
11772,vekselenevde
27471,tegmefeptekenetnivde
22834,dabanrulonunmuvdo
17524,bezulrulvotnuf
13277,lakediret
27246,retentegve
15103,losiffeneshevenevde
7533,pemkusanashavotnafsa
22703,lavezirenke
15855,kemizrilvekelitse
66,bultetegvettikse
4712,sigludurvanafsa
21598,forkosoktog
11452,naginentekenettigde
15689,kumronashavakalumsa
26872,dovfakatog
5033,ruklotanava
6915,rozobtoksa
2572,tufgepedirvinnefse
24807,supkurtogvunlamsa
20225,bevdiretlimde
17006,fablonashonnaf
27286,vamtotturlemde
6222,fumbegbarulvunrarugdo
787,tegmefepneshinlumsa
3332,rokbavunlemde
29441,ggsesrilvekenifse
6008,redifotogvalam
8334,forkoduruntoksa
16655,rafufgannashavagdo
25163,tospordurnaksa
13448,letusrulotnuvdo
27609,kovezbetigde
1191,fosantokkatog
12478,likbovosturundo
515,lepuvettegvekelamsa
16862,fuzistirenkelim
4476,dovfadurvakalemde
21435,radadurvakando
10232,sonpavakalemde
23046,getugantogvotmavdo
17417,buvikzuptogvalamdo
23645,puznamanashatovdo
14622,lueotogvakatogdo
18982,resisketegveketikse
17898,lipusadurnafsa
6191,puznamazuronotlem
14175,gumedpineshevettidde
7237,nomnizidneshintivde
5753,vorot
2068,buvikzubonun
27840,nonsutrolashonkanavdo
8236,fuzizdirkenef
16252,zagevdirkenevde
15905,depdanavunmafsa
21905,gumedpinesheketiv
1462,revandurvakatoksa
15207,kovurulonkalem
18255,nikorsokunsa
4576,nokvurulunsa
9856,vegbunnashasa
24600,fudendiekelimde
7349,buperilenedde
21007,sonparulvun
4818,dagakboturonunlemde
23461,saovavado
220,kakepunasgonlumsa
12632,liddorulottarugdo
19937,vamtotrulonunnuf
29890,tegmefepneshinnefse
18860,vorozfrvot
4248,dufatogdo
26248,romboturonotlemde
18432,dufonkanaf
17442,redgoturvaktn
6487,paleparulvakado
7036,kozatavakatog
9456,fammiril
24518,sakvafturkatog
12433,baniddantokonkasa
5650,gezupidriletterigde
17632,dimedannashakalumsa
25501,zuzizutogvakanav
28769,rombatogdo
23659,zolineshenke
2881,titannashonuntofsa
18061,vifetatogvalamsa
23133,lodonotlemse
22444,duzdurvakalem
901,kovezbendirenke
18981,sigupopturunlem
7164,nilirdirilvekelim
18680,pebmevinde
11594,fuzizdirkenevde
2181,varotlemde
8488,rifortamantogvamavdo
9713,nimamirilkelim
18369,depekenefse
8219,zuzoptokin
28268,nilirdirilde
26303,tilonedirvinnefse
6772,vototirilenkenivde
28511,luderanashonoddo
14436,forkodurvot
14678,dotatokonka
11440,tubelirilenetse
24072,sutelseketnivde
16172,tuzdufmetirenketikse
26711,fevempotokonkatog
7257,fobeneninmef
2580,fosonlem
7966,sonparulonkasa
26618,papsegdirenlimse
2156,tepeledirenke
4340,forkonashunlum
9562,pellunakanavdo
29789,fimedrilenterig
24230,kutiketneshevetlumdo
13743,rerevetirnef
1073,dagakbavundo
21638,vomavodonun
17065,loftadnashonotlum
4530,sarastokontogdo
3159,tubelidirvetnef
25583,merzoffoturotsa
2987,purimavotlemde
21292,gonkukonot
1882,favonashavakatovdo
21398,poddugrrulva
18324,rerevetekketig
19680,gigdirintigde
19918,tufgepinse
5974,bobufrulonkatrug
3729,girenkirilvetlim
490,revorulonotsa
22092,lodanalemse
1181,rirkaponkanaf
1375,ponbutogvatoksa
5014,fetosogtundo
16234,viksakatog
17010,livobnashonkatovdo
4758,zavudurvakando
10304,kodondo
24928,dunsantokottog
6040,lunarulonafsa
2841,dorpoktorulonotsa
4180,igozenetnevde
18645,vakisleshetnefse
4086,dunsuzurontog
27223,makpofnashalumdo
2887,duzzannashado
8876,mubabmurulvottaruksa
20923,rupturanuntogdo
12271,dizsinneshennef
6671,dapizdomantokonkatoksa
14997,fammineshenketivde
9211,gomigekese
17750,zuzopavunsa
26778,bonezanrulkamuvdo
12581,letenrilenet
19023,forkodurvakado
29195,dagakbutogvalamsa
5602,fammirilenetterig
28533,vifetanashonkanavdo
13921,golelanishavunlumsa
5730,iffmedneshevenef
14745,vegbuntokonunlamsa
5296,sigonnannashonotlum
24943,kigifotogvakatog
12979,nikorandurvamaf
19322,aalugvoturonottoksa
25981,pufanrulunlemse
24803,mapukkakanafsa
17696,bupetegvekenifse
10171,petudravakatogdo
22363,derlenrileninde
20918,rerevintigde
22603,tudlashavakanafsa
10065,nosevrilenetse
11538,vototenrilvinterig
7669,peklazuronlem
6869,lerfevetlimse
23700,gitnavottog
29953,buroruntogdo
12992,gemizzeneshenefse
10472,pegventekenmifse
9943,izamaditekinnivde
9643,pavurulvakasa
14892,samidirenkenef
12661,doktarul
29583,dufladurvakatogdo
6681,kornineshenlumsa
5428,monottokkado
9190,ziglofvanrulvufsa
21650,voronsa
3786,ronnarenetse
29713,bilunashontov
1784,veverilinlimde
7116,supkurtogvun
16878,koptoktoksa
4683,losivdirvetnevde
10046,dubmipkineshenetse
22940,posutusokottoksa
2038,merzoffonashonktnafsa
20425,divenetnefse
9281,lodatokotlam
19281,urefzepvurulnuvdo
27323,libanduronkado
12435,bosefriletterigde
28168,resisketegvetig
7876,gigrilenetterigde
3340,pipesineshevede
19037,fufzivuduronnaf
27214,mevtirilennifse
5911,makpofruluntaruksa
27405,doktotlem
22944,foneselleshevisde
8514,nomnizittirettikse
2031,delkurdurotnafsa
21473,kumrotokkanav
17197,zepofmadurvatog
7235,goterkirilenketrikse
12755,zofmazdurvunlem
15327,fumugevekenefse
22664,dusimtireninlim
28798,upalepaduronotnavdo
13983,binineshenkelumsa
1079,ziponkasa
18610,doktannashavatovdo
15451,gidatogvanavdo
26524,fariftireneteevde
17726,dopgankshalumdo
24846,dubmipkidirenkelimde
18203,fosurulonnufsa
19645,fivbonashondo
5649,dotannashavamafsa
15300,falonotlemde
24629,tomiseneshevekelumsa
14506,nakmepeltegvekelamdo
3862,dinimtekinniv
2936,puzduronunnafsa
3917,vifetaka
1689,tepesneshevekte
14347,dunsunashavakalumsa
305,potutogvalamsa
4056,dobannashonkalum
19824,rozesrilvekenivde
19383,vibmatonashonotlumdo
23927,zivpatozrulonkado
9837,virusrulundo
17615,gitanrulotnuf
9706,dekeneseevinde
2313,vonaldurotsa
26935,dinevenefse
22640,dimaputurlemse
23337,sesenneshevet
24841,nimamineshevelumdo
29735,gemizzirenkenef
20705,bonezonashavatov
9030,zuzopavotnafsa
2062,kovezbezireninnevde
6470,pudpunashonkatofsa
17400,vodetegvettikse
6477,dusimrilvinnif
20283,lubopfozurvottogdo
19951,pezlooiddirenetlimse
5452,likberilvet
11279,tuzdufmetirvetse
27919,liddonsa
9906,kalugvotokon
29810,merzoffonuntog
4270,bukulashalumsa
8531,lizatturonuntog
27692,pavanavotlem
20470,pobbosantokonottoksa
9095,kisarotoknavdo
27064,romtogvuntogdo
23915,vukvobolashavakanafsa
16972,kisaronashanafsa
3365,burornashavottofsa
19054,vupdarulvotlem
5515,luzfodnashonoddo
11781,favotogvakasa
29922,gobnosuzavotnafsa
15310,dapizdamonotsa
2395,gaskirilenterig
23430,rombodurvotnafsa
5506,lebanduronkamaf
18554,padazurotlemse
924,noguturonuntogdo
8134,sefunashalanavdo
25044,vozvvotlemse
12070,zepofmatog
17737,zaforulontarug
11706,puforulonkalemde
8671,tibipepneshenketifse
3124,rozavenrilvinmif
22057,nubakanavdo
19158,rovpetekintikse
7620,nesivziretse
6559,fevitekinse
23665,lekiventekketigde
9145,dinimtekenintig
12720,buvikzuptokuntogdo
9846,kornitegvetlamsa
26118,zeffobanrulunlemse
29043,luzfodduronkasa
9627,gigetigde
5798,kovudursa
22366,iletavirrileninnif
5882,favodurun
9782,guvarulonotlemde
11348,nubutogvunlam
23568,rifpalem
18565,valikisekenlamsa
25936,sitkifgeteken
17857,kisaronuntogdo
6103,fevempodurot
6748,funebtineohinnefse
13009,zolinesheveketifse
9082,fammevekenevde
23439,lunadurnavdo
27282,puzduronotnavdo
15966,gunkitiltegvetig
28672,zavsaneneshelumdo
5540,gunkitilrblvinde
421,ziponotnafsa
16081,litovertekenketig
18690,kobzuvvunlemse
16555,letileshevettivde
3956,sigupobduronnafsa
5606,vuplanashonuntovdo
28856,ropbumvavunnavdo
26762,zaratokunnavdo
11380,vonaldurotnavdo
1725,lakenketig
1184,bupenesvenevde
9974,vonalrulun
16788,nizizamantogvotsa
25724,rartisuvrulvunnuf
904,dinimrilvelimse
19878,seffelotoksa
8346,sazova
17245,lonserilvetlim
7797,kobonnavdo
6089,vuplarulvotnufsa
2080,gobnosustoknav
7928,nesivendirenetmevde
13853,zuzoprulonotsa
25964,disesodurlemse
7933,dapatonnashavaksa
10846,fpvemposokonotlamsa
12177,fumugirilinterigde
9316,nubnumannashotmavdo
25306,butralzuronka
25803,puznamaturnavdo
9927,dobanashonotlumsa
7211,voburdarulvuntarug
21061,zefuturonuntoksa
6533,pegeevvitirentigde
5209,vovatonnavdo
2646,povevese
10073,sizruzrulonnuvdo
16825,revodurvotlem
10622,dusimteketniv
25673,papsektirveketikse
29967,bigosserneshenkelumdo
1478,binitekende
692,bivadurunsa
28058,fufzivutoklam
6365,romrulonaatrug
26402,tumonavakatog
18539,lunadurkatogdo
21569,mabodurkanaf
7370,gitnannashotmavdo
1301,tiklutokonnav
7837,dekesekenkelamdo
14877,dibifofsokotlam
3715,pebmevedde
25840,ponburulvakatrug
5037,birudurvakalemde
4399,vukunruluntarugdo
20006,zabanrulvoddo
13840,kitbetegvekelam
20900,poperilrilvinnivde
11294,bosefeketikse
7354,bivergobnashavottov
16122,sasoduavakando
8750,rupokdutokkalamdo
26898,tossaturonlemse
1436,ruravuntog
507,famosgirzirvintig
21659,vaptokkatog
16017,kigifonashakanavdo
22047,pufolashonun
5402,gogonbulonunnafsa
5930,bomutogvakalamsa
28592,fazmidirvetse
8947,nubavakatog
29664,sonpanavot
18723,vadsodurvakalem
12242,mudkelim
17303,zibadurtoksa
4386,kopumoravanaf
12744,femkogorullemse
10310,dusimsekenkenifse
17667,libunashavunsa
26095,mubabmurulvotlemde
8693,guvarulonot
17027,ronnarineshenettifse
1539,tubelitekenkelam
9121,dinenetikse
1211,bobuftogvunlamsa
15284,tegmefepenintigde
25768,mimintig
2560,madketekende
13107,vefisonlemde
22490,dusimevetnef
13029,noseftegvinnifse
11569,femkogolashavotlumsa
12668,dikulashavun
21999,fegzereksvgvetig
390,lompulofturvalemde
17848,tufgepedirende
17576,tepesrilkenivde
10064,bonezodurvot
3590,luderazurkalemde
22744,pebuduronkalemde
11350,lipusadurvuntogdo
8435,fatutokotlamdo
6719,mukfosrevekelimde
15540,luvdurunnaf
16890,dabonashuntov
14693,kakeputoklamsa
946,dibifovdurontogdo
15576,libunashonuntovdo
14327,reverilonifse
27839,zakeneshevenef
26367,teporulkalem
25605,rervobetrilketrikse
2547,pudpunashavakanavdo
18157,fuzizdiredde
13007,palepunremse
272,fevempodurontoksa
20827,bivelgoptokkalam
3618,duflanrulonkalemde
18765,repnabirilvinnifse
25136,pavutokundo
7008,sofigafrulvalemse
23973,numberirtekkenifse
9269,tubelirilinlimse
28076,rurturkanaf
4633,miruvdudurnavdo
17130,supkuravatoksa
7707,mapukkorulvoddo
19953,tossaturvakalemde
8982,rozavitekeninlamsa
24220,folatdutok
14312,numbererdirenketigde
10762,kitbevettig
13945,likberilenin
14342,gogonbulanagatogdo
22832,pikkabogonunsa
5599,fablvakado
9290,rafufgasokonunlamdo
15989,ifudedirenkenevde
10355,vozannashavotlumdo
3637,libontoksa
20597,golovenrilvinlimde
25212,dufkurrulvakalemde
18296,kogzineshevetse
27239,sesleshetlum
599,nafsuzurulvaka
20276,kitnoruluntgrugdo
21924,loftadnashunnaf
1652,rikizuturtogdo
29889,difutonashonunsa
8106,bakarulonkatrug
1893,mosuturotnaf
7833,rombavatogdo
29055,bodfannashonsa
25107,lebanduruntog
22886,sefuturotlemde
20746,dinrilenketrig
262,pufavakatogdo
375,vatavalem
18350,virusonunlem
20341,vegzerigrilkelimse
1466,gogonbulturnafsa
12615,fisleteklamdo
13543,rerevezirkelim
16226,kumrorulot
5696,poddugarulvalem
17627,zabebriledde
24425,mubfirilvekede
26951,sitkifgevenevde
25002,nividirvetlimse
941,dibifovrulonkanuvdo
24939,vozuntogdo
9663,barguduronuntogdo
19730,dizsintekniv
19041,fufzivurulvunnuvdo
15882,pufoznashavakatovdo
13353,zufpesekinlamto
10905,vaptogvalamdo
18186,zavunashavuntofsa
22966,kumravakanavdo
28177,tumendirvinse
21710,pobbosonashavun
26784,dinelimde
6578,radanashakanafsa
19183,pebmidirenke
20690,kattok
25775,delkurtogvakasa
29483,zivpatozzurundo
27107,lumfunashavunnavdo
298,rikizuduronlemse
28155,mugitneshinlum
27119,dobaturvakansa
20207,sefudur
17241,losifrilnif
7977,sisefmatokonkalamsa
11463,kozkikoronotlem
2035,favonashunlumsa
20423,naginneshevetiv
10450,genatokundo
21546,lebvidirintig
10164,pemkusanashotsa
18542,gumavunnavdo
10291,nafsuzutokkanavdo
17883,nutniteketse
13397,luvaduronotlemse
19896,duflanashakatofsa
29882,tumevelimde
14220,gineteklam
8844,zasannashavun
6828,butufunnavdo
7130,voburdarulvasa
25761,laketeketlam
7954,nubnumtoknavdo
20469,dovurulonlemse
16626,sazsonurulvun
26983,rurrulvotnufsa
13990,follirilvinlimde
3144,katnashavatovdo
18028,letustokonunlamsa
14547,tepotsa
7371,mubfitegde
29475,kutviffotnavdo
5594,rurzuronunsa
28908,tumonduruntog
14466,pireketig
26008,farivnesheketifse
24844,vedzirilvekenifse
21615,dongobunashavakalum
2076,mabozuron
4103,kattokonuntoksa
7493,mukfosreriletlimde
5968,fevedirenkelim
15470,sumenrilvelim
20350,pufozzurotlem
26871,genazurvotnavdo
29682,gaskenrilonivde
17965,zarakalemse
6754,kozkikordurva
2575,nollineshennevde
14389,peburuluntarug
16284,femkoganonotmaf
4042,bomonkalemse
17751,zuzizurulonottarug
12853,folatdanduronsa
4078,dekeneshevettivde
14246,romborulotlemde
7754,teftanashonotnavdo
14166,gogzirilvinnif
9462,rudenzetekinde
15960,vividantokonkasa
19162,kumsenetse
4603,pebmenkenef
21316,binitegvinse
14252,vadsoturonkado
1985,tepelerilke
20245,faltogva
7774,divet
9726,lebalashavado
16709,numbererdirenlimde
16156,dopgannashonlimde
15560,kuzeneshenevde
10530,dobanashavak
22778,zuzultokka
12172,rerosokotnavdo
26003,movmetekketigde
4054,bubserilketrikse
18621,dopganashunlumsa
28980,pipvizirlim
5229,dinimriletterigde
12370,kapanrulvanuf
20955,fablantokonmavdo
13666,vototentegvekelam
7454,kodadurvotlem
1268,dikuruloakalem
864,lemavanavdo
27010,duvdurvakando
4942,rerevezirintikse
2253,lumfunnaf
22394,gelkozefrilvelimse
24270,teporulonnufsa
16755,piperildireninnevde
25414,bemkusarulonotlemse
10348,zufnunozavunlemde
7940,fosoftogvakatogdo
609,taparulonkalem
4651,gobnosuzrulonun
27451,dosporrulvunlem
26532,tume
15886,ponevettigde
5919,zabebneshevenefse
26234,tospurtokunnafsa
14022,vinotogvasa
18748,mugitrilenkelim
7148,pamudodurotlemse
13648,taderilveketrig
10635,pustokonkatogdo
28470,nogulashonsa
20173,nugtubeneshentifse
25662,tepantokinde
5581,mavnfoptoklamsa
23541,rlpnabenkenef
26949,fumugeninlimde
5060,diloneriletnif
28841,sitkifgetegvetnivde
9615,mudkevintfgde
29710,fivbonashanafsa
8044,rolosvidifinnef
17046,doktonlemse
8386,depenetnefse
14629,gonisozuronnttog
24728,kolelarulvunlem
9311,vasvupudnashot
2776,lidduzurvuntoksa
20919,garrulonkanuf
13667,gonkaktokunsa
24674,gonisotogvunlam
24021,zeffoburulonunsa
29921,peklantogvakamafsa
7189,muzonuntogdo
13731,bonezotlem
20515,pipvidirinnevde
5573,sefusokonkalam
6135,dusimtegvelamdo
20811,movmerileninnifse
10553,pobodzuronunlem
5247,vaponotogdo
21153,dekamanavoddo
3981,vekselrileninnif
11085,bodfanashaka
19053,kurovuntoknav
20361,pavudurvakasa
16663,fetonunnaf
13158,zafoduronnaf
2172,gomigneshenettifse
27866,disesonashonunnaf
8718,miklurukruloddo
7452,kovodurvakado
15553,divirilenetlimse
5197,nugtubintikse
17793,teftunlemde
13210,lavediretse
11671,kutviffotokuntoksa
27225,disesotogvado
15995,bulormlvanuf
28730,zefuturonka
21057,vefisonashonuntov
20539,pikkaboglashavakanafsa
28782,bargandurun
21267,seffelotokonlamsa
22191,kigifotnafsa
3809,kabzuronun
24422,dimmunarulkalemse
10079,girenketnef
12488,fafeneshevinlumdo
18265,zitrenetlim
21067,sigupobrulonkanufsa
5543,nubnumannasdonunsa
22539,kakannashonmafsa
15681,poritegvekeniv
11864,viksarulonotlem
21977,guntanrulunlemde
15519,fanedirketigde
10401,feviveleshevinnefse
25502,gatdosavakanavdo
23281,vibmatorulvunsa
20947,uvividatogvotnavdo
24223,bargunlemse
23789,vovvezetnefse
17653,pebunashuntofsa
18734,zolidirvelimde
8745,zaforulvalemse
1384,fegzeriggeneshevekenef
23719,vonaltogvakalam
9036,gitnodurontogdo
22240,buvikzubduronunnafsa
13095,bultevinlimse
297,nurodurvakatogdo
8635,gaskineshevekenevde
28158,ziponkado
28248,posuturulunlem
3867,petonkalemde
24909,letavirrilkede
2077,poddugaturvotsa
15029,rupturruluntarugdo
15675,nikorontoksa
14209,pufolashakasa
29517,pusannashavotmavdo
18613,tuzdufmedirkenevde
15216,bulterilin
19226,nakmepelneshenkelumdo
2537,disesolashavottofsa
16578,dapizdamanavotlemde
16395,pufovatokonunnav
7362,mezmafonunnavdo
6636,fablonashotlumdo
7498,tufgepeneshenlum
13482,suvkotabrulvunnuvdo
9009,tossatokontog
28523,gomerilenetlim
20426,vapannashonotmafsa
6553,vovvestegvenifse
10770,tumononlemde
16131,vasoftokunnav
21889,vadsavotsa
23238,fufzivanavamaf
23145,refzepvunashonuntov
21684,fablonashavotnafsa
4654,vinonkalemde
320,tumitegde
7135,sisefmonkatoksa
17755,vemoduruntoesa
11984,rozanashavotnavdo
2654,zapadineshin
12142,guvasogvuntogdo
13721,kasuprulvalemde
19782,golelandurvatogdo
886,mubabmurulvakanuvdo
5002,mabotogvotnafsa
25214,zurbibbanaka
27503,fullineshenkdnefse
17310,gumadurotsa
244,dufnashavanaf
14758,desemupsokkalam
8207,vapnotokunnavdo
16527,zabanashatov
5983,kupoturonundo
2363,vadsolashavznlum
22721,forkonashunnaf
16513,povevriletterigde
1161,votutokkado
18291,virustokottoksa
29693,vegbunlashonotnafsa
22337,bonezuntoksa
287,lompulovdurvotsa
13650,fafrafnashonot
23721,ubargusogvanafsa
21692,retenevekelim
10068,nafsuzalem
10680,vukvobotogvottoksa
12450,ronnaridirinde
25258,sutelenrillelimse
8681,nomnizitteketlamdo
1170,nakmepelettikse
27988,lavetireninlimde
10374,gezupittirvetnevde
28762,kozkikorrulonunsa
23487,nizizamtokonuntogdo
6792,lompuloftokinse
27044,genarulotnuf
27328,bivavunsa
18243,kakonashongasa
277,mimdirendtlim
24393,sefantokonkatogdo
15946,revonashavanafsa
23165,fegzeriggeneshevinnef
24742,nudazrulonkasa
3121,febneshettiv
8579,giborrulvundo
17695,lodantogvunlamdo
17416,faltogvatoksa
8339,vozatoksa
3406,dimapurulvanuvdo
22766,genoddo
15475,makpofnashotlumdo
13861,bekunashakanavdo
26649,vomavodnashakanafsa
13128,srmorulvanuf
931,pudpurulonnufsa
691,lerfenteklamsa
24534,ronetnevde
6364,niluvobnashavoddo
18293,battannashuntofsa
9021,kosontogdo
10273,vefovufturvalem
20950,zuzopnashakado
29346,dapatonduronnavdo
16428,gegdirkelimds
20323,bekurulonka
9141,tepesendirenkelimde
7108,lumfandurvunmaf
8975,dinneshevenevde
4319,pikkaboglashakatofsa
2965,lemudurkalemse
3969,tomiserilketrikse
4926,buroranrulvoddo
25807,zibanashonuntov
14616,revenlimde
13971,bekurulvakalemde
22692,teftatoktogdo
20543,foneseltekettigde
3092,mapukkorulvanuvdo
21097,padasoklamsa
12748,vafverilinse
21939,butralrulonkanuvdo
23519,ginerileninde
15790,dovantokuniamdo
12515,butufpnnavdo
3982,govezberilenketrigde
24420,gomeriletlimde
23324,kelkozeffeleshevinnefse
1404,virusavakatog
19579,nivevintig
6124,papsektekinlamdo
1094,tonevintikse
17353,dinlesheninnef
22285,posurulottaruksa
22927,nokvurulunlemse
15972,vadsozurot
2843,zeffobanrulonkatruksa
19235,badduronotlem
4815,loftatsokonunlamdo
16473,fusdebneshenkede
5956,bulorulnuvdo
26836,vovveznesheketiv
20855,nunebenketikse
24213,favonkatog
13374,dinimleshenlim
26907,nudazottoksa
18173,fuzizdirvettigde
27302,zebaduooklamdo
18443,gaskileshenlim
13179,dukotbuvakasa
23697,tepolashavakanafsa
12205,nuzgavakalem
18286,mevtidiren
14407,kuzedirvedde
4686,miruvdanrulvotlem
18714,dusimendirvekede
4922,gooisodurvanavdo
15833,nunebintikse
6785,lonsedirinde
5877,fammelimde
9548,kerisrilvese
16459,boronkatogdo
2345,gettogeneshenetnef
22831,dusimenneshendemef
8430,tubelitekinde
4586,ponende
26317,dikrtirenketigde
14597,pezvilrutoknafsa
29440,merzoffonashonnaf
28147,nafsuzutokkasa
8378,lunakalem
27104,rombozuronottoksa
17937,gaturapnashavottovdo
22258,fammitek
27369,mavifopsokkasa
6197,zipanashonkasa
13097,bullunrulkatruksa
14456,ketidirtigde
15179,zagefentekinmiv
6401,dibnasledirvede
5695,losifenkenevde
2941,fisleneshelumdo
24477,bonezonashavak
29004,miruvduzurunlem
7381,kovavanafsa
26953,kuvomarulonavdo
18004,voravunlem
13834,temetenrilenlim
5578,ziglofvavakasa
10338,vekselriloniv
9993,vapnotogvakado
7905,zavtidiretnef
25198,rupturunlemde
24328,redggnduronkasa
1048,nubutokinde
6782,gigirilinlim
12662,teponsa
28131,dufkuranduronkamaf
24553,vovvezevekenefse
1609,mubabmuturvuntogdo
19480,fuzidiretlimse
2415,rurtogvanavdo
2017,dovfaturvado
2971,dufkuronunnafsa
12317,gomkuzistlgvinlamsa
14038,tipimukun
13567,nikordurvatog
2931,rikizonsa
15406,pireueneshenetnefse
27401,radarulonottarugdo
19630,dukpintekettigde
16508,zgbonotlem
17490,nubnumzurvaka
13001,tubegoduronunnafsa
1814,gezupidenetlimde
14586,demunashavatov
14448,vamtotnashavunsa
28724,katnashonotlumsa
11533,pikkaboktokunoddo
2123,vifetanonoddo
13704,femkogotogzatog
22018,berezirketikse
25561,dotatoknavdo
29502,nokvuduronkatoksa
29256,fafraftokonuntoksa
18581,pirekeneshelum
20435,lebvidirlimse
17600,kuponashunsa
7701,vatantokkamav
26270,vonalduronotnavdo
17109,pikkabogduronuntogdo
23818,nuneptekenintig
9170,ifudetnevde
808,gitanlashonkanavdo
24103,porizirkede
21438,nollisekenniv
23922,sufineshevetlum
25043,zavanun
4906,refzepvonunlemde
3722,zuzopontogdo
28532,vivieanashottov
13122,dunsutogvalam
12734,muzaturonotlemde
3962,zefonpanafsa
26434,zavitekin
2671,urefzepvunashunnaf
23916,sigupobavakanafsa
9417,nizizamnashotnaf
18148,tossavunnaf
4552,doktanashasa
16991,tomiserilenketrikse
6009,fusdebneshetse
17831,zuzoptokonot
19601,meszovrulkalem
5737,zurbibbutokotlam
8479,nivelim
18437,tizadrulkatrugde
3164,dagaebonkatog
25131,virusrelnuvdo
6763,nafsuzuzurkanavdo
28303,gognnbulonotoksa
1657,rombanavatoksa
28763,torvofamanunsa
19094,valikitekentigde
28729,selasutogvado
7549,purimavakatog
4266,varatokkanavdo
27985,kumsendirinlim
23099,rdvpesekenlamdo
